id,b1_SAEM,Dq_SAEM,E0_SAEM,betat1_SAEM,betat2_SAEM,b1_mean,Dq_mean,E0_mean,betat1_mean,betat2_mean,b1_mode,Dq_mode,E0_mode,betat1_mode,betat2_mode,b1_sd,Dq_sd,E0_sd,betat1_sd,betat2_sd
IDF,2.21138,1.72482,2777.27,-0.270276,-1.01903,2.21363,1.73443,2763.1,-0.270276,-1.01958,2.2147,1.73764,2751.76,-0.270276,-1.01958,0.0140298,0.0520178,134.994,0,0
NAquitaine,2.51786,0.51459,330.733,-0.270276,-1.01903,2.52372,0.496501,319.785,-0.270276,-1.01958,2.51301,0.522091,336.956,-0.270276,-1.01958,0.0324906,0.0959082,42.7447,0,0
AURA,2.03357,0.612695,448.082,-0.270276,-1.01903,2.04028,0.624836,411.87,-0.270276,-1.01958,2.03647,0.627563,436.755,-0.270276,-1.01958,0.0119692,0.0746203,74.063,0,0
Centre,2.49383,4.39804,305.167,-0.270276,-1.01903,2.47664,4.31519,336.649,-0.270276,-1.01958,2.48731,4.33423,317.514,-0.270276,-1.01958,0.0516098,0.404723,114.949,0,0
BFC,1.92744,0.722883,808.849,-0.270276,-1.01903,1.92748,0.726063,809.419,-0.270276,-1.01958,1.936,0.727666,788.46,-0.270276,-1.01958,0.0215484,0.0959415,50.0012,0,0
Normandie,1.99167,3.24358,1714.87,-0.270276,-1.01903,1.98713,3.24451,1745.1,-0.270276,-1.01958,1.99929,3.27666,1676.52,-0.270276,-1.01958,0.0348408,0.263726,251.969,0,0
HDF,1.82777,2.02094,956.506,-0.270276,-1.01903,1.82951,2.01698,932.867,-0.270276,-1.01958,1.82947,2.02235,938.23,-0.270276,-1.01958,0.0153789,0.140367,157.793,0,0
GrandEst,1.96039,2.52218,3555.69,-0.270276,-1.01903,1.95829,2.52977,3578.44,-0.270276,-1.01958,1.96069,2.53756,3557.36,-0.270276,-1.01958,0.0149224,0.0893161,132.031,0,0
PaysLoire,2.34696,0.036145,241.048,-0.270276,-1.01903,2.34609,0.0359812,249.353,-0.270276,-1.01958,2.34814,0.0342534,235.913,-0.270276,-1.01958,0.0238229,0.0183857,86.3254,0,0
Bretagne,1.82719,1.54114,507.163,-0.270276,-1.01903,1.82101,1.50515,523.671,-0.270276,-1.01958,1.82248,1.54108,526.09,-0.270276,-1.01958,0.0287052,0.216111,99.372,0,0
Occitanie,2.14112,0.842927,749.588,-0.270276,-1.01903,2.14233,0.861418,751.081,-0.270276,-1.01958,2.14374,0.865117,746.589,-0.270276,-1.01958,0.025376,0.114785,68.0432,0,0
PACA,2.09849,0.979256,811.628,-0.270276,-1.01903,2.08795,0.959297,835.353,-0.270276,-1.01958,2.09295,0.968921,822.558,-0.270276,-1.01958,0.0216527,0.0897075,54.3839,0,0
