id,eta_b1_SAEM,eta_Dq_SAEM,eta_E0_SAEM,eta_betat1_SAEM,eta_betat2_SAEM,eta_b1_mean,eta_Dq_mean,eta_E0_mean,eta_betat1_mean,eta_betat2_mean,eta_b1_mode,eta_Dq_mode,eta_E0_mode,eta_betat1_mode,eta_betat2_mode,eta_b1_sd,eta_Dq_sd,eta_E0_sd,eta_betat1_sd,eta_betat2_sd
IDF,0.0782153,0.426336,1.04087,0,0,0.0792392,0.432136,1.036,0,0,0.0797438,0.434432,1.03308,0,0,0.00633757,0.029935,0.0488868,0,0
NAquitaine,0.207961,-0.802881,-1.09367,0,0,0.210276,-0.837181,-1.12865,0,0,0.206107,-0.76801,-1.06697,0,0,0.0128381,0.196383,0.139002,0,0
AURA,-0.00559502,-0.614823,-0.797009,0,0,-0.00230399,-0.595531,-0.882734,0,0,-0.00415786,-0.584008,-0.807547,0,0,0.00586396,0.120057,0.18347,0,0
Centre,0.198305,1.35844,-1.20348,0,0,0.191311,1.3396,-1.1242,0,0,0.195827,1.34845,-1.1264,0,0,0.0209609,0.0945762,0.336825,0,0
BFC,-0.0592459,-0.451268,-0.19331,0,0,-0.0592233,-0.447084,-0.19251,0,0,-0.0547506,-0.43601,-0.216838,0,0,0.011185,0.133946,0.0617888,0,0
Normandie,-0.0265788,1.05437,0.551845,0,0,-0.0288376,1.05558,0.567211,0,0,-0.0225834,1.06873,0.537553,0,0,0.0175176,0.0809793,0.144946,0,0
HDF,-0.1123,0.583095,-0.0316541,0,0,-0.111361,0.581085,-0.0633138,0,0,-0.111349,0.586165,-0.0429243,0,0,0.00840186,0.0696099,0.172945,0,0
GrandEst,-0.042257,0.806118,1.28882,0,0,-0.0433292,0.809413,1.2951,0,0,-0.0420779,0.813106,1.28985,0,0,0.00764535,0.0351842,0.0361359,0,0
PaysLoire,0.137712,-3.5969,-1.44461,0,0,0.137323,-3.58378,-1.42953,0,0,0.138248,-3.49207,-1.42346,0,0,0.010175,0.558661,0.35733,0,0
Bretagne,-0.11269,0.305736,-0.676385,0,0,-0.116107,0.280464,-0.644629,0,0,-0.115175,0.314385,-0.621447,0,0,0.0157839,0.144086,0.195324,0,0
Occitanie,0.0458627,-0.298173,-0.272305,0,0,0.0464518,-0.276185,-0.26953,0,0,0.0471806,-0.262987,-0.271405,0,0,0.0118417,0.133961,0.0909964,0,0
PACA,0.0257983,-0.144462,-0.189898,0,0,0.0207579,-0.164057,-0.161204,0,0,0.0232035,-0.149669,-0.1745,0,0,0.0103569,0.0941477,0.0655617,0,0
