rep,id,eta_b1,eta_Dq,eta_E0,eta_betat1,eta_betat2
1,IDF,0.0758681726797427,0.478728957800118,1.06630092926057,0,0
2,IDF,0.0853159911992726,0.422743121151906,0.980778819047759,0,0
3,IDF,0.0822908616454487,0.425576509439932,0.992674004087379,0,0
4,IDF,0.0824924424403075,0.38689443111999,0.998591928416472,0,0
5,IDF,0.067749686921188,0.441659141513897,1.09326014540574,0,0
6,IDF,0.0770644140380618,0.422246925593691,1.05802847105654,0,0
7,IDF,0.0737421501892395,0.426486382406248,1.06364845079368,0,0
8,IDF,0.0751941244371313,0.480539440514792,1.09239717128234,0,0
9,IDF,0.0828541070976426,0.411455201661384,1.00917163621041,0,0
10,IDF,0.0861525583479216,0.433230032306698,0.979215916036226,0,0
1,NAquitaine,0.205557190254843,-1.00151373060828,-1.13056742717582,0,0
2,NAquitaine,0.192679077579993,-0.776982498561735,-0.941362837405951,0,0
3,NAquitaine,0.203628441305691,-0.581959219227373,-0.999396401071664,0,0
4,NAquitaine,0.219997934120219,-0.931193477474582,-1.2210322471076,0,0
5,NAquitaine,0.212966872003543,-0.712123110124642,-1.13431333223438,0,0
6,NAquitaine,0.202302381866769,-0.905403649246301,-1.08795201504929,0,0
7,NAquitaine,0.188402611324297,-0.786437862210725,-0.927355632083281,0,0
8,NAquitaine,0.234944012323917,-0.778812944066636,-1.33082344605217,0,0
9,NAquitaine,0.207521957718835,-0.495881684987687,-1.05449799490297,0,0
10,NAquitaine,0.203107681814029,-0.604529039999818,-1.00943640364475,0,0
1,AURA,-0.000897963475093535,-0.762800721870044,-1.03144192430051,0,0
2,AURA,-0.00228725023339734,-0.49035577175313,-0.702419928884357,0,0
3,AURA,0.00645462679683154,-0.441854065201373,-0.924633986580097,0,0
4,AURA,-0.00545357817147417,-0.593164631653433,-0.75343590905683,0,0
5,AURA,-0.00374943156144639,-0.651189340950622,-0.910637692873118,0,0
6,AURA,-0.00168942957411118,-0.421431368133283,-0.708482366131147,0,0
7,AURA,0.00880113282883681,-0.644064644088767,-1.1739345760651,0,0
8,AURA,0.0113139548126765,-0.463173589534511,-1.29136919108382,0,0
9,AURA,0.0146689975508646,-0.352720012786838,-1.38039125536861,0,0
