id,b1_SAEM,Dq_SAEM,E0_SAEM,betat1_SAEM,betat2_SAEM,b1_mean,Dq_mean,E0_mean,betat1_mean,betat2_mean,b1_mode,Dq_mode,E0_mode,betat1_mode,betat2_mode,b1_sd,Dq_sd,E0_sd,betat1_sd,betat2_sd
IDF,2.1257,1.74247,3245.81,-0.184317,-1.11356,2.12922,1.75982,3215.46,-0.184639,-1.11303,2.1271,1.75324,3236.53,-0.184639,-1.11303,0.0125246,0.0573378,131.357,0,0
NAquitaine,2.42004,0.507783,391.397,-0.184317,-1.11356,2.42444,0.506595,385.301,-0.184639,-1.11303,2.41863,0.52254,394.301,-0.184639,-1.11303,0.0330666,0.102109,47.5892,0,0
AURA,1.99212,0.621722,491.488,-0.184317,-1.11356,1.99213,0.624484,500.154,-0.184639,-1.11303,1.99109,0.626581,503.666,-0.184639,-1.11303,0.0131369,0.0676044,87.0346,0,0
Centre,2.42565,4.38763,294.939,-0.184317,-1.11356,2.41832,4.36365,306.721,-0.184639,-1.11303,2.41787,4.3784,315.664,-0.184639,-1.11303,0.0523142,0.424646,114.981,0,0
BFC,1.86688,0.736054,867.645,-0.184317,-1.11356,1.86341,0.732371,878.834,-0.184639,-1.11303,1.86632,0.740838,869.262,-0.184639,-1.11303,0.0244335,0.0915437,62.7718,0,0
Normandie,1.93398,3.29986,1772.16,-0.184317,-1.11356,1.92733,3.30766,1817.82,-0.184639,-1.11303,1.92989,3.30244,1797.43,-0.184639,-1.11303,0.0391118,0.319339,269.353,0,0
HDF,1.79177,2.07645,1065.87,-0.184317,-1.11356,1.79235,2.05091,1038.71,-0.184639,-1.11303,1.79346,2.05864,1032.54,-0.184639,-1.11303,0.0133784,0.138754,148.418,0,0
GrandEst,1.88783,2.56409,3909.16,-0.184317,-1.11356,1.88868,2.56625,3908.43,-0.184639,-1.11303,1.88749,2.56316,3916.39,-0.184639,-1.11303,0.0134746,0.0889036,134.776,0,0
PaysLoire,2.30307,0.0385414,222.543,-0.184317,-1.11356,2.30001,0.0324279,231.381,-0.184639,-1.11303,2.29935,0.0344427,233.344,-0.184639,-1.11303,0.0239261,0.0182207,89.687,0,0
Bretagne,1.77983,1.5264,576.699,-0.184317,-1.11356,1.78348,1.56104,563.893,-0.184639,-1.11303,1.78209,1.56919,572.615,-0.184639,-1.11303,0.0302324,0.214619,122.365,0,0
Occitanie,2.07383,0.891513,837.7,-0.184317,-1.11356,2.06532,0.887626,862.254,-0.184639,-1.11303,2.06461,0.89654,864.008,-0.184639,-1.11303,0.0287583,0.106712,84.4258,0,0
PACA,2.01894,0.983717,919.144,-0.184317,-1.11356,2.02252,0.98905,911.208,-0.184639,-1.11303,2.0152,0.988475,929.732,-0.184639,-1.11303,0.0263417,0.0952002,74.3608,0,0
