id,eta_b1_SAEM,eta_Dq_SAEM,eta_E0_SAEM,eta_betat1_SAEM,eta_betat2_SAEM,eta_b1_mean,eta_Dq_mean,eta_E0_mean,eta_betat1_mean,eta_betat2_mean,eta_b1_mode,eta_Dq_mode,eta_E0_mode,eta_betat1_mode,eta_betat2_mode,eta_b1_sd,eta_Dq_sd,eta_E0_sd,eta_betat1_sd,eta_betat2_sd
IDF,0.0408229,0.529216,1.37543,0,0,0.042873,0.545631,1.35953,0,0,0.0418952,0.542419,1.3669,0,0,0.0058845,0.0325644,0.0408126,0,0
NAquitaine,0.170437,-0.728845,-0.746582,0,0,0.172643,-0.720164,-0.769445,0,0,0.170337,-0.668104,-0.738246,0,0,0.0135919,0.208522,0.129594,0,0
AURA,-0.0240778,-0.508083,-0.523607,0,0,-0.0236812,-0.495805,-0.515784,0,0,-0.0241825,-0.486527,-0.493449,0,0,0.00659712,0.109325,0.17631,0,0
Centre,0.172616,1.44815,-1.09226,0,0,0.169972,1.44954,-1.06441,0,0,0.170023,1.45763,-0.960682,0,0,0.0216666,0.0972433,0.398606,0,0
BFC,-0.0890599,-0.339885,0.0546557,0,0,-0.0905413,-0.338386,0.0606828,0,0,-0.088897,-0.319022,0.0522824,0,0,0.0131166,0.125908,0.0714764,0,0
Normandie,-0.0539788,1.16405,0.753131,0,0,-0.0569352,1.17251,0.779425,0,0,-0.0554016,1.17561,0.77875,0,0,0.0203816,0.096978,0.144849,0,0
HDF,-0.130083,0.703195,0.252784,0,0,-0.129368,0.696931,0.220097,0,0,-0.128717,0.702997,0.224414,0,0,0.00746547,0.0679847,0.143916,0,0
GrandEst,-0.0778766,0.915429,1.56106,0,0,-0.0770108,0.922797,1.55494,0,0,-0.0776156,0.922192,1.55756,0,0,0.00713982,0.0346772,0.0343993,0,0
PaysLoire,0.120935,-3.46394,-1.3692,0,0,0.119994,-3.63189,-1.34583,0,0,0.11976,-3.38751,-1.26285,0,0,0.0104317,0.661424,0.390681,0,0
Bretagne,-0.136882,0.389502,-0.3752,0,0,-0.134442,0.416832,-0.404548,0,0,-0.135079,0.431511,-0.365149,0,0,0.0169693,0.13802,0.221722,0,0
Occitanie,0.0160327,-0.149632,0.016505,0,0,0.0123233,-0.145555,0.0392659,0,0,0.0120755,-0.128261,0.04622,0,0,0.0138949,0.121396,0.100002,0,0
PACA,-0.0107364,-0.0457608,0.112521,0,0,-0.00860447,-0.0347436,0.0960861,0,0,-0.0121464,-0.030641,0.119534,0,0,0.0130325,0.0971741,0.0815196,0,0
