rep,id,eta_b1,eta_Dq,eta_E0,eta_betat1,eta_betat2
1,IDF,0.0451425168217106,0.534834283012504,1.34794417907189,0,0
2,IDF,0.0459005048444535,0.590367846785883,1.34598638466838,0,0
3,IDF,0.0377194237999906,0.533559142428774,1.39104760018212,0,0
4,IDF,0.0455488189984033,0.532759490747076,1.31057040376408,0,0
5,IDF,0.0379973012779596,0.526355596851882,1.38895248744725,0,0
6,IDF,0.0461288246117348,0.574137609796923,1.3625942338031,0,0
7,IDF,0.0453886927257438,0.527930251869676,1.33025798981279,0,0
8,IDF,0.0348911945142295,0.515087860303545,1.40386696124753,0,0
9,IDF,0.0423957489536953,0.515208313988461,1.3480611857138,0,0
10,IDF,0.048512652947517,0.530796330004334,1.31386640972053,0,0
1,NAquitaine,0.162834289236163,-0.697241280341267,-0.660643784669429,0,0
2,NAquitaine,0.170408998225006,-0.615448144665881,-0.698619046139361,0,0
3,NAquitaine,0.13827838779826,-1.18779720854355,-0.542894418580775,0,0
4,NAquitaine,0.172253570745417,-0.859556625755308,-0.778358230837862,0,0
5,NAquitaine,0.156459962542601,-0.642260290911833,-0.621190143873136,0,0
6,NAquitaine,0.145085564723672,-0.88264990721222,-0.606338182110435,0,0
7,NAquitaine,0.16273639439014,-0.171760787779258,-0.599882091167179,0,0
8,NAquitaine,0.168281513302286,-0.735332223801447,-0.763334221100333,0,0
9,NAquitaine,0.183430625006915,-0.733853182063585,-0.878454923103185,0,0
10,NAquitaine,0.193833275384839,-0.608637217640089,-0.918717019418564,0,0
1,AURA,-0.0296325509823382,-0.473637222057655,-0.23550359581634,0,0
2,AURA,-0.0190176069585123,-0.768280492281859,-0.808588737978756,0,0
3,AURA,-0.0202150164462652,-0.520294467123858,-0.574980357705323,0,0
4,AURA,-0.0264883086272566,-0.434727468206429,-0.30953467511339,0,0
5,AURA,-0.0186609832394748,-0.343162727405729,-0.676602089271142,0,0
6,AURA,-0.0261977379972426,-0.58473994543736,-0.528440604644697,0,0
7,AURA,-0.0243020482953633,-0.655139971370328,-0.611248989930773,0,0
8,AURA,-0.034954690647685,-0.44521052429509,-0.243014342579015,0,0
9,AURA,-0.0255676194645239,-0.393565684818017,-0.490618088906064,0,0
10,AURA,-0.015435217799257,-0.412790756994967,-0.617057824259014,0,0
1,Centre,0.134867091210869,1.50656451657576,-0.670230952902288,0,0
2,Centre,0.168865917628095,1.47204819672938,-1.06887279517379,0,0
3,Centre,0.176897828697676,1.37638405440982,-1.5213947911411,0,0
4,Centre,0.187734847653577,1.51526733160765,-1.43259432468293,0,0
5,Centre,0.162367073372412,1.47189932425753,-0.717697544134482,0,0
6,Centre,0.171839515595246,1.48671456736001,-0.891771816316995,0,0
7,Centre,0.176406569651485,1.46832686075402,-1.46846336893032,0,0
8,Centre,0.184865709005135,1.64925144574775,-0.76419370093247,0,0
9,Centre,0.141622220827738,1.3186305750552,-0.90583757370705,0,0
10,Centre,0.136739903427448,1.46117031630266,-0.648829819899248,0,0
1,BFC,-0.0925640621178411,-0.414611293172471,0.0611754422238108,0,0
2,BFC,-0.0937864960479846,-0.315637444027827,0.0813887716162857,0,0
3,BFC,-0.0949222425558709,-0.17807892559319,0.116589066763308,0,0
4,BFC,-0.1163227560868,-0.108514976776479,0.179296641587182,0,0
5,BFC,-0.0889077884044238,-0.245751843351625,0.0276508607748652,0,0
6,BFC,-0.106680271796499,-0.215489876865571,0.1246962877721,0,0
7,BFC,-0.0652009915907336,-0.166087090870871,-0.062266979341007,0,0
8,BFC,-0.0872571741014747,-0.301836230255558,0.0284580649762103,0,0
9,BFC,-0.101145762603131,-0.158772753548296,0.124683081017832,0,0
10,BFC,-0.0887086690640544,-0.545038837818502,0.0596261892436481,0,0
1,Normandie,-0.047624329631793,1.30778854011227,0.762014341621359,0,0
2,Normandie,-0.0566234064984773,1.08323162769448,0.867976811497506,0,0
3,Normandie,-0.0678274781267967,1.2736509074273,0.935508961191395,0,0
4,Normandie,-0.0329812218973629,1.31844956994793,0.712855883949741,0,0
5,Normandie,-0.0452743797036711,1.17027175284921,0.63900952097295,0,0
6,Normandie,-0.0469654973757972,1.09659208793643,0.74809675590248,0,0
7,Normandie,-0.0684342137873338,1.24796736757267,0.805396526802154,0,0
8,Normandie,-0.0638325925798721,1.02998631997128,0.784463201105408,0,0
9,Normandie,-0.0400414072702648,1.16612220799769,0.650902991083477,0,0
10,Normandie,-0.090839292665661,0.883126123867052,0.834967066116183,0,0
1,HDF,-0.131881914272173,0.800968227206257,0.333709191103461,0,0
2,HDF,-0.135863326004979,0.755356480035473,0.350051610540897,0,0
3,HDF,-0.135364893798689,0.701905431180752,0.301048745896145,0,0
4,HDF,-0.128571009684096,0.694072610197901,0.301739479171402,0,0
5,HDF,-0.130013045711087,0.795855088275085,0.333945485460562,0,0
6,HDF,-0.128854065138865,0.666051534066177,0.248585822838266,0,0
7,HDF,-0.127333249932699,0.699383848260584,0.253553276356509,0,0
8,HDF,-0.115835362421661,0.812830511373453,-0.0157489607331992,0,0
9,HDF,-0.120943038819865,0.808126778824042,0.126352893402954,0,0
10,HDF,-0.131655859224372,0.669607459956656,0.168116516720953,0,0
1,GrandEst,-0.0693160180750613,0.921022287097628,1.50662766231379,0,0
2,GrandEst,-0.0904570378426334,0.921703332351936,1.62324584255533,0,0
3,GrandEst,-0.0756696658392857,0.923874567951842,1.54410464956908,0,0
4,GrandEst,-0.0747953808496497,0.956253335944037,1.53309914578536,0,0
5,GrandEst,-0.0852794168662155,0.915917703252219,1.55824719679354,0,0
6,GrandEst,-0.0617277065331095,0.916660176617479,1.48661337403191,0,0
7,GrandEst,-0.0728261642083067,0.988953473724249,1.57070140599326,0,0
8,GrandEst,-0.0819493027997524,0.936310309086667,1.56811620658349,0,0
9,GrandEst,-0.0860239585185232,0.906219059346035,1.5647164577065,0,0
10,GrandEst,-0.0809198675653037,0.982292005967956,1.58584701087409,0,0
1,PaysLoire,0.11529443688696,-4.81215872078307,-0.875509445800942,0,0
2,PaysLoire,0.117212134151313,-3.30894688035706,-1.23870535617061,0,0
3,PaysLoire,0.119762200157443,-3.93564840076012,-1.11004630921396,0,0
