id,b1_SAEM,Dq_SAEM,E0_SAEM,A0_SAEM,betat1_SAEM,b1_mean,Dq_mean,E0_mean,A0_mean,betat1_mean,b1_mode,Dq_mode,E0_mode,A0_mode,betat1_mode,b1_sd,Dq_sd,E0_sd,A0_sd,betat1_sd
IDF,0.859037,1.69837,2394.19,1268.42,-0.314064,0.856688,1.71805,1924.95,1531.06,-0.313487,0.857605,1.69945,2114.34,1419.48,-0.313487,0.00611022,0.059122,253.394,145.59,0
NAquitaine,0.931405,0.513758,567.954,134.263,-0.314064,0.927332,0.531524,588.634,132.76,-0.313487,0.92736,0.540637,523.043,162.612,-0.313487,0.0190534,0.109834,164.44,94.8754,0
AURA,0.821383,0.727738,1917.26,113.838,-0.314064,0.822433,0.728178,1961.96,86.6186,-0.313487,0.821625,0.736789,1977.52,82.5962,-0.313487,0.012577,0.086805,167.392,62.1177,0
Centre,1.00949,4.7429,759.577,329.169,-0.314064,0.984879,4.75709,675.924,419.323,-0.313487,1.00046,4.72592,647.688,390.706,-0.313487,0.0397782,0.575815,264.155,161.357,0
BFC,0.708574,0.785497,720.929,365.611,-0.314064,0.708185,0.800879,621.876,423.951,-0.313487,0.7053,0.789116,622.195,431.953,-0.313487,0.0143078,0.0985196,172.805,116.757,0
Normandie,0.849524,3.85073,2968.72,75.3253,-0.314064,0.84719,3.86548,2922.66,107.001,-0.313487,0.849943,3.84978,2952.25,74.6823,-0.313487,0.0281242,0.440588,286.516,90.3463,0
HDF,0.772009,2.34572,1988.43,56.5257,-0.314064,0.770877,2.3484,2026.01,42.9498,-0.313487,0.771382,2.34268,2013.94,43.2696,-0.313487,0.0122422,0.185744,144.999,34.0758,0
GrandEst,0.777685,2.25168,745.735,1446.87,-0.314064,0.781419,2.22889,741.584,1409.19,-0.313487,0.780059,2.24102,735.38,1424.79,-0.313487,0.00813544,0.0973135,237.954,163.184,0
PaysLoire,0.799249,0.0453723,1682.42,245.846,-0.314064,0.798892,0.0423986,1741.08,208.84,-0.313487,0.799291,0.044466,1783.73,184.267,-0.313487,0.0207084,0.0255903,291.564,145.096,0
Bretagne,0.68775,1.91096,1341.74,86.9509,-0.314064,0.694179,1.89506,1327.63,68.224,-0.313487,0.693543,1.92231,1320.61,70.284,-0.313487,0.0247327,0.283732,205.239,57.3354,0
Occitanie,0.744588,0.990428,1003.72,368.163,-0.314064,0.742039,0.979298,933.584,417.569,-0.313487,0.743647,1.00375,869.17,441.455,-0.313487,0.0178648,0.133889,330.004,223.65,0
PACA,0.797451,0.949441,1104.45,201.663,-0.314064,0.79354,0.961329,1140.73,200.91,-0.313487,0.792707,0.957516,938.967,304.452,-0.313487,0.0139886,0.10155,271.572,156.332,0
