id,eta_b1_SAEM,eta_Dq_SAEM,eta_E0_SAEM,eta_A0_SAEM,eta_betat1_SAEM,eta_b1_mean,eta_Dq_mean,eta_E0_mean,eta_A0_mean,eta_betat1_mean,eta_b1_mode,eta_Dq_mode,eta_E0_mode,eta_A0_mode,eta_betat1_mode,eta_b1_sd,eta_Dq_sd,eta_E0_sd,eta_A0_sd,eta_betat1_sd
IDF,0.0620666,0.42729,0.61804,1.93919,0,0.0590125,0.438547,0.437533,2.08661,0,0.0601076,0.428251,0.540128,2.01566,0,0.00713684,0.0344176,0.13312,0.0982806,0
NAquitaine,0.142738,-0.790873,-0.831299,-0.416715,0,0.138065,-0.756456,-0.789553,-0.681801,0,0.138306,-0.717059,-0.856705,-0.151023,0,0.0205394,0.215391,0.342769,0.915437,0
AURA,0.0171845,-0.427226,0.414245,-0.744433,0,0.0181139,-0.426537,0.461631,-1.10138,0,0.0172488,-0.407507,0.473233,-0.828429,0,0.0152716,0.121522,0.0864434,0.91514,0
Centre,0.222342,1.44725,-0.550929,0.479153,0,0.197674,1.45027,-0.668945,0.66656,0,0.214179,1.45101,-0.642959,0.725561,0,0.0401517,0.121201,0.364755,0.619629,0
BFC,-0.130608,-0.350861,-0.595388,0.648171,0,-0.131535,-0.331803,-0.727554,0.766091,0,-0.135413,-0.338895,-0.683115,0.825923,0,0.0202122,0.12497,0.30834,0.294765,0
Normandie,0.0502441,1.24062,0.850996,-1.21803,0,0.0473348,1.24344,0.859044,-0.898671,0,0.0511339,1.24596,0.873955,-0.92915,0,0.0333286,0.115442,0.0986167,0.849805,0
HDF,-0.0448429,0.74802,0.452355,-1.49387,0,-0.0466318,0.748559,0.494809,-1.80952,0,-0.0458523,0.749243,0.49148,-1.47494,0,0.0158034,0.0790375,0.0733784,0.873127,0
GrandEst,-0.037429,0.709144,-0.546064,2.09572,0,-0.0329784,0.698499,-0.560906,2.00152,0,-0.0346665,0.704879,-0.515981,2.01939,0,0.0104392,0.0436221,0.332318,0.117909,0
PaysLoire,-0.010437,-3.36401,0.260436,-0.131741,0,-0.0111466,-3.44439,0.330826,-0.178676,0,-0.0103105,-3.21508,0.370093,-0.0260073,0,0.025959,0.625322,0.177226,0.810422,0
Bretagne,-0.160655,0.535108,0.0529056,-1.05117,0,-0.151936,0.525902,0.0626462,-1.40063,0,-0.152223,0.551474,0.0694841,-0.989849,0,0.0354013,0.151001,0.156805,0.958566,0
Occitanie,-0.0811367,-0.120367,-0.280471,0.52969,0,-0.0849245,-0.132294,-0.342923,0.507623,0,-0.082469,-0.0983144,-0.348829,0.847683,0,0.0240799,0.136738,0.370787,0.960461,0
PACA,-0.0124269,-0.158317,-0.159204,-0.173418,0,-0.017686,-0.147109,-0.108727,-0.365077,0,-0.0185828,-0.145465,-0.271588,0.476121,0,0.0175594,0.106349,0.260515,1.07277,0
