rep,id,b1,Dq,E0,A0,betat1
1,IDF,0.862793395352887,1.67935118609396,1692.88292176924,1039.7362494208,-0.312297221354965
2,IDF,0.873787044823318,1.67504202714393,1660.43508754828,959.276027866856,-0.312297221354965
3,IDF,0.872553296275686,1.85483313903006,1960.53083449931,869.366779453794,-0.312297221354965
4,IDF,0.869248394519012,1.5438851999463,1944.45410094166,833.262921055928,-0.312297221354965
5,IDF,0.876454079169029,1.71836848575778,2072.1070345506,740.951898577487,-0.312297221354965
6,IDF,0.85842119221008,1.74808687088871,1783.42907020648,1049.46506809643,-0.312297221354965
7,IDF,0.860586341279385,1.7698242537199,1643.88357050613,1109.16079230817,-0.312297221354965
8,IDF,0.865315240640497,1.64656358195041,1862.36525881068,960.028120561635,-0.312297221354965
9,IDF,0.857308942525659,1.54213528965205,2184.43186428639,839.346011692813,-0.312297221354965
10,IDF,0.851973528639172,1.61663299358402,2117.83603307597,952.54735704166,-0.312297221354965
1,NAquitaine,0.946069662223579,0.53303134692219,232.428751590433,175.459692147061,-0.312297221354965
2,NAquitaine,0.954370235937473,0.590486844832046,463.230635583567,62.316584440085,-0.312297221354965
3,NAquitaine,0.973991062270589,0.504927708653481,489.396540868084,34.2680710263964,-0.312297221354965
4,NAquitaine,0.906750088821833,0.60495744244537,277.3771830131,232.168055534903,-0.312297221354965
5,NAquitaine,0.930462827363915,0.796079699100594,444.646857053339,133.618198742917,-0.312297221354965
6,NAquitaine,0.948195147754452,0.569187479219648,261.781642405396,177.730532291575,-0.312297221354965
7,NAquitaine,0.904271535615505,0.593242847048132,640.593342708274,48.1315324774057,-0.312297221354965
8,NAquitaine,0.925796321997043,0.511317054676662,368.078119034971,144.324121770461,-0.312297221354965
9,NAquitaine,0.919188887937936,0.602022046141687,279.256872010371,197.590564498663,-0.312297221354965
10,NAquitaine,0.922805137312868,0.528656029061011,391.970341710396,134.476998384221,-0.312297221354965
1,AURA,0.814425049502026,0.654703873778112,1904.14664412178,56.8721894150025,-0.312297221354965
2,AURA,0.82907003141405,0.888579716061626,1951.25550574978,11.0799868385836,-0.312297221354965
