id,b1_SAEM,Dq_SAEM,E0_SAEM,A0_SAEM,betat1_SAEM,b1_mean,Dq_mean,E0_mean,A0_mean,betat1_mean,b1_mode,Dq_mode,E0_mode,A0_mode,betat1_mode,b1_sd,Dq_sd,E0_sd,A0_sd,betat1_sd
IDF,0.861076,1.69017,1729.99,1054.34,-0.313501,0.862914,1.70029,1819.21,992.662,-0.312297,0.860491,1.69827,1690.75,1077.67,-0.312297,0.00767709,0.0678189,284.361,153.763,0
NAquitaine,0.940304,0.51816,378.024,126.169,-0.313501,0.927647,0.540504,384.584,142.125,-0.312297,0.930578,0.540033,334.524,159.405,-0.312297,0.0209374,0.115569,120.197,70.212,0
AURA,0.82035,0.727078,1857.54,93.7087,-0.313501,0.824073,0.721259,1851.37,76.2651,-0.312297,0.821253,0.737495,1853.71,89.2421,-0.312297,0.0127673,0.0893841,140.453,51.5972,0
Centre,1.00325,4.71895,553.12,371.693,-0.313501,0.992506,4.74981,475.435,430.813,-0.312297,1.00023,4.72385,495.4,398.142,-0.312297,0.0453285,0.626571,210.735,147.797,0
BFC,0.714152,0.790626,480.625,329.33,-0.313501,0.711057,0.790504,403.527,382.059,-0.312297,0.712486,0.788126,440.031,354.527,-0.312297,0.0132839,0.102949,124.672,85.2472,0
Normandie,0.846088,3.85281,3349.73,103.657,-0.313501,0.844958,3.89577,3347.75,110.488,-0.312297,0.847328,3.85776,3354.98,90.1726,-0.312297,0.0291692,0.433421,334.475,89.3315,0
HDF,0.768284,2.34112,2967.21,70.2053,-0.313501,0.771767,2.33903,2911.95,66.6583,-0.312297,0.769814,2.34095,2945.21,63.8121,-0.312297,0.0115061,0.174868,181.093,46.7246,0
GrandEst,0.779289,2.23096,743.121,1451.85,-0.313501,0.779464,2.24175,651.423,1498.28,-0.312297,0.779496,2.24008,697.522,1471.36,-0.312297,0.00761811,0.105995,166.591,129.674,0
PaysLoire,0.798501,0.0453245,1442.01,258.018,-0.313501,0.795954,0.0413485,1512.08,227.42,-0.312297,0.797504,0.0432709,1584.34,179.686,-0.312297,0.0231934,0.0252387,288.777,162.031,0
Bretagne,0.690803,1.9196,1380.07,90.8937,-0.313501,0.693749,1.88286,1341.72,98.4917,-0.312297,0.693142,1.92162,1364.89,84.281,-0.312297,0.0239312,0.282551,202.703,74.0848,0
Occitanie,0.742298,0.995743,726.525,433.458,-0.313501,0.746966,0.982158,807.802,363.93,-0.312297,0.744368,1.00372,719.299,422.632,-0.312297,0.0164207,0.133471,248.576,134.366,0
PACA,0.80589,0.94902,754.811,155.576,-0.313501,0.801523,0.959276,752.483,169.861,-0.312297,0.799813,0.955209,644.574,227.554,-0.312297,0.0120907,0.0958781,166.421,87.988,0
