id,eta_b1_SAEM,eta_Dq_SAEM,eta_E0_SAEM,eta_A0_SAEM,eta_betat1_SAEM,eta_b1_mean,eta_Dq_mean,eta_E0_mean,eta_A0_mean,eta_betat1_mean,eta_b1_mode,eta_Dq_mode,eta_E0_mode,eta_A0_mode,eta_betat1_mode,eta_b1_sd,eta_Dq_sd,eta_E0_sd,eta_A0_sd,eta_betat1_sd
IDF,0.0608377,0.429409,0.480054,1.58727,0,0.0640149,0.438281,0.543079,1.56036,0,0.0612425,0.437891,0.483108,1.65441,0,0.00889042,0.0400706,0.166628,0.154229,0
NAquitaine,0.148643,-0.778161,-1.05938,-0.617697,0,0.136135,-0.730346,-1.05095,-0.542618,0,0.139545,-0.707844,-1.13711,-0.256696,0,0.0225915,0.218913,0.33909,0.667116,0
AURA,0.0122984,-0.420846,0.56917,-1.0303,0,0.0178787,-0.42633,0.570971,-1.24526,0,0.0145702,-0.396215,0.575128,-0.83679,0,0.0154863,0.126283,0.0762322,0.770642,0
Centre,0.212739,1.44858,-0.701707,0.494644,0,0.202927,1.45768,-0.878702,0.652399,0,0.211726,1.46091,-0.744453,0.658665,0,0.0457601,0.132234,0.43202,0.469365,0
BFC,-0.126396,-0.338691,-0.82369,0.394671,0,-0.129683,-0.33546,-1.0016,0.590983,0,-0.1275,-0.329816,-0.862973,0.542641,0,0.0186941,0.132558,0.333004,0.235321,0
Normandie,0.0426801,1.24783,1.15778,-0.975891,0,0.0424312,1.26193,1.16115,-0.921683,0,0.0458266,1.25837,1.16838,-0.826417,0,0.0345036,0.112133,0.101225,0.805958,0
HDF,-0.0532918,0.753081,1.0385,-1.34078,0,-0.0476893,0.755212,1.02483,-1.37436,0,-0.0501124,0.758839,1.03812,-1.1722,0,0.014912,0.0749913,0.0622281,0.744297,0
GrandEst,-0.0389885,0.706886,-0.379504,1.92388,0,-0.0377018,0.714421,-0.503002,1.98016,0,-0.0376132,0.714793,-0.402284,1.9658,0,0.0097888,0.0473224,0.255688,0.0872106,0
PaysLoire,-0.0150906,-3.36498,0.281888,-0.156337,0,-0.017145,-3.46182,0.352269,-0.190747,0,-0.0147739,-3.23199,0.418104,-0.136933,0,0.02919,0.628893,0.199208,0.833073,0
Bretagne,-0.159857,0.546763,0.267417,-1.11662,0,-0.154744,0.529827,0.24015,-1.02332,0,-0.155026,0.56145,0.269009,-0.893986,0,0.0344247,0.150303,0.154775,0.800013,0
Occitanie,-0.0878858,-0.108107,-0.456008,0.590085,0,-0.0804828,-0.11893,-0.305226,0.455889,0,-0.0837248,-0.0880102,-0.371541,0.718358,0,0.0219557,0.136004,0.322183,0.571265,0
PACA,-0.00549388,-0.151933,-0.353631,-0.504098,0,-0.0098608,-0.138332,-0.35261,-0.395584,0,-0.0118824,-0.137544,-0.481228,0.0992431,0,0.0150677,0.100731,0.233558,0.735503,0
