id,b1_SAEM,Dq_SAEM,E0_SAEM,A0_SAEM,betat1_SAEM,b1_mean,Dq_mean,E0_mean,A0_mean,betat1_mean,b1_mode,Dq_mode,E0_mode,A0_mode,betat1_mode,b1_sd,Dq_sd,E0_sd,A0_sd,betat1_sd
IDF,0.987898,1.90683,2280.65,351.86,-0.896933,0.988841,1.92071,2265.79,354.659,-0.897173,0.985524,1.90308,1833.95,568.872,-0.897173,0.00498843,0.0642662,300.682,142.394,0
NAquitaine,1.0688,0.623276,307.988,115.921,-0.896933,1.06417,0.619854,266.943,138.671,-0.897173,1.06678,0.635488,324.517,111.502,-0.897173,0.0137731,0.10957,117.989,54.8991,0
AURA,0.94728,0.696659,1474.89,62.955,-0.896933,0.949901,0.697092,1467.67,56.102,-0.897173,0.948935,0.703406,1477.86,56.1508,-0.897173,0.00911591,0.0788653,103.511,46.0301,0
Centre,1.15298,4.74436,523.255,385.602,-0.896933,1.15493,4.79737,540.964,380.103,-0.897173,1.16016,4.83364,479.292,391.726,-0.897173,0.0448317,0.504631,224.063,135.885,0
BFC,0.847453,0.757273,502.781,132.686,-0.896933,0.851722,0.7757,489.053,131.602,-0.897173,0.846928,0.762319,491.484,138.433,-0.897173,0.0116812,0.0964401,142.063,70.4812,0
Normandie,1.00727,3.65745,3211.45,88.1164,-0.896933,1.00844,3.72214,3172.05,110.383,-0.897173,1.01002,3.69741,3205.64,83.5531,-0.897173,0.0226385,0.333772,239.573,64.1206,0
HDF,0.904891,2.12854,2140.39,41.7063,-0.896933,0.908879,2.14519,2074.05,53.9438,-0.897173,0.907073,2.14152,2115.45,42.5891,-0.897173,0.0120789,0.150709,135.043,40.0705,0
GrandEst,0.871445,2.64479,672.227,1166.68,-0.896933,0.874156,2.63728,853.325,1055.46,-0.897173,0.872356,2.64386,742.898,1123.99,-0.897173,0.00799734,0.102901,164.703,113.103,0
PaysLoire,1.04208,0.0307981,925.453,95.9295,-0.896933,1.04267,0.0318733,922.405,95.8619,-0.897173,1.04428,0.03531,945.509,80.9908,-0.897173,0.0155343,0.0204783,151.03,65.6591,0
Bretagne,0.851371,1.62831,874.993,44.6743,-0.896933,0.856298,1.59851,856.852,42.0718,-0.897173,0.860772,1.65418,829.243,44.1983,-0.897173,0.0248587,0.216644,120.48,29.4487,0
Occitanie,0.926925,0.73677,664.217,95.9129,-0.896933,0.92126,0.741434,742.168,72.8914,-0.897173,0.924544,0.754351,634.725,116.551,-0.897173,0.0136307,0.12076,120.617,52.6537,0
PACA,0.91639,1.00967,723.522,68.2703,-0.896933,0.9153,1.01015,714.724,75.6585,-0.897173,0.914821,1.00732,631.343,114.332,-0.897173,0.0111395,0.0926911,137.677,62.1762,0
