id,eta_b1_SAEM,eta_Dq_SAEM,eta_E0_SAEM,eta_A0_SAEM,eta_betat1_SAEM,eta_b1_mean,eta_Dq_mean,eta_E0_mean,eta_A0_mean,eta_betat1_mean,eta_b1_mode,eta_Dq_mode,eta_E0_mode,eta_A0_mode,eta_betat1_mode,eta_b1_sd,eta_Dq_sd,eta_E0_sd,eta_A0_sd,eta_betat1_sd
IDF,0.199295,0.553125,0.773716,0.436175,0,0.20026,0.560409,0.766836,0.443716,0,0.196913,0.551755,0.564407,1.01551,0,0.00505264,0.0336811,0.135227,0.476051,0
NAquitaine,0.27792,-0.581064,-1.2539,-0.628236,0,0.27361,-0.585918,-1.46863,-0.506518,0,0.276143,-0.545081,-1.16748,-0.6141,0,0.0129489,0.180081,0.474433,0.520813,0
AURA,0.157289,-0.459839,0.343947,-1.35243,0,0.160051,-0.459196,0.33902,-1.64346,0,0.15908,-0.443539,0.34853,-1.3001,0,0.00960071,0.116528,0.0728856,0.876058,0
Centre,0.353479,1.46012,-0.776169,0.582168,0,0.354785,1.47101,-0.743871,0.536911,0,0.360056,1.48388,-0.777507,0.64242,0,0.0386154,0.102594,0.424879,0.408852,0
BFC,0.0458502,-0.378222,-0.759948,-0.626407,0,0.050905,-0.353309,-0.808501,-0.626612,0,0.0453551,-0.363109,-0.752389,-0.397754,0,0.0137052,0.123027,0.338738,0.645504,0
Normandie,0.218369,1.20023,1.12123,-1.17584,0,0.219649,1.21856,1.10943,-0.80416,0,0.221463,1.21591,1.12285,-0.902661,0,0.0224374,0.0897392,0.076228,0.627667,0
HDF,0.111481,0.661619,0.7172,-1.85746,0,0.115863,0.669037,0.685301,-1.61745,0,0.113962,0.669798,0.707206,-1.57655,0,0.0132829,0.070446,0.0655606,0.792601,0
GrandEst,0.0738604,0.88036,-0.452983,1.732,0,0.0769567,0.877271,-0.219317,1.62767,0,0.0749363,0.880521,-0.33926,1.6965,0,0.00913264,0.0389429,0.193503,0.10977,0
PaysLoire,0.252568,-3.76165,-0.134286,-1.04646,0,0.253164,-3.71757,-0.137739,-1.0366,0,0.254822,-3.43531,-0.098095,-0.933808,0,0.0148992,0.602114,0.177974,0.79956,0
Bretagne,0.0503135,0.385693,-0.181386,-1.7499,0,0.0559384,0.368136,-0.20655,-1.83885,0,0.061569,0.411585,-0.229305,-1.53946,0,0.0289138,0.136095,0.142088,0.742387,0
Occitanie,0.135525,-0.408613,-0.470208,-0.928856,0,0.129373,-0.404219,-0.354788,-1.32609,0,0.133039,-0.373616,-0.496626,-0.569811,0,0.0147417,0.163989,0.175077,0.81223,0
PACA,0.124129,-0.085687,-0.375709,-1.33829,0,0.122917,-0.0857881,-0.400087,-1.3313,0,0.122467,-0.0844268,-0.501969,-0.589035,0,0.0121633,0.0912718,0.220905,0.838424,0
