rep,id,eta_b1,eta_Dq,eta_E0,eta_A0,eta_betat1
1,IDF,0.312066134294845,0.424003290855439,0.782571755196216,-0.597419530831466,-0.522523234254181
2,IDF,0.319453671664561,0.511626815435552,0.628970139221931,-0.0497845992186327,-0.540713167933582
3,IDF,0.298153581926565,0.546017515321366,0.576115064691094,0.434877950237816,-0.541867202049427
4,IDF,0.315137947713078,0.432079220849491,0.787504053652584,-0.430005570284922,-0.576854166813238
5,IDF,0.324414684813943,0.47652163705757,0.544165371253246,0.172036341093578,-0.57350954657129
6,IDF,0.285355094371485,0.553818644815784,0.969833517684996,-0.942612901910931,-0.513566209009357
7,IDF,0.340147791980401,0.505870735160266,0.631704201786285,-0.294711006637887,-0.612380499629594
8,IDF,0.304624618557929,0.429789459706968,0.580843408367354,0.268053875482395,-0.523025382642308
9,IDF,0.330737406629625,0.504647658665889,0.701430420628967,-0.458220613411671,-0.58186864179565
10,IDF,0.296732530128232,0.443193066521771,0.592124598403801,0.327435816772973,-0.505265997692746
1,NAquitaine,0.196434844568179,-1.31549716011533,-0.678152705076554,-0.825260395533053,-0.0830851990715342
2,NAquitaine,0.198668504670631,-0.983802926110373,-1.48439634629487,-0.197881419455822,-0.121236631201327
3,NAquitaine,0.204383581359091,-0.378981694877727,-1.69505036354138,-0.08299528821124,-0.0884339185388652
4,NAquitaine,0.170524050930394,-0.794400165541981,-0.904907261553251,-0.494627800981536,-0.0130060185819745
5,NAquitaine,0.178333397412242,-0.992749541402271,-0.710336428863939,-0.851274488521135,-0.0571804830093538
6,NAquitaine,0.144702995998926,-0.449284797324291,-0.841128874989442,-0.152915953140018,-0.114641930713233
7,NAquitaine,0.175417698815894,-0.886231495754756,-1.74121683989078,-0.0025336263461689,-0.10992765704835
8,NAquitaine,0.198919037084789,-0.635674473290507,-2.38413505461975,0.0763933248785689,-0.0838823008690008
9,NAquitaine,0.226178987611117,-0.687828906128353,-0.979988289928204,-0.681286200885751,-0.124676942974794
10,NAquitaine,0.263973224875091,-0.801090334391881,-1.108565645479,-0.898798605749105,-0.131408947919678
1,AURA,0.0623955662655829,-0.251830846047914,0.54350603869009,-0.756138490349203,-0.0749412802578272
2,AURA,0.0533338864410359,-0.344527914819838,0.43077451051502,-0.179203526200448,-0.0570053661632952
3,AURA,0.0139688601844792,-0.297366079230885,0.481405516161301,0.165738671457707,-0.0176248511567666
4,AURA,0.0636854612205603,-0.519527057622049,0.499875960328799,-0.819858912418068,-0.0447342553785161
5,AURA,0.077194967227997,-0.351107582260935,0.315859695496544,-0.00361269288384636,-0.130487732169314
6,AURA,0.0646184557212074,-0.37240783390294,0.563236521861536,-0.881524004748612,-0.109563028306522
7,AURA,0.0754703826604454,-0.509197968808786,0.488892977914053,-0.855379811629605,-0.108859925459417
8,AURA,0.0330697387813873,-0.290549721059134,0.736543716068689,-1.0060303914625,-0.0737288359392871
9,AURA,0.0731645775427439,-0.257452793686366,0.571272425735388,-1.38310072646955,-0.0960338323296567
10,AURA,0.085859479252878,-0.405165477818111,0.414403981950337,-0.722000400655704,-0.0992417257987755
1,Centre,0.1723945934778,1.37490920056632,-0.576211415504252,0.238732138319792,0.102685610732247
2,Centre,0.138129566931681,1.14675832101758,-0.865782816309141,0.499686709147233,0.126844318771267
3,Centre,0.166412040790611,0.963190613845059,-0.20687206656019,-0.494042171045535,0.14778841041479
4,Centre,0.175076147585012,1.4597756868259,-1.26936708295253,0.722751987252898,0.0213393488342579
5,Centre,0.204419658863246,1.46867057309978,-0.608582209732302,0.164192657681138,0.100491145160938
6,Centre,0.292808741167082,1.42103666853413,-1.05708974938973,0.230914212480601,-0.0323070614782015
7,Centre,0.168912596452098,1.49995581543116,-0.3959057026681,0.257624676842882,0.0716162246306595
8,Centre,0.156072322966445,1.44683226395018,-0.0491777014051746,0.0960999015693563,0.0577403134881483
9,Centre,0.20598519993219,1.32296390667439,-1.62846267187373,0.661444378372766,0.00587914357582564
10,Centre,0.213074052745527,1.46405752257498,-0.856713347518153,0.489764393895936,0.0105630321062075
1,BFC,-0.164831997110642,-0.330105233448108,-1.24164884101091,0.932984303081824,0.0337202670866305
2,BFC,-0.142712691481152,-0.249158064609122,-0.68718523134015,0.688956356720676,-0.037216777040392
3,BFC,-0.0926602295383588,-0.64733908978283,-0.98415519734874,0.444254292558805,-0.0077889911849069
4,BFC,-0.120663533762163,-0.318117582090814,-0.870891840165908,0.623924514121158,-0.0626648083050069
5,BFC,-0.103896235983785,-0.451114202559219,-1.35193372851808,0.665815928298823,0.0176714287500447
6,BFC,-0.135078149138417,-0.298439303992265,-1.36982134301976,0.86436447638597,-0.0467580185476685
7,BFC,-0.0841658407211478,-0.473949428742883,-0.345925471776109,0.0393247208596822,-0.0947806546680937
8,BFC,-0.0992220992801799,-0.209808256819868,-0.64537069720512,0.450294540789483,-0.0962981989621256
9,BFC,-0.138366914496525,-0.25865605616955,-1.11873461663557,0.836227456372924,-0.0666105771208192
10,BFC,-0.164149442382355,-0.565606053632939,-1.01062617145754,0.857129750244649,0.0290018561138264
1,Normandie,-0.12120541166352,1.22557902993885,1.14993228965499,-0.395824471719059,0.232405494111698
2,Normandie,-0.063495516459636,1.26444806696261,1.0003825507216,-0.0582689336619957,0.113107441400437
3,Normandie,-0.204683155301683,1.40651297393224,0.972894705304878,0.482267981737066,0.384620360754262
