rep,id,eta_b1,eta_Dq,eta_E0,eta_A0,eta_betat1
1,IDF,0.0521797372717822,0.495520733724932,0.463250910075776,2.1536782667763,0
2,IDF,0.060390265755837,0.426288497367709,0.468367039140443,2.06368722324568,0
3,IDF,0.0468107375206974,0.473325435310138,0.532657244066204,2.1152783807149,0
4,IDF,0.0606437711877811,0.440550674948548,0.377160851947963,2.12911478320198,0
5,IDF,0.0512427967827428,0.410721294056389,0.470112585551374,2.13738634676588,0
6,IDF,0.0790937596075842,0.415867777176613,0.353541263147533,1.9974210235419,0
7,IDF,0.0546934174652586,0.421274495747238,0.5198726299435,2.06946754263866,0
8,IDF,0.0545788520446001,0.482938979292579,0.682919866963489,1.95263804457157,0
9,IDF,0.0626394083347654,0.439964016114086,0.513528192952088,2.03323410641569,0
10,IDF,0.0539657942382404,0.459862428245854,0.27137711323191,2.23590645180575,0
1,NAquitaine,0.146082845110804,-1.22955428238808,-0.494709583842445,-1.71835962539195,0
2,NAquitaine,0.145346168963674,-0.724448669193872,-0.643817472120527,-0.702392388767475,0
3,NAquitaine,0.134674107298176,-0.559271465917951,-1.14633691661988,0.250593198590237,0
4,NAquitaine,0.136905873294656,-0.722637741001127,-0.550939080003274,-0.690297344753421,0
5,NAquitaine,0.136964167074747,-0.707747370742331,-1.55649029495941,0.40705276143373,0
6,NAquitaine,0.123158516121806,-0.967981706809657,-0.501226870253662,-0.711299516425384,0
7,NAquitaine,0.122615793467928,-0.888995389245191,-0.477635612872942,-0.956103845606698,0
8,NAquitaine,0.109512861782497,-0.738013828877961,-1.62157909167494,0.590358570427379,0
9,NAquitaine,0.180071197668671,-0.698005473961089,-0.53615265467729,-2.15792491146315,0
10,NAquitaine,0.122607552485265,-1.0113454299621,-1.59312423033166,0.455149420444769,0
1,AURA,0.0400898787814524,-0.429661235209452,0.289527331424529,-0.238524574443133,0
2,AURA,0.0443759842069116,-0.226040447709963,0.407346266426381,-1.41887193600397,0
3,AURA,0.00838612712273347,-0.622072839740026,0.408984599362051,-0.0187460431368121,0
4,AURA,-0.00908893551336842,-0.250305121148062,0.630156135921362,-1.09145735990473,0
5,AURA,0.0233439901996793,-0.671322515670509,0.450977199094793,-1.28640817185995,0
6,AURA,0.0140101681274454,-0.571196237676417,0.439984381236652,-0.29742051646539,0
7,AURA,0.00573565361220695,-0.509244241072711,0.365264933512927,-0.000474359775954392,0
8,AURA,0.0150448984140443,-0.495766939279159,0.481922748376454,-1.54899028400503,0
9,AURA,-0.000933430612342063,-0.457940693951464,0.530563396623037,-0.729542642829034,0
10,AURA,0.0330171233418821,-0.504594841819631,0.414972132070264,-1.0841582765758,0
1,Centre,0.171477730084187,1.44428946464001,-0.896341405806867,1.03574094465964,0
2,Centre,0.277790978768928,1.34582772388899,-0.774198532912619,0.392759383693254,0
3,Centre,0.210962569501042,1.31240825303031,-0.9262028652806,0.827683085518285,0
4,Centre,0.172371326906468,1.39054503602427,-0.773560268526477,1.02309852326446,0
5,Centre,0.206553073412711,1.49729986244757,-0.313492301390193,0.327802220883131,0
6,Centre,0.159992583484526,1.27876221185908,-1.24517026015601,1.20436143889621,0
7,Centre,0.128566077214622,1.40303422314792,-0.369353508371967,0.916468012680094,0
8,Centre,0.184622916214554,1.58201372780555,-0.551186429743418,0.898556254486087,0
9,Centre,0.181653629991831,1.57971955265875,-0.0311528074751245,0.196766877025596,0
10,Centre,0.226071465991552,1.33704223924199,-0.471438386947538,0.413736930217387,0
1,BFC,-0.0985201203678785,-0.220880898294439,-0.583868999701745,0.367922193347008,0
2,BFC,-0.143145381550087,-0.546685376171815,-0.924320081134285,1.04175323380025,0
3,BFC,-0.139088081287791,-0.450464524572834,-0.69058164353634,0.827657413540242,0
4,BFC,-0.137241155344542,-0.278181514839981,-0.578834806800644,0.750833178050361,0
5,BFC,-0.131562868048365,-0.404974382778558,-0.746144378746365,0.790413346610641,0
6,BFC,-0.139989069057565,-0.293645906787014,-0.351180069034647,0.618812021168949,0
7,BFC,-0.125253736230989,-0.233818941805035,-1.15920657486688,0.994766937639482,0
8,BFC,-0.121976656247698,-0.361697289617866,-0.436881033314689,0.407540775165295,0
9,BFC,-0.111040887787947,-0.253764923513574,-0.533933083621819,0.516130061158635,0
10,BFC,-0.143315611358446,-0.528873909576696,-0.831086006824629,0.885688247736175,0
1,Normandie,0.00242149149435195,1.28990023211256,1.01434018659223,-2.12147014857896,0
2,Normandie,0.0689735202024285,1.28832679303397,0.750721018796784,0.262448901698803,0
