id,b1_SAEM,Dq_SAEM,E0_SAEM,A0_SAEM,betat1_SAEM,b1_mean,Dq_mean,E0_mean,A0_mean,betat1_mean,b1_mode,Dq_mode,E0_mode,A0_mode,betat1_mode,b1_sd,Dq_sd,E0_sd,A0_sd,betat1_sd
IDF,0.990608,1.89312,2371.05,669.226,-0.905489,0.990544,1.89248,2686.55,528.347,-0.905324,0.990147,1.89596,2284.01,712.711,-0.905324,0.00684267,0.0654145,397.811,188.768,0
NAquitaine,1.07493,0.623539,455.47,113.033,-0.905489,1.07573,0.640525,531.11,80.6684,-0.905324,1.07436,0.644619,499.82,95.9744,-0.905324,0.015005,0.109515,120.371,53.4247,0
AURA,0.955123,0.70121,1549.41,47.0411,-0.905489,0.953177,0.693788,1595.59,32.3494,-0.905324,0.955117,0.702021,1578.34,33.1037,-0.905324,0.00989714,0.0804306,106.517,33.5563,0
Centre,1.19188,5.00384,636.562,341.357,-0.905489,1.19414,5.00581,644.017,334.035,-0.905324,1.19661,5.04475,605.152,344.411,-0.905324,0.0386732,0.501083,274.861,132.154,0
BFC,0.843651,0.754912,650.094,161.775,-0.905489,0.843148,0.763624,713.721,132.832,-0.905324,0.842822,0.758701,692.327,142.656,-0.905324,0.010509,0.0896721,171.367,90.6638,0
Normandie,1.02518,3.73963,2796.93,49.9118,-0.905489,1.02884,3.78605,2740.87,63.6631,-0.905324,1.0284,3.76196,2782.26,45.1699,-0.905324,0.0268436,0.353287,243.872,66.4991,0
HDF,0.911363,2.14308,1456.18,18.5075,-0.905489,0.914231,2.15169,1430.19,20.4733,-0.905324,0.911916,2.14616,1451.8,17.5222,-0.905324,0.0120732,0.143483,83.1012,17.3549,0
GrandEst,0.876031,2.63365,782.754,1065.97,-0.905489,0.877171,2.64809,769.046,1067.73,-0.905324,0.87652,2.6357,764.016,1070.88,-0.905324,0.00845821,0.100789,190.206,115.189,0
PaysLoire,1.06109,0.0383164,1047.35,61.2405,-0.905489,1.0594,0.0336942,1044.99,64.485,-0.905324,1.05807,0.0341748,1084.95,49.533,-0.905324,0.0183176,0.0209984,162.895,59.2943,0
Bretagne,0.863605,1.64715,827.667,23.3835,-0.905489,0.868699,1.65255,807.22,22.4467,-0.905324,0.86703,1.65873,810.922,22.7649,-0.905324,0.0214223,0.22455,91.5628,19.3934,0
Occitanie,0.928023,0.730695,805.236,78.7422,-0.905489,0.932506,0.746889,817.412,63.7197,-0.905324,0.93037,0.752792,779.981,86.1046,-0.905324,0.0139959,0.119505,122.449,55.2918,0
PACA,0.91436,1.00087,1012.99,84.0893,-0.905489,0.91332,1.00338,995.369,96.0236,-0.905324,0.91317,1.00432,942.463,120.494,-0.905324,0.0105429,0.0934227,159.854,80.0876,0
