id	nameid	date	obs	popsize	epidemicsStart	day	lockdown	timeSinceConf	timeSinceDeConf	rsent	initH	initIref	timelock	obs_id
REG-11	IDF	2020-03-02	25	12278210	2020-03-02	0	0	0	0	0.043101077	5	29	15	1
REG-11	IDF	2020-03-03	3	12278210	2020-03-02	1	0	0	0	0.043101077	5	29	15	1
REG-11	IDF	2020-03-04	18	12278210	2020-03-02	2	0	0	0	0.043101077	5	29	15	1
REG-11	IDF	2020-03-05	21	12278210	2020-03-02	3	0	0	0	0.043101077	5	29	15	1
REG-11	IDF	2020-03-06	13	12278210	2020-03-02	4	0	0	0	0.043101077	5	29	15	1
REG-11	IDF	2020-03-07	15	12278210	2020-03-02	5	0	0	0	0.043101077	5	29	15	1
REG-11	IDF	2020-03-08	0	12278210	2020-03-02	6	0	0	0	0.043101077	5	29	15	1
REG-11	IDF	2020-03-09	0	12278210	2020-03-02	7	0	0	0	0.043101077	5	29	15	1
REG-11	IDF	2020-03-10	230	12278210	2020-03-02	8	0	0	0	0.043101077	5	29	15	1
REG-11	IDF	2020-03-11	158	12278210	2020-03-02	9	0	0	0	0.043101077	5	29	15	1
REG-11	IDF	2020-03-12	85	12278210	2020-03-02	10	0	0	0	0.043101077	5	29	15	1
REG-11	IDF	2020-03-13	144	12278210	2020-03-02	11	0	0	0	0.043101077	5	29	15	1
REG-11	IDF	2020-03-14	228	12278210	2020-03-02	12	0	0	0	0.043101077	5	29	15	1
REG-11	IDF	2020-03-15	260	12278210	2020-03-02	13	0	0	0	0.043101077	5	29	15	1
REG-11	IDF	2020-03-16	553	12278210	2020-03-02	14	0	0	0	0.043101077	5	29	15	1
REG-11	IDF	2020-03-17	415	12278210	2020-03-02	15	1	1	0	0.043101077	5	29	15	1
REG-11	IDF	2020-03-18	516	12278210	2020-03-02	16	1	2	0	0.043101077	5	29	15	1
REG-11	IDF	2020-03-19	691	12278210	2020-03-02	17	1	3	0	0.043101077	5	29	15	1
REG-11	IDF	2020-03-20	434	12278210	2020-03-02	18	1	4	0	0.043101077	5	29	15	1
REG-11	IDF	2020-03-21	877	12278210	2020-03-02	19	1	5	0	0.043101077	5	29	15	1
REG-11	IDF	2020-03-22	588	12278210	2020-03-02	20	1	6	0	0.043101077	5	29	15	1
REG-11	IDF	2020-03-23	928	12278210	2020-03-02	21	1	7	0	0.043101077	5	29	15	1
REG-11	IDF	2020-03-24	587	12278210	2020-03-02	22	1	8	0	0.043101077	5	29	15	1
REG-11	IDF	2020-03-02	30	12278210	2020-03-02	0	0	0	0	0.043101077	5	29	15	2
REG-11	IDF	2020-03-03	31	12278210	2020-03-02	1	0	0	0	0.043101077	5	29	15	2
REG-11	IDF	2020-03-04	33	12278210	2020-03-02	2	0	0	0	0.043101077	5	29	15	2
REG-11	IDF	2020-03-05	23	12278210	2020-03-02	3	0	0	0	0.043101077	5	29	15	2
REG-11	IDF	2020-03-06	47	12278210	2020-03-02	4	0	0	0	0.043101077	5	29	15	2
REG-11	IDF	2020-03-07	15	12278210	2020-03-02	5	0	0	0	0.043101077	5	29	15	2
REG-11	IDF	2020-03-08	21	12278210	2020-03-02	6	0	0	0	0.043101077	5	29	15	2
REG-11	IDF	2020-03-09	71	12278210	2020-03-02	7	0	0	0	0.043101077	5	29	15	2
REG-11	IDF	2020-03-10	70	12278210	2020-03-02	8	0	0	0	0.043101077	5	29	15	2
REG-11	IDF	2020-03-11	86	12278210	2020-03-02	9	0	0	0	0.043101077	5	29	15	2
REG-11	IDF	2020-03-12	116	12278210	2020-03-02	10	0	0	0	0.043101077	5	29	15	2
REG-11	IDF	2020-03-13	132	12278210	2020-03-02	11	0	0	0	0.043101077	5	29	15	2
REG-11	IDF	2020-03-14	301	12278210	2020-03-02	12	0	0	0	0.043101077	5	29	15	2
REG-11	IDF	2020-03-15	249	12278210	2020-03-02	13	0	0	0	0.043101077	5	29	15	2
REG-11	IDF	2020-03-16	305	12278210	2020-03-02	14	0	0	0	0.043101077	5	29	15	2
REG-11	IDF	2020-03-17	455	12278210	2020-03-02	15	1	1	0	0.043101077	5	29	15	2
REG-11	IDF	2020-03-18	534	12278210	2020-03-02	16	1	2	0	0.043101077	5	29	15	2
REG-11	IDF	2020-03-19	610	12278210	2020-03-02	17	1	3	0	0.043101077	5	29	15	2
REG-11	IDF	2020-03-20	815	12278210	2020-03-02	18	1	4	0	0.043101077	5	29	15	2
REG-11	IDF	2020-03-21	656	12278210	2020-03-02	19	1	5	0	0.043101077	5	29	15	2
REG-11	IDF	2020-03-22	721	12278210	2020-03-02	20	1	6	0	0.043101077	5	29	15	2
REG-11	IDF	2020-03-23	1057	12278210	2020-03-02	21	1	7	0	0.043101077	5	29	15	2
REG-11	IDF	2020-03-24	1114	12278210	2020-03-02	22	1	8	0	0.043101077	5	29	15	2
REG-11	IDF	2020-03-25	1247	12278210	2020-03-02	23	1	9	0	0.043101077	5	29	15	2
REG-11	IDF	2020-03-26	1290	12278210	2020-03-02	24	1	10	0	0.043101077	5	29	15	2
REG-11	IDF	2020-03-27	1498	12278210	2020-03-02	25	1	11	0	0.043101077	5	29	15	2
REG-11	IDF	2020-03-28	1122	12278210	2020-03-02	26	1	12	0	0.043101077	5	29	15	2
REG-11	IDF	2020-03-29	1018	12278210	2020-03-02	27	1	13	0	0.043101077	5	29	15	2
REG-11	IDF	2020-03-30	1354	12278210	2020-03-02	28	1	14	0	0.043101077	5	29	15	2
REG-11	IDF	2020-03-31	1386	12278210	2020-03-02	29	1	15	0	0.043101077	5	29	15	2
REG-11	IDF	2020-04-01	1457	12278210	2020-03-02	30	1	16	0	0.043101077	5	29	15	2
REG-11	IDF	2020-04-02	1235	12278210	2020-03-02	31	1	17	0	0.043101077	5	29	15	2
REG-11	IDF	2020-04-03	1245	12278210	2020-03-02	32	1	18	0	0.043101077	5	29	15	2
REG-11	IDF	2020-04-04	897	12278210	2020-03-02	33	1	19	0	0.043101077	5	29	15	2
REG-11	IDF	2020-04-05	598	12278210	2020-03-02	34	1	20	0	0.043101077	5	29	15	2
REG-11	IDF	2020-04-06	1064	12278210	2020-03-02	35	1	21	0	0.043101077	5	29	15	2
