"id","initE_mode","b1_mode","betaw1_mode","betaw2_mode","betaw3_mode","betaw4_mode","Dq_mode","initE_sd","b1_sd","betaw1_sd","betaw2_sd","betaw3_sd","betaw4_sd","Dq_sd"
"1","IDF",5004.27,2.23261,-0.113538,-0.503819,-1.3625,-1.46295,0.362046,100.38,0,0.0146029,0.0154915,0.027882,0.00819201,0
"2","Centre",306.271,2.23261,0.0731732,-0.418873,-1.19235,-1.40992,0.362046,29.2647,0,0.0482594,0.0500933,0.0705815,0.0212211,0
"3","BFC",727.582,2.23261,-0.184268,-0.957994,-1.30405,-1.4166,0.362046,39.4186,0,0.0367702,0.0537557,0.0646506,0.0197902,0
"4","Normandie",1356.87,2.23261,-0.0675066,-0.714208,-1.49642,-1.43874,0.362046,87.0054,0,0.0457288,0.0565712,0.0822468,0.0256328,0
"5","HDF",868.644,2.23261,-0.204883,-0.619929,-1.19151,-1.41666,0.362046,40.8661,0,0.0302421,0.0317904,0.0510016,0.014066,0
"6","GrandEst",4314.61,2.23261,-0.335021,-0.894328,-1.55288,-1.3432,0.362046,73.7283,0,0.0166709,0.0284943,0.0433834,0.011223,0
"7","PaysLoire",138.289,2.23261,-0.0383596,-0.44124,-1.44419,-1.43919,0.362046,28.475,0,0.0565675,0.0546767,0.0842073,0.02322,0
"8","Bretagne",79.9518,2.23261,-0.723584,-0.730916,-1.23688,-1.49394,0.362046,17.4274,0,0.0660625,0.0659702,0.0823561,0.0285548,0
"9","NAquitaine",396.918,2.23261,0.0677422,-0.875345,-1.34336,-1.50376,0.362046,36.2966,0,0.048104,0.0641094,0.0847353,0.0247976,0
"10","Occitanie",353.139,2.23261,-0.147248,-0.740855,-1.6337,-1.46466,0.362046,29.0438,0,0.0387882,0.0519075,0.0934114,0.0233137,0
"11","AURA",1321.63,2.23261,-0.195174,-0.571588,-1.51054,-1.40615,0.362046,43.5732,0,0.0265453,0.0282278,0.0481747,0.0137704,0
"12","PACA",623.777,2.23261,-0.198427,-0.754465,-1.14988,-1.38085,0.362046,39.2322,0,0.0320425,0.0407851,0.0538452,0.0169848,0
