ID date diffB diffBmin diffBmax 
'IDF' '2020-03-02' -1.078766e-03 1.287329e-01 -1.391908e-01
'IDF' '2020-03-05' -1.038035e-03 4.002280e-01 -4.938814e-01
'IDF' '2020-03-02' -5.883947e-04 5.330949e-01 -7.095675e-01
'IDF' '2020-03-10' 1.603448e-03 6.305509e-01 -8.864790e-01
'IDF' '2020-03-02' 7.317765e-03 7.105502e-01 -1.038057e+00
'IDF' '2020-03-02' 2.498059e-02 7.843083e-01 -1.155171e+00
'IDF' '2020-03-04' 6.795915e-02 8.611770e-01 -1.212576e+00
'IDF' '2020-03-02' 1.267214e-01 9.336720e-01 -1.215846e+00
'IDF' '2020-03-04' 1.652779e-01 9.786793e-01 -1.215195e+00
'IDF' '2020-03-02' 2.073902e-01 1.009261e+00 -1.163170e+00
'IDF' '2020-03-02' 2.841662e-01 1.047067e+00 -1.014985e+00
'IDF' '2020-03-02' 3.511409e-01 1.073147e+00 -8.678023e-01
'IDF' '2020-03-03' 2.791198e-01 1.011015e+00 -9.409940e-01
'IDF' '2020-03-06' 1.996395e-01 9.320291e-01 -9.962315e-01
'IDF' '2020-03-03' 1.250088e-01 8.557559e-01 -1.047685e+00
'IDF' '2020-03-11' 4.358414e-03 7.475057e-01 -1.169278e+00
'IDF' '2020-03-03' -8.950418e-02 6.535153e-01 -1.246754e+00
'IDF' '2020-03-03' -1.523816e-01 5.760680e-01 -1.272901e+00
'IDF' '2020-03-05' -1.569572e-01 5.308151e-01 -1.201155e+00
'IDF' '2020-03-03' -4.602022e-02 5.589550e-01 -9.531097e-01
'IDF' '2020-03-05' 1.373738e-01 6.385405e-01 -6.080467e-01
'IDF' '2020-03-03' 1.024525e-01 5.712195e-01 -5.909861e-01
'IDF' '2020-03-03' 5.795305e-02 4.908138e-01 -5.761618e-01
'IDF' '2020-03-03' -9.344312e-02 3.475240e-01 -7.406512e-01
'IDF' '2020-03-04' -1.739073e-01 2.439442e-01 -7.820284e-01
'IDF' '2020-03-07' -2.525313e-01 1.446848e-01 -8.256533e-01
'IDF' '2020-03-04' -1.278973e-01 1.949878e-01 -5.916527e-01
'IDF' '2020-03-12' 3.623164e-02 2.854577e-01 -3.241529e-01
'IDF' '2020-03-04' 2.814180e-02 2.627776e-01 -3.151250e-01
'IDF' '2020-03-04' -6.100623e-02 1.870823e-01 -4.268007e-01
'IDF' '2020-03-06' -1.576043e-01 1.078909e-01 -5.499604e-01
'IDF' '2020-03-04' -1.718727e-01 8.597671e-02 -5.523924e-01
'IDF' '2020-03-06' -1.492911e-01 9.307311e-02 -5.072692e-01
'IDF' '2020-03-04' -6.712742e-02 1.441002e-01 -3.804477e-01
'IDF' '2020-03-04' 6.061753e-02 2.292186e-01 -1.923138e-01
'IDF' '2020-03-04' 7.611747e-02 2.410842e-01 -1.754340e-01
'IDF' '2020-03-05' 1.878309e-02 2.052953e-01 -2.694162e-01
'IDF' '2020-03-08' -2.328475e-02 1.790358e-01 -3.385212e-01
'IDF' '2020-03-05' -5.994857e-02 1.557306e-01 -3.975413e-01
'IDF' '2020-03-13' -9.630580e-02 1.319901e-01 -4.541852e-01
'IDF' '2020-03-05' -7.157087e-02 1.472751e-01 -4.149229e-01
'IDF' '2020-03-05' 3.163481e-03 1.961221e-01 -3.012090e-01
'IDF' '2020-03-07' 5.900808e-02 2.342906e-01 -2.204827e-01
'IDF' '2020-03-05' 5.793234e-02 2.371053e-01 -2.315003e-01
'IDF' '2020-03-07' 3.553026e-02 2.264405e-01 -2.763852e-01
'IDF' '2020-03-05' 2.178519e-03 2.087830e-01 -3.384860e-01
'IDF' '2020-03-05' -4.196295e-02 1.838428e-01 -4.164146e-01
'IDF' '2020-03-05' -2.511017e-02 1.951734e-01 -3.917954e-01
'IDF' '2020-03-06' 3.137012e-02 2.311591e-01 -3.035920e-01
'IDF' '2020-03-09' 4.598416e-02 2.428062e-01 -2.874731e-01
'IDF' '2020-03-06' 2.060383e-02 2.307315e-01 -3.389413e-01
'IDF' '2020-03-14' 4.378429e-03 2.236353e-01 -3.737804e-01
'IDF' '2020-03-06' -1.064012e-02 2.171177e-01 -4.062702e-01
'IDF' '2020-03-06' -3.198772e-02 2.066265e-01 -4.488281e-01
'IDF' '2020-03-08' -1.137112e-02 2.200689e-01 -4.178607e-01
'IDF' '2020-03-06' 3.235846e-02 2.473521e-01 -3.484876e-01
'IDF' '2020-03-08' 4.008637e-02 2.547173e-01 -3.443329e-01
'IDF' '2020-03-06' 2.379322e-02 2.485206e-01 -3.829221e-01
'IDF' '2020-03-06' 1.056796e-02 2.438288e-01 -4.155091e-01
'IDF' '2020-03-06' 1.318232e-04 2.405054e-01 -4.426162e-01
'IDF' '2020-03-07' 7.425797e-03 2.467183e-01 -4.368888e-01
'IDF' '2020-03-10' 2.477170e-02 2.585589e-01 -4.133786e-01
'IDF' '2020-03-07' 4.164550e-02 2.702895e-01 -3.914370e-01
'IDF' '2020-03-15' 4.183736e-02 2.733191e-01 -4.017027e-01
'IDF' '2020-03-07' 2.348267e-02 2.665341e-01 -4.472420e-01
'IDF' '2020-03-07' 4.635882e-03 2.592616e-01 -4.930513e-01
'IDF' '2020-03-09' -6.958057e-03 2.554967e-01 -5.240574e-01
'IDF' '2020-03-07' -4.364456e-03 2.588643e-01 -5.269714e-01
'IDF' '2020-03-09' 2.893584e-03 2.647241e-01 -5.213224e-01
'IDF' '2020-03-07' 1.165859e-02 2.714326e-01 -5.132019e-01
'IDF' '2020-03-07' 1.433375e-02 2.749921e-01 -5.170042e-01
'IDF' '2020-03-07' 1.433365e-02 2.749920e-01 -5.170043e-01
'Centre' '2020-03-08' -6.083860e-04 1.292033e-01 -1.387204e-01
'Centre' '2020-03-11' -4.632592e-04 4.008108e-01 -4.933165e-01
'Centre' '2020-03-08' -3.281269e-05 5.337161e-01 -7.091005e-01
'Centre' '2020-03-16' 2.721473e-03 6.316674e-01 -8.853692e-01
'Centre' '2020-03-08' 1.028748e-02 7.130946e-01 -1.034529e+00
'Centre' '2020-03-08' 2.307316e-02 7.841250e-01 -1.160122e+00
'Centre' '2020-03-10' 4.747128e-02 8.506822e-01 -1.250542e+00
'Centre' '2020-03-08' 7.081883e-02 9.045263e-01 -1.319982e+00
'Centre' '2020-03-10' 1.077719e-01 9.527416e-01 -1.334102e+00
'Centre' '2020-03-08' 1.535103e-01 9.909452e-01 -1.292059e+00
'Centre' '2020-03-08' 2.489068e-01 1.043836e+00 -1.123854e+00
'Centre' '2020-03-08' 3.380411e-01 1.086369e+00 -9.479361e-01
'Centre' '2020-03-09' 3.539465e-01 1.080410e+00 -8.828390e-01
'Centre' '2020-03-12' 3.086036e-01 1.030921e+00 -9.036548e-01
'Centre' '2020-03-09' 2.186099e-01 9.453586e-01 -9.778360e-01
'Centre' '2020-03-17' 9.231223e-02 8.296749e-01 -1.096447e+00
'Centre' '2020-03-09' 1.028794e-01 7.995255e-01 -1.002803e+00
'Centre' '2020-03-09' 1.945807e-01 8.293283e-01 -8.087709e-01
'Centre' '2020-03-11' 1.572813e-01 7.738363e-01 -8.155953e-01
'Centre' '2020-03-09' -4.079944e-02 6.001857e-01 -1.042399e+00
'Centre' '2020-03-11' -7.335160e-02 5.372393e-01 -1.028334e+00
'Centre' '2020-03-09' -1.082615e-01 4.576161e-01 -9.857081e-01
'Centre' '2020-03-09' -3.358954e-01 2.431485e-01 -1.219744e+00
'Centre' '2020-03-09' -2.510990e-01 2.322187e-01 -9.753257e-01
'Centre' '2020-03-10' 1.307081e-02 3.636472e-01 -5.115234e-01
'Centre' '2020-03-13' 5.785686e-02 3.596929e-01 -3.973558e-01
'Centre' '2020-03-10' -3.491070e-02 2.685637e-01 -4.950452e-01
'Centre' '2020-03-18' -8.022626e-02 2.126557e-01 -5.247000e-01
'Centre' '2020-03-10' -1.172227e-01 1.680872e-01 -5.505014e-01
'Centre' '2020-03-10' -1.564927e-01 1.262382e-01 -5.854788e-01
'Centre' '2020-03-12' -9.633366e-02 1.547052e-01 -4.774272e-01
'Centre' '2020-03-10' 5.916925e-02 2.517665e-01 -2.355743e-01
'Centre' '2020-03-12' 1.150924e-01 2.871668e-01 -1.524274e-01
'Centre' '2020-03-10' 9.193240e-02 2.725922e-01 -1.932338e-01
'Centre' '2020-03-10' 4.408870e-02 2.429483e-01 -2.734937e-01
'Centre' '2020-03-10' -2.513444e-03 2.138404e-01 -3.503768e-01
'Centre' '2020-03-11' -6.708249e-02 1.729411e-01 -4.539141e-01
'Centre' '2020-03-14' -1.308223e-01 1.308323e-01 -5.511635e-01
'Centre' '2020-03-11' -7.465407e-02 1.635952e-01 -4.560638e-01
'Centre' '2020-03-19' 2.671795e-02 2.279079e-01 -2.968865e-01
'Centre' '2020-03-11' 8.922266e-03 2.197185e-01 -3.334250e-01
'Centre' '2020-03-11' -3.948445e-02 1.916999e-01 -4.170776e-01
'Centre' '2020-03-13' -2.945830e-02 1.992494e-01 -4.046955e-01
'Centre' '2020-03-11' 3.823906e-04 2.193112e-01 -3.609637e-01
'Centre' '2020-03-13' 3.968292e-02 2.456698e-01 -3.032080e-01
'Centre' '2020-03-11' 7.598807e-02 2.705841e-01 -2.515536e-01
'Centre' '2020-03-11' 8.255346e-02 2.779363e-01 -2.504658e-01
'Centre' '2020-03-11' 4.402908e-02 2.586039e-01 -3.257789e-01
'Centre' '2020-03-12' 2.356118e-02 2.490536e-01 -3.680485e-01
'Centre' '2020-03-15' 2.230519e-02 2.504835e-01 -3.767939e-01
'Centre' '2020-03-12' 3.243480e-03 2.415038e-01 -4.160566e-01
'Centre' '2020-03-20' -3.827173e-03 2.390013e-01 -4.332277e-01
'Centre' '2020-03-12' 8.728535e-04 2.432604e-01 -4.299580e-01
'Centre' '2020-03-12' -1.170664e-02 2.378776e-01 -4.577059e-01
'Centre' '2020-03-14' -4.756727e-02 2.190528e-01 -5.257762e-01
'Centre' '2020-03-12' -6.570770e-02 2.094226e-01 -5.598745e-01
'Centre' '2020-03-14' -7.721608e-02 2.035183e-01 -5.821724e-01
'Centre' '2020-03-12' -6.844405e-02 2.088964e-01 -5.680199e-01
'Centre' '2020-03-12' -4.254735e-02 2.246362e-01 -5.258143e-01
'Centre' '2020-03-12' -7.662093e-03 2.460287e-01 -4.696520e-01
'Centre' '2020-03-13' 8.002810e-03 2.574570e-01 -4.505874e-01
'Centre' '2020-03-16' 3.155793e-03 2.576718e-01 -4.692275e-01
'Centre' '2020-03-13' 1.935294e-02 2.691418e-01 -4.487060e-01
'Centre' '2020-03-21' 2.535869e-02 2.753802e-01 -4.482184e-01
'Centre' '2020-03-13' 3.221652e-02 2.818946e-01 -4.457216e-01
'Centre' '2020-03-13' 4.318224e-02 2.906356e-01 -4.358949e-01
'Centre' '2020-03-15' 5.670672e-02 3.006283e-01 -4.211153e-01
'Centre' '2020-03-13' 6.506685e-02 3.080306e-01 -4.169199e-01
'Centre' '2020-03-15' 6.506876e-02 3.147257e-01 -4.439939e-01
'Centre' '2020-03-13' 6.516622e-02 3.210465e-01 -4.705760e-01
'Centre' '2020-03-13' 6.517207e-02 3.263747e-01 -4.944524e-01
'Centre' '2020-03-13' 6.517205e-02 3.263747e-01 -4.944525e-01
'BFC' '2020-03-14' -3.700116e-04 1.294416e-01 -1.384821e-01
'BFC' '2020-03-17' -1.164479e-04 4.011528e-01 -4.929637e-01
'BFC' '2020-03-14' 5.044663e-04 5.342267e-01 -7.085278e-01
'BFC' '2020-03-22' 7.663024e-04 6.304552e-01 -8.883769e-01
'BFC' '2020-03-14' -1.725405e-04 7.063385e-01 -1.050520e+00
'BFC' '2020-03-14' 5.300503e-03 7.731698e-01 -1.188604e+00
'BFC' '2020-03-16' 3.177255e-02 8.417999e-01 -1.277608e+00
'BFC' '2020-03-14' 6.212067e-02 9.008304e-01 -1.338009e+00
'BFC' '2020-03-16' 6.670474e-02 9.312575e-01 -1.410727e+00
'BFC' '2020-03-14' 1.134474e-01 9.705943e-01 -1.368502e+00
'BFC' '2020-03-14' 1.821163e-01 1.008424e+00 -1.247526e+00
'BFC' '2020-03-14' 2.173690e-01 1.015300e+00 -1.151343e+00
'BFC' '2020-03-15' 3.142896e-01 1.052769e+00 -9.365380e-01
'BFC' '2020-03-18' 4.120316e-01 1.094642e+00 -7.351975e-01
'BFC' '2020-03-15' 7.468138e-02 8.658205e-01 -1.236510e+00
'BFC' '2020-03-23' -1.090692e-01 6.857860e-01 -1.374086e+00
'BFC' '2020-03-15' -3.082978e-02 6.983984e-01 -1.176788e+00
'BFC' '2020-03-15' 3.385809e-02 7.067153e-01 -1.018342e+00
'BFC' '2020-03-17' 4.569525e-02 6.761557e-01 -9.372901e-01
'BFC' '2020-03-15' -1.849318e-02 5.841447e-01 -9.513169e-01
'BFC' '2020-03-17' 5.196973e-02 5.718042e-01 -7.457808e-01
'BFC' '2020-03-15' -6.960499e-02 4.333551e-01 -8.366579e-01
'BFC' '2020-03-15' -1.415831e-01 3.212553e-01 -8.386045e-01
'BFC' '2020-03-15' -1.478703e-01 2.642761e-01 -7.657846e-01
'BFC' '2020-03-16' -1.364914e-01 2.260975e-01 -6.778638e-01
'BFC' '2020-03-19' -1.634181e-01 1.721518e-01 -6.637444e-01
'BFC' '2020-03-16' -1.424797e-01 1.582994e-01 -5.904945e-01
'BFC' '2020-03-24' -3.069610e-02 2.150547e-01 -3.983648e-01
'BFC' '2020-03-16' 2.100023e-02 2.388484e-01 -3.082201e-01
'BFC' '2020-03-16' 1.573732e-02 2.286110e-01 -3.093157e-01
'BFC' '2020-03-18' 2.874267e-02 2.327600e-01 -2.856601e-01
'BFC' '2020-03-16' 5.865754e-02 2.500083e-01 -2.391165e-01
'BFC' '2020-03-18' 3.567024e-02 2.347661e-01 -2.771875e-01
'BFC' '2020-03-16' 4.973523e-02 2.434509e-01 -2.568993e-01
'BFC' '2020-03-16' 1.140170e-01 2.850705e-01 -1.594714e-01
'BFC' '2020-03-16' 1.134240e-01 2.869431e-01 -1.675047e-01
'BFC' '2020-03-17' 8.620902e-02 2.722774e-01 -2.181654e-01
'BFC' '2020-03-20' 6.468334e-02 2.610063e-01 -2.591266e-01
'BFC' '2020-03-17' 2.357249e-02 2.374755e-01 -3.312085e-01
'BFC' '2020-03-25' -4.185068e-02 1.982964e-01 -4.407688e-01
'BFC' '2020-03-17' -5.234769e-02 1.910063e-01 -4.557468e-01
'BFC' '2020-03-17' -2.165528e-03 2.215057e-01 -3.733299e-01
'BFC' '2020-03-19' 2.255491e-02 2.380800e-01 -3.370521e-01
'BFC' '2020-03-17' 6.705006e-03 2.306533e-01 -3.693749e-01
'BFC' '2020-03-19' -2.955473e-02 2.106806e-01 -4.349030e-01
'BFC' '2020-03-17' -1.164587e-01 1.595651e-01 -5.826787e-01
'BFC' '2020-03-17' -1.699312e-01 1.255933e-01 -6.664536e-01
'BFC' '2020-03-17' -1.040611e-01 1.636302e-01 -5.525090e-01
'BFC' '2020-03-18' -1.718482e-02 2.172110e-01 -4.118369e-01
'BFC' '2020-03-21' 3.348692e-03 2.326832e-01 -3.866540e-01
'BFC' '2020-03-18' -2.095776e-03 2.326459e-01 -4.051572e-01
'BFC' '2020-03-26' -2.415692e-03 2.354801e-01 -4.146982e-01
'BFC' '2020-03-18' -1.740607e-02 2.296247e-01 -4.491431e-01
'BFC' '2020-03-18' -4.507028e-02 2.160468e-01 -5.044144e-01
'BFC' '2020-03-20' -3.403304e-02 2.240444e-01 -4.903603e-01
'BFC' '2020-03-18' 3.092421e-02 2.632093e-01 -3.831583e-01
'BFC' '2020-03-20' 5.802300e-02 2.818284e-01 -3.458456e-01
'BFC' '2020-03-18' 4.900815e-02 2.802549e-01 -3.733941e-01
'BFC' '2020-03-18' 3.887886e-02 2.778667e-01 -4.025489e-01
'BFC' '2020-03-18' 1.829578e-02 2.695922e-01 -4.504525e-01
'BFC' '2020-03-19' 1.833512e-02 2.720187e-01 -4.588186e-01
'BFC' '2020-03-22' 4.415789e-02 2.883252e-01 -4.194541e-01
'BFC' '2020-03-19' 6.836042e-02 3.039800e-01 -3.841036e-01
'BFC' '2020-03-27' 7.655381e-02 3.113727e-01 -3.800424e-01
'BFC' '2020-03-19' 7.041451e-02 3.113116e-01 -4.038325e-01
'BFC' '2020-03-19' 4.542199e-02 3.015544e-01 -4.645501e-01
'BFC' '2020-03-21' 2.580433e-02 2.941372e-01 -5.133542e-01
'BFC' '2020-03-19' 3.310609e-02 3.000336e-01 -5.078964e-01
