ID date B Bmin Bmax 
'IDF' '2020-03-02' 2.160000e+00 2.030186e+00 2.298114e+00
'IDF' '2020-03-05' 2.159961e+00 1.758609e+00 2.652909e+00
'IDF' '2020-03-02' 2.159516e+00 1.625573e+00 2.868840e+00
'IDF' '2020-03-10' 2.157329e+00 1.527839e+00 3.046178e+00
'IDF' '2020-03-02' 2.151624e+00 1.447416e+00 3.198450e+00
'IDF' '2020-03-02' 2.133921e+00 1.373003e+00 3.316539e+00
'IDF' '2020-03-04' 2.090717e+00 1.295101e+00 3.375101e+00
'IDF' '2020-03-02' 2.031404e+00 1.221055e+00 3.379538e+00
'IDF' '2020-03-04' 1.992073e+00 1.173980e+00 3.380260e+00
'IDF' '2020-03-02' 1.948582e+00 1.140516e+00 3.329170e+00
'IDF' '2020-03-02' 1.869162e+00 1.098416e+00 3.180730e+00
'IDF' '2020-03-02' 1.798581e+00 1.066455e+00 3.033313e+00
'IDF' '2020-03-03' 1.868616e+00 1.122498e+00 3.110673e+00
'IDF' '2020-03-06' 1.945142e+00 1.193487e+00 3.170187e+00
'IDF' '2020-03-03' 2.016237e+00 1.259212e+00 3.228378e+00
'IDF' '2020-03-11' 2.134348e+00 1.355199e+00 3.361453e+00
'IDF' '2020-03-03' 2.222476e+00 1.432006e+00 3.449287e+00
'IDF' '2020-03-03' 2.273713e+00 1.485240e+00 3.480763e+00
'IDF' '2020-03-05' 2.250798e+00 1.492381e+00 3.394638e+00
'IDF' '2020-03-03' 2.083293e+00 1.401751e+00 3.096207e+00
'IDF' '2020-03-05' 1.811547e+00 1.231542e+00 2.664710e+00
'IDF' '2020-03-03' 1.781476e+00 1.220825e+00 2.599600e+00
'IDF' '2020-03-03' 1.735891e+00 1.204810e+00 2.501073e+00
'IDF' '2020-03-03' 1.841663e+00 1.278688e+00 2.652502e+00
'IDF' '2020-03-04' 1.814674e+00 1.274806e+00 2.583171e+00
'IDF' '2020-03-07' 1.773248e+00 1.258557e+00 2.498424e+00
'IDF' '2020-03-04' 1.459802e+00 1.041147e+00 2.046804e+00
'IDF' '2020-03-12' 1.121288e+00 7.942270e-01 1.583032e+00
'IDF' '2020-03-04' 1.034757e+00 7.249166e-01 1.477028e+00
'IDF' '2020-03-04' 1.058385e+00 7.369765e-01 1.519965e+00
'IDF' '2020-03-06' 1.084026e+00 7.540250e-01 1.558453e+00
'IDF' '2020-03-04' 1.006196e+00 7.003001e-01 1.445710e+00
'IDF' '2020-03-06' 9.073507e-01 6.293177e-01 1.308219e+00
'IDF' '2020-03-04' 7.610806e-01 5.240693e-01 1.105281e+00
'IDF' '2020-03-04' 5.837491e-01 3.964452e-01 8.595463e-01
'IDF' '2020-03-04' 5.445977e-01 3.632174e-01 8.165540e-01
'IDF' '2020-03-05' 5.884749e-01 3.868638e-01 8.951541e-01
'IDF' '2020-03-08' 6.148869e-01 4.004969e-01 9.440420e-01
'IDF' '2020-03-05' 6.360959e-01 4.119304e-01 9.822482e-01
'IDF' '2020-03-13' 6.582905e-01 4.249829e-01 1.019680e+00
'IDF' '2020-03-05' 6.212635e-01 3.999829e-01 9.649622e-01
'IDF' '2020-03-05' 5.384617e-01 3.442033e-01 8.423537e-01
'IDF' '2020-03-07' 4.776596e-01 3.016397e-01 7.563947e-01
'IDF' '2020-03-05' 4.751689e-01 2.958661e-01 7.631340e-01
'IDF' '2020-03-07' 4.945189e-01 3.041416e-01 8.040625e-01
'IDF' '2020-03-05' 5.251418e-01 3.197456e-01 8.624791e-01
'IDF' '2020-03-05' 5.667449e-01 3.428197e-01 9.369351e-01
'IDF' '2020-03-05' 5.487749e-01 3.304269e-01 9.114085e-01
'IDF' '2020-03-06' 4.922079e-01 2.940796e-01 8.238200e-01
'IDF' '2020-03-09' 4.771950e-01 2.820241e-01 8.074313e-01
'IDF' '2020-03-06' 5.018475e-01 2.935581e-01 8.579253e-01
'IDF' '2020-03-14' 5.176531e-01 3.002977e-01 8.923303e-01
'IDF' '2020-03-06' 5.324203e-01 3.065719e-01 9.246491e-01
'IDF' '2020-03-06' 5.535883e-01 3.168694e-01 9.671493e-01
'IDF' '2020-03-08' 5.333918e-01 3.035977e-01 9.371180e-01
'IDF' '2020-03-06' 4.902548e-01 2.766291e-01 8.688520e-01
'IDF' '2020-03-08' 4.827241e-01 2.693675e-01 8.650729e-01
'IDF' '2020-03-06' 4.990325e-01 2.755588e-01 9.037398e-01
'IDF' '2020-03-06' 5.123481e-01 2.802865e-01 9.365438e-01
'IDF' '2020-03-06' 5.229319e-01 2.836773e-01 9.639750e-01
'IDF' '2020-03-07' 5.159131e-01 2.776117e-01 9.587718e-01
'IDF' '2020-03-10' 4.988684e-01 2.659441e-01 9.357968e-01
'IDF' '2020-03-07' 4.822532e-01 2.543670e-01 9.143015e-01
'IDF' '2020-03-15' 4.822137e-01 2.514287e-01 9.248346e-01
'IDF' '2020-03-07' 5.006385e-01 2.582504e-01 9.705268e-01
'IDF' '2020-03-07' 5.195735e-01 2.655649e-01 1.016537e+00
'IDF' '2020-03-09' 5.313008e-01 2.693965e-01 1.047825e+00
'IDF' '2020-03-07' 5.288888e-01 2.661278e-01 1.051087e+00
'IDF' '2020-03-09' 5.218073e-01 2.603680e-01 1.045761e+00
'IDF' '2020-03-07' 5.132019e-01 2.537529e-01 1.037924e+00
'IDF' '2020-03-07' 5.106418e-01 2.502606e-01 1.041934e+00
'IDF' '2020-03-07' 5.106418e-01 2.502606e-01 1.041934e+00
'Centre' '2020-03-08' 2.160000e+00 2.030186e+00 2.298114e+00
'Centre' '2020-03-11' 2.160002e+00 1.758643e+00 2.652959e+00
'Centre' '2020-03-08' 2.159766e+00 1.625758e+00 2.869178e+00
'Centre' '2020-03-16' 2.157262e+00 1.527773e+00 3.046120e+00
'Centre' '2020-03-08' 2.150009e+00 1.446227e+00 3.196274e+00
'Centre' '2020-03-08' 2.137590e+00 1.374938e+00 3.323271e+00
'Centre' '2020-03-10' 2.113544e+00 1.307882e+00 3.415497e+00
'Centre' '2020-03-08' 2.090514e+00 1.253213e+00 3.487235e+00
'Centre' '2020-03-10' 2.053556e+00 1.203613e+00 3.503695e+00
'Centre' '2020-03-08' 2.007285e+00 1.163256e+00 3.463720e+00
'Centre' '2020-03-08' 1.909881e+00 1.106705e+00 3.295952e+00
'Centre' '2020-03-08' 1.817636e+00 1.058793e+00 3.120347e+00
'Centre' '2020-03-09' 1.798349e+00 1.057827e+00 3.057267e+00
'Centre' '2020-03-12' 1.839958e+00 1.098433e+00 3.082069e+00
'Centre' '2020-03-09' 1.925512e+00 1.172490e+00 3.162157e+00
'Centre' '2020-03-17' 2.046981e+00 1.273543e+00 3.290136e+00
'Centre' '2020-03-09' 2.019177e+00 1.276839e+00 3.193102e+00
'Centre' '2020-03-09' 1.894837e+00 1.204203e+00 2.981563e+00
'Centre' '2020-03-11' 1.901072e+00 1.212300e+00 2.981172e+00
'Centre' '2020-03-09' 2.078909e+00 1.342540e+00 3.219168e+00
'Centre' '2020-03-11' 2.059701e+00 1.332362e+00 3.184098e+00
'Centre' '2020-03-09' 2.016251e+00 1.321021e+00 3.077368e+00
'Centre' '2020-03-09' 2.202095e+00 1.472065e+00 3.294162e+00
'Centre' '2020-03-09' 1.952993e+00 1.333799e+00 2.859637e+00
'Centre' '2020-03-10' 1.475211e+00 1.010327e+00 2.154003e+00
'Centre' '2020-03-13' 1.304458e+00 8.881845e-01 1.915832e+00
'Centre' '2020-03-10' 1.332367e+00 9.056572e-01 1.960125e+00
'Centre' '2020-03-18' 1.279872e+00 8.725479e-01 1.877343e+00
'Centre' '2020-03-10' 1.223592e+00 8.353428e-01 1.792292e+00
'Centre' '2020-03-10' 1.175229e+00 8.035135e-01 1.718905e+00
'Centre' '2020-03-12' 1.006194e+00 6.868422e-01 1.474031e+00
'Centre' '2020-03-10' 7.443648e-01 5.030029e-01 1.101542e+00
'Centre' '2020-03-12' 6.368590e-01 4.228643e-01 9.591478e-01
'Centre' '2020-03-10' 6.369781e-01 4.162222e-01 9.748185e-01
'Centre' '2020-03-10' 6.671436e-01 4.308038e-01 1.033140e+00
'Centre' '2020-03-10' 6.911171e-01 4.432092e-01 1.077692e+00
'Centre' '2020-03-11' 7.326435e-01 4.682384e-01 1.146353e+00
'Centre' '2020-03-14' 7.691556e-01 4.919427e-01 1.202580e+00
'Centre' '2020-03-11' 6.843772e-01 4.376097e-01 1.070297e+00
'Centre' '2020-03-19' 5.653869e-01 3.585616e-01 8.915132e-01
'Centre' '2020-03-11' 5.730897e-01 3.589272e-01 9.150373e-01
'Centre' '2020-03-11' 6.117920e-01 3.799411e-01 9.851248e-01
'Centre' '2020-03-13' 5.941467e-01 3.663899e-01 9.634826e-01
'Centre' '2020-03-11' 5.592414e-01 3.420847e-01 9.142501e-01
'Centre' '2020-03-13' 5.168224e-01 3.129340e-01 8.535519e-01
