id,initE_SAEM,b1_SAEM,betaw1_SAEM,betaw2_SAEM,betaw3_SAEM,betaw4_SAEM,Dq_SAEM,initE_mean,b1_mean,betaw1_mean,betaw2_mean,betaw3_mean,betaw4_mean,Dq_mean,initE_mode,b1_mode,betaw1_mode,betaw2_mode,betaw3_mode,betaw4_mode,Dq_mode,initE_sd,b1_sd,betaw1_sd,betaw2_sd,betaw3_sd,betaw4_sd,Dq_sd
IDF,5018.76,2.2323,-0.114681,-0.504408,-1.36038,-1.4633,0.361881,5019.53,2.23261,-0.118333,-0.497474,-1.37006,-1.46233,0.362046,5004.27,2.23261,-0.113538,-0.503819,-1.3625,-1.46295,0.362046,100.38,0,0.0146029,0.0154915,0.027882,0.00819201,0
Centre,317.563,2.2323,0.0529174,-0.413317,-1.18571,-1.41279,0.361881,304.669,2.23261,0.0768062,-0.423005,-1.19552,-1.40817,0.362046,306.271,2.23261,0.0731732,-0.418873,-1.19235,-1.40992,0.362046,29.2647,0,0.0482594,0.0500933,0.0705815,0.0212211,0
BFC,727.544,2.2323,-0.184188,-0.95806,-1.30506,-1.41696,0.361881,721.091,2.23261,-0.176996,-0.968068,-1.2971,-1.41862,0.362046,727.582,2.23261,-0.184268,-0.957994,-1.30405,-1.4166,0.362046,39.4186,0,0.0367702,0.0537557,0.0646506,0.0197902,0
Normandie,1346.65,2.2323,-0.0615394,-0.718126,-1.50015,-1.43986,0.361881,1364.25,2.23261,-0.0734709,-0.708491,-1.50484,-1.43984,0.362046,1356.87,2.23261,-0.0675066,-0.714208,-1.49642,-1.43874,0.362046,87.0054,0,0.0457288,0.0565712,0.0822468,0.0256328,0
HDF,873.046,2.2323,-0.204506,-0.626904,-1.18736,-1.41614,0.361881,872.993,2.23261,-0.211408,-0.610757,-1.20722,-1.41369,0.362046,868.644,2.23261,-0.204883,-0.619929,-1.19151,-1.41666,0.362046,40.8661,0,0.0302421,0.0317904,0.0510016,0.014066,0
GrandEst,4314.96,2.2323,-0.335422,-0.891016,-1.55895,-1.34269,0.361881,4321.55,2.23261,-0.335685,-0.894887,-1.55625,-1.34282,0.362046,4314.61,2.23261,-0.335021,-0.894328,-1.55288,-1.3432,0.362046,73.7283,0,0.0166709,0.0284943,0.0433834,0.011223,0
PaysLoire,132.825,2.2323,-0.0281358,-0.444044,-1.45452,-1.43659,0.361881,135.244,2.23261,-0.03247,-0.443275,-1.45105,-1.43708,0.362046,138.289,2.23261,-0.0383596,-0.44124,-1.44419,-1.43919,0.362046,28.475,0,0.0565675,0.0546767,0.0842073,0.02322,0
Bretagne,78.7119,2.2323,-0.722834,-0.730502,-1.24489,-1.49237,0.361881,77.1058,2.23261,-0.718741,-0.729683,-1.24583,-1.49369,0.362046,79.9518,2.23261,-0.723584,-0.730916,-1.23688,-1.49394,0.362046,17.4274,0,0.0660625,0.0659702,0.0823561,0.0285548,0
NAquitaine,399.472,2.2323,0.0638367,-0.870185,-1.35767,-1.50046,0.361881,391.748,2.23261,0.0737535,-0.876031,-1.35728,-1.50241,0.362046,396.918,2.23261,0.0677422,-0.875345,-1.34336,-1.50376,0.362046,36.2966,0,0.048104,0.0641094,0.0847353,0.0247976,0
Occitanie,350.901,2.2323,-0.141382,-0.749186,-1.62878,-1.46561,0.361881,349.951,2.23261,-0.139935,-0.749189,-1.63179,-1.46503,0.362046,353.139,2.23261,-0.147248,-0.740855,-1.6337,-1.46466,0.362046,29.0438,0,0.0387882,0.0519075,0.0934114,0.0233137,0
AURA,1320.44,2.2323,-0.193856,-0.570644,-1.51754,-1.40526,0.361881,1319.86,2.23261,-0.194937,-0.56852,-1.52038,-1.40521,0.362046,1321.63,2.23261,-0.195174,-0.571588,-1.51054,-1.40615,0.362046,43.5732,0,0.0265453,0.0282278,0.0481747,0.0137704,0
PACA,625.226,2.2323,-0.201044,-0.750853,-1.14861,-1.38338,0.361881,623.657,2.23261,-0.200221,-0.748834,-1.16012,-1.37922,0.362046,623.777,2.23261,-0.198427,-0.754465,-1.14988,-1.38085,0.362046,39.2322,0,0.0320425,0.0407851,0.0538452,0.0169848,0
