rep,id,eta_b1,eta_Dq,eta_E0,eta_betat1
1,IDF,0.103292189014031,0.388895785179752,0.89208690753598,0
2,IDF,0.0980243178802926,0.404919293226655,0.902490803464645,0
3,IDF,0.0872629815554994,0.423771489002231,1.01623789195014,0
4,IDF,0.106577568746062,0.368727784915966,0.857669671498675,0
5,IDF,0.110736971335008,0.39411280952286,0.833242782064831,0
6,IDF,0.0892540726855971,0.345122604429664,0.98328523272839,0
7,IDF,0.100393126548604,0.320844571963497,0.90015628830615,0
8,IDF,0.110500434160346,0.402533114362318,0.845703938979173,0
9,IDF,0.0993900980665103,0.474091668691396,0.928934934244821,0
10,IDF,0.0943798294203965,0.431128316667713,0.948211295527543,0
1,NAquitaine,0.191137693579526,-0.927057896767468,-1.01305068795421,0
2,NAquitaine,0.183006912922426,-0.6068570853565,-0.883734715876152,0
3,NAquitaine,0.236661451483487,-0.838060757393196,-1.41972773668208,0
4,NAquitaine,0.183180085346412,-0.771283353372084,-0.968676112178038,0
5,NAquitaine,0.184161244005174,-0.820100772612347,-0.981273624436995,0
6,NAquitaine,0.158660401024957,-0.769101817300577,-0.671495374539127,0
7,NAquitaine,0.190453183957863,-0.893660404778372,-0.962658084551879,0
8,NAquitaine,0.177836227847327,-0.683630622811925,-0.76392763717754,0
9,NAquitaine,0.212008508573705,-0.954350876750375,-1.06492437986006,0
10,NAquitaine,0.166371666552008,-1.14504846222914,-0.77957657418616,0
1,AURA,-0.0365817107851264,-0.0569291217332964,-0.325399803702469,0
2,AURA,-0.0290518859227097,-0.338230155007343,-0.523451099691727,0
3,AURA,-0.0167111974802988,-0.109613572428157,-0.836086080523524,0
4,AURA,-0.0266100086902745,-0.23075987085467,-0.699366487883969,0
5,AURA,-0.0287051220016462,-0.33483833765756,-0.575551017781583,0
6,AURA,-0.0298250157941984,-0.144361930293677,-0.543723868044993,0
7,AURA,-0.0326886026411639,-0.217795850748741,-0.327367793454086,0
8,AURA,-0.0363154347781412,-0.175386404253824,-0.310217881242675,0
9,AURA,-0.0310889652930159,-0.0667689603298818,-0.363748139629893,0
10,AURA,-0.0444287763743778,-0.233827304184006,-0.365813735940536,0
1,Centre,0.118482219988693,1.42090496447364,-0.441346978832504,0
2,Centre,0.169748310119768,1.57632326842498,-1.00066501584339,0
3,Centre,0.177967914953669,1.36785449084713,-0.84788501831547,0
4,Centre,0.210625750679979,1.65287676087213,-0.997388684771163,0
5,Centre,0.193442615342144,1.46682909303502,-1.15983751834206,0
6,Centre,0.177444971845088,1.32482554834775,-0.882344796857566,0
7,Centre,0.153559143621424,1.44607362431826,-0.940016720470097,0
8,Centre,0.129976254668783,1.45752319429569,-0.662809930507735,0
9,Centre,0.19979666416273,1.23019985430942,-1.94041488031673,0
10,Centre,0.210780415499959,1.59895646878933,-1.34968014458657,0
1,BFC,-0.0954357472736717,-0.323029125196351,-0.0629794505425304,0
2,BFC,-0.0908344231535274,-0.180352203977766,-0.0353551261312695,0
3,BFC,-0.0931964176744394,-0.378253436592566,-0.085352926363415,0
4,BFC,-0.072048295740591,-0.341310836132623,-0.143909986843831,0
5,BFC,-0.103916868830755,-0.083510447236616,-0.0442259508701379,0
6,BFC,-0.0999315440057608,-0.222841202105837,-0.00403636299495171,0
7,BFC,-0.0751303852267497,-0.887576961134499,-0.162081639511579,0
8,BFC,-0.0687562457585508,-0.379287992874139,-0.116594140465224,0
9,BFC,-0.0590382515587022,-0.435313140167028,-0.194261316020129,0
10,BFC,-0.0728898717446427,-0.296593140553539,-0.111696334715621,0
