id,b1_SAEM,Dq_SAEM,E0_SAEM,betat1_SAEM,b1_mean,Dq_mean,E0_mean,betat1_mean,b_mode,Dq_mode,initE_mode,beta1_mode,b1_sd,Dq_sd,E0_sd,betat1_sd
IDF,2.26652,1.67973,2364.87,-0.270195,2.25837,1.66908,2427.2,-0.270277,2.25983,1.68357,2414.26,-0.270277,0.0203531,0.0599033,156.192,0
NAquitaine,2.47494,0.521521,374.304,-0.270195,2.47072,0.516072,378.694,-0.270277,2.46364,0.535979,388.089,-0.270277,0.0473323,0.110599,58.4039,0
AURA,1.96844,0.870312,674.178,-0.270195,1.97141,0.877589,664.999,-0.270277,1.96811,0.887794,684.74,-0.270277,0.0163938,0.0882947,107.205,0
Centre,2.45235,4.91748,363.597,-0.270195,2.45178,4.85954,359.276,-0.270277,2.45467,4.88691,361.174,-0.270277,0.0609583,0.664452,118.65,0
BFC,1.89618,0.770828,855.034,-0.270195,1.89067,0.771829,867.703,-0.270277,1.89734,0.773589,850.511,-0.270277,0.0268799,0.0975359,56.0652,0
Normandie,1.89957,4.24315,2157.1,-0.270195,1.88455,4.23376,2254.91,-0.270277,1.89953,4.20427,2147.94,-0.270277,0.0432337,0.432135,306.452,0
HDF,1.76228,2.67702,1428.21,-0.270195,1.76336,2.65,1420.18,-0.270277,1.76557,2.6693,1391.96,-0.270277,0.0189786,0.191898,224.505,0
GrandEst,2.071,2.19395,2864.33,-0.270195,2.06842,2.19103,2883.89,-0.270277,2.07089,2.20251,2866.54,-0.270277,0.0223638,0.109171,147.76,0
PaysLoire,2.0828,0.0430714,808.085,-0.270195,2.0606,0.0438498,904.825,-0.270277,2.06625,0.0412617,868.186,-0.270277,0.05481,0.0243606,227.705,0
Bretagne,1.71926,1.98719,837.806,-0.270195,1.71536,1.97529,849.589,-0.270277,1.71422,1.98858,855.246,-0.270277,0.0348835,0.277817,147.048,0
Occitanie,1.99626,0.978155,1077.73,-0.270195,1.99235,0.980636,1090.65,-0.270277,1.99058,0.988757,1092.77,-0.270277,0.0371436,0.127526,109.094,0
PACA,2.10984,0.950065,790.906,-0.270195,2.09879,0.968659,813.473,-0.270277,2.10485,0.954414,798.12,-0.270277,0.0318794,0.0975244,73.2472,0
