id,b1_SAEM,Dq_SAEM,E0_SAEM,A0_SAEM,beta_SAEM,b1_mean,Dq_mean,E0_mean,A0_mean,beta_mean,b1_mode,Dq_mode,E0_mode,A0_mode,beta_mode,b1_sd,Dq_sd,E0_sd,A0_sd,beta_sd
IDF,0.841104,2.36984,1746.64,1890.38,-0.376546,0.841746,2.38065,1840.94,1837.13,-0.377504,0.839884,2.3777,1708.34,1925.23,-0.377504,0.00724722,0.106678,290.022,185.137,0
NAquitaine,0.950636,0.911327,548.098,188.724,-0.376546,0.943049,0.953817,514.821,220.991,-0.377504,0.94517,0.955496,551.893,195.471,-0.377504,0.028828,0.1838,193.981,114.978,0
AURA,0.79296,1.85243,860.926,469.542,-0.376546,0.794855,1.81446,755.466,511.135,-0.377504,0.794382,1.83401,636.268,573.635,-0.377504,0.0127681,0.167764,210.421,128.777,0
Centre,1.08234,4.8873,439.677,27.3821,-0.376546,1.08252,4.8618,430.526,30.8,-0.377504,1.08343,4.80414,441.478,23.7204,-0.377504,0.0390016,0.889001,73.8045,19.7108,0
BFC,0.736679,1.03243,551.444,343.838,-0.376546,0.737459,1.032,520.661,359.248,-0.377504,0.734872,1.03038,454.025,399.777,-0.377504,0.0165052,0.133625,173.714,120.017,0
Normandie,0.91473,5.08782,3803.16,144.48,-0.376546,0.912368,5.13974,3757.65,175.028,-0.377504,0.917999,5.05776,3794.02,124.943,-0.377504,0.03484,0.805384,434.507,169.479,0
HDF,0.782012,3.59104,3490.44,69.7673,-0.376546,0.782581,3.56369,3517.7,54.0903,-0.377504,0.782232,3.56305,3505.99,56.8741,-0.377504,0.0150324,0.31987,280.192,47.1054,0
GrandEst,0.80187,2.91083,707.207,1659.17,-0.376546,0.802972,2.90313,720.5,1640.66,-0.377504,0.803057,2.89876,710.787,1641.43,-0.377504,0.00873268,0.158006,180.544,129.866,0
PaysLoire,0.720259,0.262611,2547.81,348.002,-0.376546,0.723155,0.245741,2391.71,404.74,-0.377504,0.723719,0.263513,2615.31,270.506,-0.377504,0.0288485,0.101607,645.936,367.601,0
Bretagne,0.717131,4.02675,1529.98,76.2164,-0.376546,0.723802,3.95373,1440.03,93.9899,-0.377504,0.719655,3.95696,1490.79,78.8523,-0.377504,0.0241768,0.605259,218.326,90.9025,0
Occitanie,0.838583,0.645535,606.544,309.74,-0.376546,0.838518,0.658621,585.601,321.034,-0.377504,0.835051,0.676271,542.899,350.604,-0.377504,0.0200604,0.143322,198.814,115.959,0
PACA,0.851001,0.85576,385.79,451.832,-0.376546,0.849115,0.866099,316.304,491.248,-0.377504,0.847259,0.869524,300.824,503.049,-0.377504,0.0168862,0.116071,137.776,76.8877,0
