id,eta_b1_SAEM,eta_Dq_SAEM,eta_E0_SAEM,eta_A0_SAEM,eta_beta_SAEM,eta_b1_mean,eta_Dq_mean,eta_E0_mean,eta_A0_mean,eta_beta_mean,eta_b1_mode,eta_Dq_mode,eta_E0_mode,eta_A0_mode,eta_beta_mode,eta_b1_sd,eta_Dq_sd,eta_E0_sd,eta_A0_sd,eta_beta_sd
IDF,0.0137633,0.339713,0.534908,2.18093,0,0.0142812,0.344607,0.592081,2.16847,0,0.0121031,0.344369,0.530038,2.22044,0,0.0086276,0.0447348,0.160831,0.101732,0
NAquitaine,0.135816,-0.631401,-0.663408,-0.264982,0,0.127489,-0.587886,-0.739378,-0.162908,0,0.130205,-0.567289,-0.599884,-0.066944,0,0.0306428,0.195613,0.376574,0.792153,0
AURA,-0.0452901,0.0897856,-0.236955,0.663922,0,-0.0431295,0.0697232,-0.323441,0.855625,0,-0.0435964,0.0847382,-0.457619,1.00963,0,0.0160743,0.0930127,0.275377,0.297204,0
Centre,0.26535,1.04933,-0.844631,-2.32664,0,0.265232,1.04314,-0.863127,-2.14803,0,0.266729,1.04771,-0.823112,-2.17602,0,0.036171,0.181636,0.173845,0.737494,0
BFC,-0.118984,-0.497691,-0.633589,0.44536,0,-0.118201,-0.498818,-0.724749,0.479098,0,-0.121464,-0.491841,-0.795086,0.64855,0,0.0223926,0.131704,0.386849,0.369673,0
Normandie,0.0969533,1.09203,1.32035,-0.932904,0,0.0941568,1.10294,1.31141,-0.620811,0,0.101036,1.09916,1.32794,-0.514502,0,0.0380741,0.157379,0.118692,0.99872,0
HDF,-0.0591945,0.752579,1.2389,-1.49432,0,-0.058747,0.744998,1.24915,-1.78393,0,-0.0590095,0.748852,1.24899,-1.30152,0,0.0191981,0.0899252,0.0797347,1.05314,0
GrandEst,-0.0340251,0.544819,-0.399937,2.0502,0,-0.0328996,0.542545,-0.365441,2.05738,0,-0.0327351,0.542519,-0.346867,2.06097,0,0.0108891,0.0544117,0.256579,0.078858,0
PaysLoire,-0.141965,-1.95283,0.885105,-0.194836,0,-0.138334,-2.01819,0.82169,0.0624281,0,-0.136757,-1.85542,0.955898,0.257934,0,0.0399767,0.449627,0.321409,1.28502,0
Bretagne,-0.146114,0.860808,0.407914,-1.40079,0,-0.137197,0.841218,0.347391,-1.32876,0,-0.142388,0.853711,0.393822,-0.974782,0,0.0332706,0.153074,0.154891,1.14352,0
Occitanie,0.0105173,-0.984944,-0.561529,0.295154,0,0.0101906,-0.964315,-0.602047,0.334746,0,0.00633211,-0.912926,-0.616316,0.517299,0,0.0238498,0.22791,0.36148,0.49632,0
PACA,0.0252813,-0.686333,-1.07166,0.724379,0,0.0228358,-0.674509,-1.25364,0.841301,0,0.0208459,-0.661574,-1.20671,0.878329,0,0.0199481,0.134391,0.450908,0.166977,0
