id,b1_SAEM,Dq_SAEM,E0_SAEM,A0_SAEM,beta_SAEM,b1_mean,Dq_mean,E0_mean,A0_mean,beta_mean,b1_mode,Dq_mode,E0_mode,A0_mode,beta_mode,b1_sd,Dq_sd,E0_sd,A0_sd,beta_sd
IDF,0.83991,2.36731,1718.38,1913.87,-0.372717,0.837374,2.3907,1780.08,1923.58,-0.373414,0.838434,2.37556,1702.34,1942.24,-0.373414,0.00769633,0.109601,290.465,190.124,0
NAquitaine,0.949873,0.910991,524.329,200.021,-0.372717,0.94304,0.960089,564.564,196.146,-0.373414,0.943638,0.951066,542.253,201.367,-0.373414,0.029463,0.182697,209.231,124.488,0
AURA,0.794815,1.81897,713.154,533.133,-0.372717,0.792157,1.83501,695.745,555.702,-0.373414,0.793146,1.83168,625.133,584.042,-0.373414,0.0128379,0.179852,273.732,164.597,0
Centre,1.08575,4.81642,441.435,23.1161,-0.372717,1.08087,4.84898,436.52,29.5321,-0.373414,1.08344,4.79287,441.868,22.7641,-0.373414,0.0411211,0.89085,81.9329,18.9574,0
BFC,0.735816,1.02312,513.209,366.739,-0.372717,0.736519,1.03393,502.848,371.164,-0.373414,0.733623,1.02803,444.791,407.608,-0.373414,0.0169727,0.13681,152.354,103.541,0
Normandie,0.909766,5.15004,3849.76,139.386,-0.372717,0.908043,5.19941,3836.18,152.262,-0.373414,0.916101,5.06039,3802.58,124.055,-0.373414,0.0345931,0.803933,426.538,155.641,0
HDF,0.779391,3.59122,3536.75,69.4665,-0.372717,0.783056,3.53665,3488.36,57.3116,-0.373414,0.781198,3.56009,3519.09,55.0591,-0.373414,0.0157229,0.321251,288.119,51.7886,0
GrandEst,0.800107,2.89842,759.785,1646.5,-0.372717,0.802054,2.90363,735.407,1638.78,-0.373414,0.801738,2.89645,704.56,1654.09,-0.373414,0.00931204,0.159939,195.692,152.604,0
PaysLoire,0.716424,0.247753,2315.58,501.111,-0.372717,0.718534,0.235248,2501.55,366.849,-0.373414,0.722045,0.256598,2592.25,289.885,-0.373414,0.0277997,0.105772,553.377,322.351,0
Bretagne,0.709868,4.08864,1595.4,71.534,-0.372717,0.722135,3.90968,1459.16,88.7775,-0.373414,0.718556,3.9573,1498.34,77.6406,-0.373414,0.0258275,0.585909,221.064,82.9147,0
Occitanie,0.836373,0.644341,576.264,329.852,-0.372717,0.83233,0.668331,571.548,345.581,-0.373414,0.833752,0.673089,533.52,357.783,-0.373414,0.018666,0.146183,225.709,131.329,0
PACA,0.8479,0.860151,350.315,479.947,-0.372717,0.844417,0.868938,309.827,508.297,-0.373414,0.845821,0.866919,290.013,511.34,-0.373414,0.0171472,0.118378,125.623,76.4791,0
