id,eta_b1_SAEM,eta_Dq_SAEM,eta_E0_SAEM,eta_A0_SAEM,eta_beta_SAEM,eta_b1_mean,eta_Dq_mean,eta_E0_mean,eta_A0_mean,eta_beta_mean,eta_b1_mode,eta_Dq_mode,eta_E0_mode,eta_A0_mode,eta_beta_mode,eta_b1_sd,eta_Dq_sd,eta_E0_sd,eta_A0_sd,eta_beta_sd
IDF,0.0143918,0.356448,0.569297,2.17451,0,0.011122,0.362344,0.598601,2.17899,0,0.0124292,0.357045,0.567456,2.19367,0,0.00918104,0.0459613,0.16542,0.100954,0
NAquitaine,0.137028,-0.616823,-0.663263,-0.221374,0,0.129516,-0.567283,-0.611612,-0.449358,0,0.130636,-0.558361,-0.57657,-0.0728052,0,0.0311697,0.193117,0.400337,1.00779,0
AURA,-0.0409415,0.0891537,-0.363744,0.849537,0,-0.0444785,0.0940079,-0.398841,0.877151,0,-0.0430987,0.0970457,-0.434337,0.992041,0,0.0161875,0.0988596,0.375386,0.412651,0
Centre,0.270452,1.05259,-0.793564,-2.52084,0,0.265687,1.05395,-0.810706,-2.2255,0,0.268791,1.05894,-0.78129,-2.25275,0,0.03833,0.18252,0.185368,0.737133,0
BFC,-0.118155,-0.490742,-0.684188,0.471841,0,-0.117437,-0.483865,-0.702486,0.49194,0,-0.121111,-0.480546,-0.774698,0.632373,0,0.0230067,0.135831,0.328752,0.324322,0
Normandie,0.0933642,1.12196,1.38252,-0.917487,0,0.09146,1.12822,1.37356,-0.836839,0,0.10102,1.11325,1.37113,-0.557205,0,0.0380683,0.156934,0.113914,1.06086,0
HDF,-0.0605171,0.770454,1.30102,-1.56617,0,-0.0561045,0.750869,1.2815,-1.74927,0,-0.0582778,0.761596,1.29365,-1.36953,0,0.0200823,0.0908567,0.0821201,1.00867,0
GrandEst,-0.034196,0.5584,-0.286161,2.02305,0,-0.0319982,0.55626,-0.307566,2.01942,0,-0.0323247,0.555298,-0.314728,2.03307,0,0.0116217,0.0549636,0.269531,0.0934751,0
PaysLoire,-0.145479,-2.00452,0.820263,0.320114,0,-0.142646,-2.0621,0.924394,0.0475665,0,-0.13702,-1.86843,0.987978,0.291552,0,0.0388453,0.480773,0.246697,1.10809,0
Bretagne,-0.154268,0.893507,0.499774,-1.54678,0,-0.137532,0.843923,0.401666,-1.36811,0,-0.141862,0.867372,0.439811,-1.02584,0,0.0357002,0.151359,0.153643,1.09479,0
Occitanie,0.00990133,-0.969297,-0.574616,0.360766,0,0.0048723,-0.936232,-0.606335,0.370695,0,0.00682995,-0.904067,-0.592805,0.501993,0,0.0223385,0.227988,0.417816,0.481313,0
PACA,0.0235813,-0.66368,-1.15243,0.700012,0,0.0193334,-0.658022,-1.22683,0.841643,0,0.021201,-0.650999,-1.20238,0.859101,0,0.0203526,0.137346,0.44295,0.152792,0
