rep,id,b,Dq,E0,A0
1,IDF,2.49659199092487,1.71985909850416,645.042396721169,1450.43557100616
2,IDF,2.49589841691868,1.78570967687987,253.660145726921,1666.50661794475
3,IDF,2.55118107769465,1.53967636748052,177.268102315034,1491.67291968602
4,IDF,2.53048977033975,1.65452878824733,271.191477396198,1535.20357433462
5,IDF,2.58128386112345,1.56731173272504,649.154550389729,1134.66560504066
6,IDF,2.54170609512616,1.67286127366058,151.195783291567,1532.33174621892
7,IDF,2.50101841914012,1.72621771868119,273.476294755304,1602.51823964028
8,IDF,2.52749405893595,1.59550703247401,321.859581982311,1476.25082859322
9,IDF,2.56888767921878,1.56069198845324,521.256913282209,1238.24129775644
10,IDF,2.53835061811926,1.44305047907245,359.434617323725,1445.20344532391
1,NAquitaine,2.55426384705373,0.721096374155339,171.268591256537,634.378848536096
2,NAquitaine,2.62344107165869,0.919507515854263,286.129826688148,525.749730028531
3,NAquitaine,2.52128167011728,0.833952814924337,668.002839261251,455.530192972003
4,NAquitaine,2.53745350343726,0.742352018305819,516.989927550703,501.788931413387
5,NAquitaine,2.69203588388564,0.709601354257888,252.661777456253,512.902367533377
6,NAquitaine,2.60584389764753,0.758011864136061,526.213145512721,443.470170316161
7,NAquitaine,2.46103542415995,1.19377307637784,525.192448488639,600.282248003429
8,NAquitaine,2.65233435606367,0.500359841573879,206.566013506617,525.143668655655
9,NAquitaine,2.67621683683092,0.665172302166982,412.40178525652,429.578431366637
10,NAquitaine,2.77680894977705,0.329068112658488,469.844978340138,284.889116752828
1,AURA,2.37713209925221,1.12700507840219,315.735308884809,797.342678795001
2,AURA,2.30291380287921,1.39163527514193,751.090999514894,679.151193209119
3,AURA,2.26761842013344,1.5952626280162,245.849609958719,1060.60761774188
4,AURA,2.29762090914907,1.35015830118955,548.874126170677,800.657300615484
5,AURA,2.37417761825655,1.29213748590483,343.428319221569,732.30355962782
6,AURA,2.30692801134355,1.43557134845659,885.603128189032,633.657705708643
7,AURA,2.29042083018618,1.33773620958076,666.547012279549,792.36824908444
8,AURA,2.26412691857016,1.67951819040992,369.834088926993,994.929833205229
9,AURA,2.29434841576572,1.37319935722942,472.289920757494,854.349807213502
10,AURA,2.3488190610953,1.25535919103773,958.558556178471,488.196431171125
1,Centre,3.1601563234463,3.5861831807381,376.82253190985,11.3659054637112
2,Centre,2.88186432494798,4.3640080867481,542.171966028282,9.2668541337545
3,Centre,2.91650406839834,4.35636896638629,396.564734813484,53.3972622961279
4,Centre,2.92140519087488,4.18631025574425,377.187941156749,67.5529678825006
5,Centre,3.01383088743852,5.58914567121456,411.531114481436,23.2668605902092
6,Centre,3.16712535488051,2.62770751618395,374.78340253827,5.83480873386271
7,Centre,2.88947159224021,4.45118295714542,457.585839625731,75.5721747630672
8,Centre,2.90356970803644,3.63650291534038,394.142196012405,67.7737216554213
9,Centre,3.045912915584,3.70062859942361,391.488727387448,16.6633843192438
