rep,id,eta_b,eta_Dq,eta_E0,eta_A0
1,IDF,0.187991408008581,0.61318492678854,-0.178220350644851,0.96808212816661
2,IDF,0.200186268132339,0.521250116167885,-1.63113884253673,1.02248838680612
3,IDF,0.244990908670173,0.410069680156409,-1.43215926889622,0.829337889817514
4,IDF,0.196168107725751,0.505451072756113,-0.877463389423539,0.991287371730122
5,IDF,0.19676350213523,0.501300569674124,-0.695616983733047,0.958486720607335
6,IDF,0.205942071381585,0.522097841276891,-1.85275398595248,0.994550145042091
7,IDF,0.215646239787627,0.496296299803439,-1.39509949409212,0.932551974211447
8,IDF,0.197475197442969,0.46347671494496,-1.19836690295719,0.990492184688483
9,IDF,0.212920552518376,0.416309601715022,-1.87759393030333,0.953514821206884
10,IDF,0.217194024937778,0.435956757809549,-0.556934883984794,0.895785011930756
1,NAquitaine,0.251362456861557,-0.221083955898206,-0.491585087114691,-0.129900368911389
2,NAquitaine,0.162102402520292,0.0572572430720135,-1.47601845808201,0.335087436021934
3,NAquitaine,0.132570931062153,-0.0524005307523874,-0.466852184715104,0.312238695078902
4,NAquitaine,0.242209849110533,-0.308946802913036,-0.17604606544764,-0.098795503969036
5,NAquitaine,0.292978496034351,-0.68044700961521,-0.647997235148719,-0.169517552473388
6,NAquitaine,0.145581332219116,-0.349173501363425,-0.829601343430048,0.311807884212622
7,NAquitaine,0.190072368455547,0.0616095388340965,-0.900248390578509,0.188784219041389
8,NAquitaine,0.275602506685628,-0.618573564157565,-0.824461738590488,-0.162540678488056
9,NAquitaine,0.207011699836187,-0.370266235906767,-0.553390193985221,0.0491145557218015
10,NAquitaine,0.266994736687808,-0.845791277951957,-0.683231767087622,-0.133745162916865
1,AURA,0.0793399391847022,0.283293805364721,-0.647044931520296,0.446659036693396
2,AURA,0.024434862678814,0.541844053841156,-1.21098505335651,0.686723218675316
3,AURA,0.0734340269571924,0.536139180632823,-0.99364963646441,0.510900246460018
4,AURA,0.043301080033666,0.599757643506262,-0.310619770025458,0.543870986212727
5,AURA,0.0655468789052794,0.426040494692051,-0.706635836435898,0.488707215970872
6,AURA,0.0647468126531236,0.602733018672076,0.456888002251603,0.292489941999166
7,AURA,0.0776486633204482,0.334596306954969,-0.313983358720498,0.404988054993863
8,AURA,0.0377576231681286,0.546878191116103,-0.514201931861077,0.592975515801237
9,AURA,0.0371053810158807,0.477544300909852,-0.983610269579821,0.623516723107373
10,AURA,0.0408056765803503,0.362432350684467,-0.320234235260553,0.525101002485625
1,Centre,0.511004926626691,1.138492137016,-0.314537260936582,-2.15271918530259
2,Centre,0.460631574075381,1.20539495635989,-0.147238023327734,-2.12044556419575
3,Centre,0.452546710944761,1.3242462716522,-0.29985329593232,-2.10242830917395
4,Centre,0.415530650870075,1.36998253920198,-0.712595372407896,-1.24920559579047
5,Centre,0.475610265800505,1.32396506612046,-0.23547050959342,-2.10131032462978
6,Centre,0.540490586483202,0.945595180052668,-0.119078023082491,-3.24650885267223
7,Centre,0.426515260254281,1.51584817377171,-0.128945373238244,-1.70884442511451
8,Centre,0.462906595203095,1.08247634489236,-0.412331084145479,-1.86334347017893
9,Centre,0.496845933028308,1.31448803369105,-0.192497414871685,-2.77225794850622
10,Centre,0.435725055351037,1.55885552472102,-0.271855101356492,-1.8555082838196
1,BFC,-0.139386018769828,-0.20339118350432,-0.817218992707174,0.253720908322419
2,BFC,-0.0630925848760862,-0.229922658145811,0.293717115209533,-0.283085970289314
3,BFC,-0.0704890449289536,-0.0808190383254116,-0.216730467755836,-0.0577269020384481
4,BFC,-0.107196722268277,-0.0878159087893637,-0.386504430997422,0.0742612233638655
5,BFC,-0.0718319753043279,-0.0730388101141149,-0.37912713911528,-0.0749071337459219
6,BFC,-0.0686410599984795,-0.147593217389783,-0.557988936873616,-0.0155820078192576
7,BFC,-0.069960585443413,-0.200503111819467,-0.608542981489897,0.02647175247397
8,BFC,-0.0667785419872483,-0.116261387646614,-0.886936322096027,0.105304787657143
9,BFC,-0.03435735942457,-0.0722410830646575,-0.512785815799873,-0.091930090861583
10,BFC,-0.104439413893527,-0.0208763039385767,-0.082954219657135,0.0111468791261083
1,Normandie,0.19322047846303,1.56440803912846,1.8607702093595,0.471484065638045
2,Normandie,0.192808224776092,1.35756717062312,2.0877875722041,-0.177397407086046
3,Normandie,0.353319403892876,1.41976631590439,1.94307810582375,-0.792842425061827
4,Normandie,0.2787080597897,1.49511750397347,2.11001880550219,-0.775784741765308
5,Normandie,0.243964448011748,1.48252625160454,1.8849532406846,0.0823925417746731
6,Normandie,0.200323234405071,1.40602817322788,2.10207177902769,-0.722959235219659
7,Normandie,0.31529893378024,1.46246828910279,2.17796026046048,-2.18949135694038
8,Normandie,0.212363265543275,1.44009087858927,2.3155486160288,-2.12120652924436
9,Normandie,0.181380828482541,1.52295014043402,2.09902458407404,0.249763108982984
10,Normandie,0.312546451305713,1.20656708793397,1.7762663232397,-0.0432388662823817
1,HDF,0.0623802824890614,1.12470630839651,1.73088338417559,-1.73646374264153
2,HDF,0.0913763359437464,1.06932012623186,1.55347962714483,-1.21720337585302
3,HDF,0.0855909942482118,1.14199157671935,1.2171480137741,-0.224259023403627
4,HDF,0.0658383906052841,1.05755233446668,1.52768410698166,-0.589512508340627
5,HDF,0.0318782378078839,1.23752510662127,1.45762189234791,-0.139870791462225
6,HDF,0.112326220832302,1.11374139099638,1.42440361737476,-1.20365953359983
7,HDF,0.0727723842840051,1.35517329264075,1.3984216806892,-0.329978388205763
8,HDF,0.123153646922556,0.912751253083108,1.51507971361372,-1.88403338920208
9,HDF,0.061338042600899,1.26202755116869,1.2204358482058,0.0207858109464131
10,HDF,0.109358563448388,1.02044980971933,1.47315621108043,-1.09158385728397
1,GrandEst,0.00270408267434397,0.954847983803812,-0.409668858306305,1.21290855539786
2,GrandEst,0.00332891594429125,0.948474115586605,-0.157229957506691,1.15024142161507
