rep,id,b,Dq,E0,A0,Di,eta_b,eta_Dq,eta_E0,eta_A0,eta_Di
1,1,-0.175821372714932,1.62569056739342,4.65730219171716,8.00221418709636,2.84300164577165,0.24698174875302,0.390018385739759,-1.8406096464948,0.867164148622302,0
2,1,-0.155852490088023,1.52687626051696,5.70767260960999,7.89797289209049,2.84436779640604,0.266950631379929,0.291204078863296,-0.790239228601965,0.762922853616438,0
3,1,-0.196371988985059,1.59071606631228,4.29114982742957,8.06750108653137,2.8475922670372,0.226431132482893,0.355043884658615,-2.20676201078239,0.932451048057312,0
4,1,-0.157217724278416,1.60224049696455,5.66050056198125,7.93165319045922,2.84380329429799,0.265585397189536,0.366568315310891,-0.837411276230712,0.796603151985161,0
1,2,-0.0613020377301622,0.61459748323954,5.93578119039342,6.71146450479408,2.84307266377001,0.36150108373779,-0.621074698414123,-0.562130647818537,-0.423585533679978,0
2,2,-0.14519934776055,0.65823982298203,6.61644517041191,6.81406679076775,2.84924029527969,0.277603773707402,-0.577432358671633,0.118533332199955,-0.320983247706304,0
3,2,-0.0861078163990082,0.481704934446406,6.12911160560691,6.77146035939649,2.84387578371269,0.336695305068944,-0.753967247207257,-0.368800232605048,-0.363589679077568,0
4,2,-0.0656132324713624,0.607678124613851,4.49239955286041,6.89519803869391,2.84195254822187,0.357189888996589,-0.627994057039812,-2.00551228535154,-0.239851999780148,0
1,3,-0.331258883909831,1.61698909502627,5.66797859175924,7.54185500469281,2.83974591336437,0.0915442375581211,0.381316913372607,-0.829933246452714,0.406804966218753,0
2,3,-0.371500504113416,1.45347020021397,5.93875576722422,7.63609195653857,2.84162612268487,0.0513026173545363,0.217798018560302,-0.559156070987737,0.501041918064514,0
3,3,-0.323144670422071,1.60205567525099,6.72959437604538,7.31286095807175,2.84018037408725,0.0996584510458811,0.366383493597322,0.231682537833422,0.177810919597696,0
4,3,-0.338810114662098,1.48455234794528,6.33816449711927,7.49901406694945,2.84461973332525,0.0839930068058541,0.248880166291616,-0.159747341092686,0.363964028475394,0
1,4,0.0878037821599372,2.26944728633783,6.1544041140004,5.44569682809323,2.84184534988901,0.510606903627889,1.03377510468417,-0.343507724211563,-1.68935321038082,0
2,4,0.0988731422889649,2.23675117168904,6.24761325776308,4.98459179051934,2.84386644322177,0.521676263756917,1.00107899003538,-0.250298580448883,-2.15045824795472,0
3,4,0.0182147844414057,2.38251321918785,6.14842947103645,5.70370220748038,2.84633092018497,0.441017905909357,1.14684103753419,-0.349482367175506,-1.43134783099368,0
4,4,0.0283125519623238,2.43701098226871,6.19097171539392,5.6084330298269,2.84339702816369,0.451115673430276,1.20133880061504,-0.306940122818037,-1.52661700864715,0
1,5,-0.524753567154718,0.895653494675183,5.94516764777675,7.18678408319104,2.84421426313169,-0.101950445686766,-0.34001868697848,-0.552744190435209,0.0517340447169801,0
2,5,-0.47509292743078,0.699217835415207,5.74079071630259,7.03133272280805,2.83937459354953,-0.0522898059628277,-0.536454346238456,-0.757121121909366,-0.103717315666007,0
3,5,-0.466478581495103,0.909046470583195,6.33627057278066,6.91337259056829,2.83986308166787,-0.0436754600271507,-0.326625711070468,-0.161641265431301,-0.22167744790577,0
4,5,-0.499913843879696,0.899066886739207,6.16348866183597,7.03800013054865,2.84834834098277,-0.0771107224117443,-0.336605294914456,-0.33442317637599,-0.0970499079254044,0
1,6,-0.159645326181353,2.41397947174085,8.7221433841163,6.43244141997267,2.84983494952623,0.263157795286598,1.17830729008719,2.22423154590434,-0.702608618501385,0
2,6,-0.082418476665526,2.37366869597628,8.62668817384377,6.05440204297958,2.84431215305526,0.340384644802426,1.13799651432261,2.12877633563182,-1.08064799549448,0
3,6,-0.021078928565184,2.36838840132174,8.21974286485701,7.0319594126803,2.84179242010745,0.401724192902768,1.13271621966808,1.72183102664505,-0.103090625793756,0
4,6,-0.133851737429951,2.42013613495245,8.46387278262058,7.0177168648067,2.84551928485057,0.288951384038001,1.18446395329878,1.96596094440862,-0.117333173667352,0
1,7,-0.345785598162028,2.26184541300325,8.21140574070023,5.9741838347222,2.84089120078997,0.0770175233059235,1.02617323134958,1.71349390248827,-1.16086620375185,0
2,7,-0.335731528678475,2.47090622471203,8.05152582316079,6.45598944139373,2.84858411698253,0.0870715927894771,1.23523404305837,1.55361398494883,-0.679060597080323,0
3,7,-0.30540151428668,2.24423374492245,8.0177558341251,6.23584293439844,2.84126325558121,0.117401607181272,1.00856156326878,1.51984399591314,-0.899207104075612,0
4,7,-0.375260690386259,2.39834012133919,7.93082495477259,7.05300559271048,2.8482454003721,0.0475424310816928,1.16266793968553,1.43291311656064,-0.0820444457635787,0
1,8,-0.437429026502575,2.04894541874903,5.99347548252936,8.32068055929505,2.84330385183373,-0.0146259050346234,0.81327323709537,-0.504436355682595,1.18563052082099,0
2,8,-0.435941950365225,2.14257669494485,6.01083280199067,8.3179925293019,2.84241198107614,-0.0131388288972736,0.90690451329119,-0.487079036221286,1.18294249082785,0
3,8,-0.458263670433771,2.09094098946868,5.89007963308319,8.37209756574528,2.83917249159542,-0.035460548965819,0.855268807815019,-0.607832205128765,1.23704752727123,0
4,8,-0.411620021375726,1.95187753501445,6.12873924252178,8.24321016910935,2.84511290343474,0.0111831000922255,0.716205353360782,-0.369172595690178,1.10816013063529,0
1,9,-0.530417499200468,-0.662710502262478,8.19373140294551,7.87565717840979,2.85041223012212,-0.107614377732516,-1.89838268391614,1.69581956473355,0.740607139935729,0
2,9,-0.329450317988803,-1.29198312476339,7.26709545426568,7.73860174810496,2.8428893603427,0.0933528034791485,-2.52765530641705,0.769183616053727,0.603551709630907,0
3,9,-0.646713112157153,-1.29700714758837,7.13298250811591,8.58605641173265,2.84355285669258,-0.223909990689202,-2.53267932924203,0.635070669903954,1.45100637325859,0
4,9,-0.357877411577441,-1.13339812529996,8.07559726165344,7.37032898155753,2.84191844187936,0.0649257098905106,-2.36907030695362,1.57768542344148,0.235278943083478,0
1,10,-0.644095889804922,2.59333966861715,7.12163865722732,7.29818526127849,2.84612486686413,-0.221292768336971,1.35766748696349,0.623726819015357,0.163135222804438,0
