rep,id,b,Dq,E0,A0,Di
1,IDF,0.843042256217707,4.65323834899184,314.838749121122,2794.87731036878,17.2462075483577
2,IDF,0.827201915405376,5.17520889866639,106.260775738315,3169.28309438955,17.1809857778862
3,IDF,0.840332027502978,4.9324150921862,190.652521009148,2956.60808240414,17.1672181850787
4,IDF,0.831552410799843,4.7502039118498,228.487435941827,3002.46852760341,17.1906872185604
5,IDF,0.845637132144322,4.84137700363944,139.044766882511,2907.27773587235,17.2462075483577
6,IDF,0.826771116236842,5.00574565101848,183.072758618267,3120.9287308445,17.1809857778862
7,IDF,0.853880036534931,5.20379845071227,153.013021296504,2767.90415331605,17.1672181850787
8,IDF,0.833070465896013,5.06079098430794,83.2119750565584,3072.94518947987,17.1906872185604
9,IDF,0.864968906035023,4.38818802902578,83.5456097211597,2670.13389010315,17.2462075483577
10,IDF,0.825417792334936,4.8574366222756,203.318960063879,3139.03247394597,17.1809857778862
1,NAquitaine,0.89278999718105,1.89328916822473,385.652444629323,1034.0432622835,17.1822312626308
2,NAquitaine,0.813415558683088,2.5054624939675,295.21744129853,1380.05905520906,17.1492175424103
3,NAquitaine,0.849858086148903,2.88553110038587,248.216549757246,1224.82362434124,17.1684374098446
4,NAquitaine,0.798938048224342,2.47187761871625,250.329073721575,1442.30355150024,17.2746532186691
5,NAquitaine,0.890014996683959,2.36973719139835,384.412145327857,1040.08539870533,17.1822312626308
6,NAquitaine,0.856840020806651,1.35294593986473,462.700792355699,1029.09687034668,17.1492175424103
7,NAquitaine,0.87747667480136,2.07550052381065,220.553268167216,1118.57174147783,17.1684374098446
8,NAquitaine,0.759164255495604,2.54643101806013,427.695599203432,1496.61395842587,17.2746532186691
9,NAquitaine,0.845269943870498,1.17354567714279,144.330589147894,1251.62238502593,17.1822312626308
10,NAquitaine,0.910566562066332,2.12273951312983,601.382243633411,784.577369269565,17.1492175424103
1,AURA,0.716525772677281,4.63673720020669,384.976759769115,1899.65397458198,17.1188530561781
2,AURA,0.716127738605892,5.22821389550156,660.394401644095,1747.56107343714,17.1950187329485
3,AURA,0.695104072217495,4.98343516388638,483.928554405378,2002.56044990468,17.1114172023146
4,AURA,0.699070843313871,5.24642065851479,428.462044145175,2017.06962748802,17.1436205134211
5,AURA,0.711814661214607,4.4994173662873,247.6506544994,1927.59417794908,17.1188530561781
6,AURA,0.717386899767463,4.87890053097999,394.045451939748,1894.68198306411,17.1950187329485
7,AURA,0.71270740941417,5.09374065521164,257.91423671227,2003.08130634575,17.1114172023146
8,AURA,0.716591658526869,5.39369517186987,173.127781101455,1989.09177404834,17.1436205134211
9,AURA,0.747753623340535,4.18358792093544,132.522172645968,1726.25839964475,17.1867811577815
10,AURA,0.689745522581273,5.60063983813628,197.529913877751,2177.5607557291,17.1950187329485
1,Centre,1.07581916369413,15.3590562108836,562.525790513952,188.405072311316,17.2244678123099
2,Centre,1.17450265679794,7.86404205891766,659.991291582557,49.668917863853,17.1740071428983
3,Centre,1.04713844104288,13.0941444778204,513.132294608224,292.3479846158,17.1473792734112
4,Centre,1.09553749262852,8.13317311289473,317.769773649967,291.130692644468,17.1820707729052
5,Centre,1.14570166608615,10.4264632086789,472.829897673816,114.970606747235,17.2244678123099
6,Centre,1.08267648993427,12.8637864542886,591.773665918391,150.989906167488,17.1740071428983
7,Centre,1.03283491313061,13.7001604298177,586.991299471696,207.815909565547,17.1473792734112
8,Centre,1.08708043135207,10.951617828378,487.354904297135,178.304070158155,17.1820707729052
9,Centre,1.12768256137162,13.1591322178043,306.821064590777,264.324672882748,17.2244678123099
10,Centre,1.03927604742184,16.3221404334563,387.461668777535,331.957214128519,17.1740071428983
1,BFC,0.634731118824021,2.82900769424214,442.963782963862,998.258871257057,17.1134222354995
2,BFC,0.598368603246137,2.20287051842009,318.896713003138,1266.8999573881,17.2592518871659
3,BFC,0.653656046348821,2.03148097113703,420.183897569198,952.734243502299,17.1880480786664
4,BFC,0.655925329551564,2.30457028480464,302.635605722485,1055.19756725877,17.1050645735488
5,BFC,0.635960055176326,2.49540626425432,416.700493246616,1071.38839036062,17.1134222354995
6,BFC,0.581285930448487,3.23308114692289,625.449575524477,1241.04235404997,17.2592518871659
7,BFC,0.624478254277341,2.50190296567506,469.638430422412,1141.09686997667,17.1880480786664
8,BFC,0.592614516756365,2.6402394069462,606.152421127895,1175.1235754358,17.1050645735488
9,BFC,0.589771110232242,3.20178053219966,487.523007975092,1239.85133895676,17.1134222354995
10,BFC,0.606132396400222,2.23140696045268,697.106062392245,1008.49114245696,17.2592518871659
1,Normandie,0.863062545740687,10.975546901017,4183.18255856831,1527.83948970956,17.1464716903914
2,Normandie,0.894898642765476,10.3133339625938,5181.11182930511,387.403464717078,17.2104934974082
3,Normandie,0.952006859561423,13.6276752456531,6148.27947313603,106.855378159483,17.2849287194453
4,Normandie,0.865802694663249,11.3021348888001,5971.30369310516,594.383517312395,17.1867811577815
5,Normandie,0.800196290461295,13.2561000570361,5001.6145285371,1882.85311532311,17.1464716903914
6,Normandie,0.964589792312367,9.78948018683528,3773.07046774657,1213.44839006519,17.2104934974082
7,Normandie,0.906212290569804,10.8969064328504,4881.69648328953,592.856856871034,17.2849287194453
8,Normandie,0.939256364219484,11.9734451553102,4266.73379705278,1065.78948502075,17.1867811577815
9,Normandie,0.774477770500717,10.8985826168733,4457.15269661105,1784.78915843865,17.1464716903914
10,Normandie,0.85057385392713,14.1336742807693,4667.04008812668,1369.45370970707,17.2104934974082
1,HDF,0.713433814679901,9.70666632230138,3286.29648998738,542.913868449348,17.1374007860347
2,HDF,0.769067878806278,8.98301144028866,2845.41492734776,364.583596661962,17.25747530068
3,HDF,0.709344538459316,11.3836685614376,2977.76194135368,893.295019852686,17.1310259199361
4,HDF,0.726416775881923,9.88712362068592,3150.38382193222,592.170324121644,17.2633216842961
5,HDF,0.752894050232559,9.56047927391501,2215.29928537295,906.346311277491,17.1374007860347
6,HDF,0.742314361033904,9.29096388608866,3111.30562888401,474.318729415829,17.25747530068
7,HDF,0.735327995106525,9.6604487154586,2645.35485225656,825.2365758365,17.1310259199361
8,HDF,0.770360775133112,8.83536660230214,2790.83801702116,421.894963362765,17.2633216842961
9,HDF,0.749688853965862,10.3263157846651,2396.66131145971,837.674797325644,17.1374007860347
10,HDF,0.737519309410691,9.89942180817279,3336.32413742043,273.15392385524,17.25747530068
1,GrandEst,0.671516476786478,7.36831777245942,375.135767668716,3578.55125195066,17.1016079558797
2,GrandEst,0.69030688539945,7.20229172143178,396.5788703918,3311.18731284605,17.2035008936218
3,GrandEst,0.639955086908003,7.86354244360452,399.311924556129,4201.02796597353,17.1724070064905
4,GrandEst,0.668501344707249,8.02356928166608,367.878994382819,3719.00602320361,17.1570982665674
5,GrandEst,0.655466728770782,7.33450200747216,436.440039250753,3982.35440203733,17.1016079558797
6,GrandEst,0.665122287592694,7.79269528101127,480.416402488641,3708.5069150886,17.2035008936218
7,GrandEst,0.63324772771446,7.99816430534953,264.637282159249,4501.13868391496,17.1724070064905
8,GrandEst,0.665457488659648,7.66362936241478,455.882082211397,3685.493200982,17.1570982665674
9,GrandEst,0.637379049556282,8.38040133446065,299.090710279752,4356.32144964191,17.1016079558797
10,GrandEst,0.665816812275384,7.42274591257975,275.646895400778,3864.20375028994,17.2035008936218
1,PaysLoire,0.549171072212567,0.381053369428586,1451.10179622368,4614.21840642833,17.1766835516915
2,PaysLoire,0.695358060182082,0.387578086541241,2628.90212224894,1969.06963397664,17.1486326552972
3,PaysLoire,0.652019632019094,0.353332077006875,2103.09600791501,2643.88205860679,17.294909854077
4,PaysLoire,0.576997001271997,0.242907483187813,1904.16706835955,3643.13505211761,17.1652906648392
5,PaysLoire,0.573978985326943,0.245201103034513,1930.01454531318,4462.24029830426,17.1766835516915
6,PaysLoire,0.64894664730495,0.678493290274896,2505.58354766603,2697.92292798635,17.1486326552972
7,PaysLoire,0.67763037300808,0.434719488767556,1442.88965590175,2910.31735463855,17.294909854077
8,PaysLoire,0.575050879280004,0.533777866236014,2346.16325814598,4054.72135714592,17.1652906648392
9,PaysLoire,0.557379849953702,0.587018659654906,2175.51390228321,4183.33198720219,17.1766835516915
10,PaysLoire,0.676699748987438,0.182572776873954,3234.12275927147,1758.85168790512,17.1486326552972
1,Bretagne,0.50870551005834,12.9732281081046,905.663895157601,1844.16673628184,17.1599840825794
2,Bretagne,0.569411792892437,8.64244686809921,827.302746565269,1261.20634712744,17.157311622779
3,Bretagne,0.650871385637485,13.419791935253,825.117965346121,808.545781118998,17.2209190191502
4,Bretagne,0.639145412715148,10.8473720214309,1329.92036148335,656.070092473528,17.1662005295267
5,Bretagne,0.599066105804847,9.04052023819881,636.952307727741,1191.7989604598,17.1599840825794
6,Bretagne,0.61116062028284,10.4692264666472,1790.669743751,354.242945139566,17.157311622779
7,Bretagne,0.55050410006174,13.1243170792029,1004.31891500264,1422.18295335682,17.2209190191502
8,Bretagne,0.566640617987333,12.7505848862851,1099.62771012752,1251.014591627,17.1662005295267
9,Bretagne,0.550381426003054,12.9684024713583,857.775086478035,1415.52962537294,17.1599840825794
10,Bretagne,0.675395439091597,8.61260467331551,1409.82741256917,300.021850791458,17.157311622779
1,Occitanie,0.646780131519526,2.37028619415696,236.172904326242,2353.98659100879,17.2186098919439
2,Occitanie,0.736369162563237,2.06492563465165,247.693845111895,1562.46408023489,17.145055105644
3,Occitanie,0.731976549141594,2.29427897454937,354.029484460982,1514.25538822486,17.2241014914731
4,Occitanie,0.753009254050597,1.59674895770134,375.088787829009,1436.6317117046,17.2629916708549
5,Occitanie,0.677075782014893,2.73631722070781,454.829058255671,1894.12519389412,17.2186098919439
6,Occitanie,0.772927801075191,1.85091880172169,483.89057240187,1168.8706203505,17.145055105644
7,Occitanie,0.715856117080784,1.86529109046868,345.814058644069,1740.1753677082,17.2241014914731
8,Occitanie,0.72564055909898,2.13023274535309,378.047273719055,1473.67994662024,17.2629916708549
9,Occitanie,0.747560424235505,2.03076294486613,308.522682230204,1505.22923045174,17.2186098919439
10,Occitanie,0.729851485962143,2.28867159314262,625.555049319261,1384.61153776081,17.145055105644
1,PACA,0.777700030272999,1.55790945666539,391.633884396282,1374.93031876029,17.2060236493743
2,PACA,0.787839706073354,1.2758411207528,56.6046848027319,1542.63324565772,17.1546160721448
3,PACA,0.749729745936682,1.86068754610593,444.97144701811,1509.42642994054,17.254940774868
4,PACA,0.777402832250335,1.78547869589329,210.98896148126,1538.55702546203,17.197231085037
5,PACA,0.783545372640326,1.85988938874373,370.428191829373,1420.64708793975,17.2060236493743
6,PACA,0.779964738309908,1.41508060667452,147.190759900023,1517.6199667314,17.1546160721448
7,PACA,0.748164732822841,1.54260199678759,432.209060544304,1531.07952449947,17.254940774868
8,PACA,0.774617726488766,1.42445759026804,157.343508758598,1522.07279989588,17.197231085037
9,PACA,0.745732663802328,1.90495217971909,337.971044882602,1630.22560637532,17.2060236493743
10,PACA,0.734658521455829,1.82051391011823,414.274804237385,1637.82828414253,17.1546160721448
1,Corse,0.148116405652169,1.41481783354199,877.773580583777,892.030984973239,17.1888508152988
2,Corse,0.152234608316805,1.75245041070563,977.647323813648,533.78621317604,17.2013955544591
3,Corse,0.184078013242771,0.275415209074587,701.574223272683,1074.42484774734,17.1414782170944
4,Corse,0.138402643684247,0.192236482162048,745.888189382511,1308.4234641463,17.2693500954939
5,Corse,0.180474563332552,1.96861658105936,936.052310171828,461.847714047328,17.1888508152988
6,Corse,0.167415526585162,0.782479090735984,781.008874416199,824.480795667497,17.2013955544591
7,Corse,0.107815025502383,1.55408341633534,1072.77030480664,914.28456638286,17.1414782170944
8,Corse,0.175167295778914,0.905133356887129,863.603770266431,485.025784218757,17.2693500954939
9,Corse,0.125312895289737,1.41060302226547,959.503990583187,920.542177070511,17.1888508152988
10,Corse,0.105984098539254,1.8313242648534,898.071498678215,1362.97148234843,17.2013955544591
