rep,id,eta_b,eta_Dq,eta_E0,eta_A0,eta_Di
1,IDF,-0.0996691391430483,0.855737863205496,-0.949849903341161,1.06878126319143,1.09985024946424
2,IDF,0.0354252746523694,0.75079741082096,-2.21939041580555,0.932328593883277,0.427232176031718
3,IDF,-0.0798390076935772,0.736584455492606,-1.19892575788179,0.984508566057844,1.26576920658637
4,IDF,-0.0229230215750833,0.747467729543578,-0.99122715669424,1.05084378958653,0.538329031858556
5,IDF,-0.129956028638398,0.868159045440986,-2.28665277219178,1.09532223645651,1.61212670262014
6,IDF,0.0333474526206222,0.683369470535268,-2.44785151343454,1.01241706847975,0.302926431758238
7,IDF,-0.0912295649034217,0.727229958175012,-1.23983242334372,1.0143137103621,1.31632907986883
8,IDF,0.0102116171765259,0.650416367105405,-1.37562618535784,0.971074877634579,0.51349115383535
9,IDF,-0.177240320477248,0.90263656965969,-1.27567321009546,1.14106721121052,2.03318230417756
10,IDF,-0.0632572746044272,0.764490768842563,-0.524106645946269,1.013662226896,0.930783097454446
1,NAquitaine,-0.147523710757836,0.199427882715663,-0.786179514548555,0.456465721401123,0.910145788860436
2,NAquitaine,0.0585792080440707,-0.0269516294921179,-0.398030741173907,0.196919020332578,-0.0901836258694723
3,NAquitaine,0.0496975161587868,-0.25284270434813,-0.562772929338899,0.0348717906576525,0.291383088804663
4,NAquitaine,-0.0262389402123253,0.234845170449507,-1.13705652986466,0.290992623014251,0.429189820870661
5,NAquitaine,0.0309017090593777,-0.234316973455418,-0.346031122069901,-0.125180304850483,0.720258731204342
6,NAquitaine,0.207600455221994,-0.217407964151155,-0.421222266977257,0.0463837951434134,-0.386072680636142
7,NAquitaine,0.0290814022306555,0.341905218054166,0.157820439762409,-0.0139893663721958,0.268147409713692
8,NAquitaine,0.00704839043403599,-0.224061867224247,-0.719308643371683,0.145388333656143,0.419093451436469
9,NAquitaine,-0.0018874780593482,-0.296721179747476,-0.376644360198311,0.090137726059582,0.667789052197815
10,NAquitaine,0.178307650775894,-0.0639524274983803,-0.524173528341498,-0.279194868733942,0.191526925539666
1,AURA,-0.34837894710352,0.930660106836386,-1.03686226879508,0.793946139464818,1.53371971650235
2,AURA,-0.318905843808475,0.788078775275282,-0.40158767786506,0.824151008806144,0.884553590920954
3,AURA,-0.174388411081647,0.64106033930426,-0.365152475862773,0.54323446908691,0.552118036101521
4,AURA,-0.337743695536964,0.894262582946235,-0.528576189532937,0.795879810463239,1.23058355004823
5,AURA,-0.2815225615714,0.91279301205212,-1.08316683529029,0.763881735894294,0.955532060371051
6,AURA,-0.345573118194996,0.84930690208681,-0.346886826871471,0.751585691735953,1.29734535071505
7,AURA,-0.252749253407983,0.6914049082031,-1.3540465536891,0.758373470445206,0.713063178336213
8,AURA,-0.340785046263278,0.753852458385449,-1.30892964830048,0.918629622730886,1.06772334078441
9,AURA,-0.233697998608059,0.784960869926645,-0.466318918289475,0.675114413229879,0.693026654381731
10,AURA,-0.348668517056745,0.742422548660159,-0.0570855676391297,0.814420363519993,1.18116774573855
1,Centre,0.113804157319611,1.85457617942309,0.312953416740074,-2.04289654660719,1.11838117081613
2,Centre,0.327631219415485,1.2179211574092,-0.12980975580885,-2.3411893540342,0.790733967530385
3,Centre,0.219234993976812,1.71415545037195,-0.526536263131564,-1.26430027827843,0.743332696694239
4,Centre,0.220327101749264,1.71140475017109,-0.038505937190488,-1.86934327454571,1.19792806144918
5,Centre,0.261357047341446,1.35609482494608,-0.453375249371198,-1.466200416629,0.663877530869013
6,Centre,0.2353212722706,1.55479735164881,-0.0782373029783769,-1.83380865908857,0.975801904531246
7,Centre,0.233408575092927,1.49992370323546,-0.155796280421308,-1.98469931234469,1.76287889047738
8,Centre,0.177616566983496,1.64117019071398,-0.271020966749101,-1.42333879311628,1.25865114696444
9,Centre,0.237071495184037,1.73202394707435,-0.380550315184042,-1.61158133393361,1.38349554421573
10,Centre,0.238712840744714,1.75017433650391,-0.418534822316369,-1.7594461667597,1.45907561169713
1,BFC,0.298890031063724,-0.679025350673176,-0.65467349257164,-0.500875016519886,-0.935785035889
2,BFC,-0.060562116137339,-0.375265320174121,-0.345427914881143,-0.214835040102626,-0.225508845184227
3,BFC,-0.0232089111702249,-0.198916964820677,-0.379433380358118,-0.110582880590201,-0.493452057942042
4,BFC,-0.0276804259546917,-0.399351542217509,-0.422364375612638,-0.283886413129568,-0.325329016302859
5,BFC,0.25659856517193,-0.654520594991387,-0.166812211460526,-0.639108190285971,-0.865465750279326
6,BFC,-0.0257024607273866,-0.248462000965337,-1.24615690970485,0.0610612169915937,-0.489782905268521
7,BFC,-0.052303334047747,-0.301682545641976,-0.332892274649167,-0.101462407899192,-0.404493193829171
8,BFC,0.0841211712125228,-0.37053592038675,-0.193272411076735,-0.392932570818625,-0.592691759114088
9,BFC,0.120859745264087,-0.488424405190201,0.358413477973638,-0.654491922028036,-0.698452481528311
10,BFC,0.050612663153898,-0.173822437034882,-0.85780672953312,0.0764442283514096,-0.733599785977978
1,Normandie,0.261528175209763,1.60618012692234,1.4254766608632,0.624967927964979,-0.335022627253858
2,Normandie,0.38342680173544,1.24584777256662,1.72603563010306,0.373759168093232,-0.693555640866481
3,Normandie,0.121297653492839,1.43540519529958,1.64991557322383,0.732218357539971,-0.0297920128446149
4,Normandie,0.418014442117065,1.05724498390154,1.99493559788397,-1.53663493362614,-0.521118530840226
5,Normandie,0.139392944725439,1.31331600366088,1.82251190057737,0.524557980541166,-0.233810399903623
6,Normandie,0.381822667327519,1.14414416642511,2.03533340079094,-0.368356773440269,-0.713537050268693
7,Normandie,0.0519076587566497,1.56798278294708,1.90261491313228,0.0728157590356506,1.35213664573106
8,Normandie,0.310239297336369,1.10498408821137,2.00919613347875,-0.551039583364139,-0.283407077355916
9,Normandie,0.218310503482194,1.568345272422,1.99774372790954,-0.397357694831154,-0.0588816753411777
10,Normandie,0.0904976524590839,1.4866736421554,2.04108731821893,0.247146340679288,0.142498154648972
1,HDF,-0.296961461401375,1.65127531398888,1.75356389408812,-0.666240538211108,1.76605467976568
2,HDF,-0.2357019225461,1.61743661323081,1.70920912237267,-0.435721029389023,1.12358317638641
3,HDF,-0.294007813613819,1.60721341309974,1.49287057311038,-0.102014360121239,1.65577404253582
4,HDF,-0.283933680129709,1.42070467652244,1.68285543814196,-0.293273693110445,1.39768768799892
5,HDF,-0.297179167285911,1.59895106428651,1.6231898656263,-0.255192638030577,1.689206815905
6,HDF,-0.234436899343617,1.30376562084845,1.72980421975958,-1.02513709164717,1.67935002743883
7,HDF,-0.229046712584558,1.64406787106244,1.58310702646927,-0.758352800445242,1.87858133186608
8,HDF,-0.365708055613681,1.64518282476407,1.79286946480401,-0.371616297482349,2.56737939756844
9,HDF,-0.282204020023695,1.6664000225691,1.92102063092233,-1.41992518430311,1.81811075874024
10,HDF,-0.28948107488076,1.5118421561832,1.77665859783679,-0.723856204064724,1.57067708156032
1,GrandEst,-0.233967870537269,1.11452326977566,-0.613726333734538,1.29975595445419,0.367503326356964
2,GrandEst,-0.288490004386098,1.12472713561349,-0.610397047238385,1.3110014696997,0.648617907691133
3,GrandEst,-0.28338111273283,1.05203646138555,-0.765823173767242,1.27524423402982,0.740682612494274
4,GrandEst,-0.26006540040989,1.17091566891585,-0.993695596370213,1.29452308842945,0.534279763550016
5,GrandEst,-0.26935580663792,1.20303902753154,0.0529843850994121,1.26635598025808,0.550867725913657
6,GrandEst,-0.264429152709714,1.0991658360002,-0.984957521524478,1.28205570593986,0.600533847069001
7,GrandEst,-0.267275208877113,1.16440629673957,-1.09049445258363,1.30455345922475,0.565398440530352
8,GrandEst,-0.337728396115265,1.26476177981485,-0.0820188429594813,1.31504157703025,0.9540942900297
9,GrandEst,-0.246198569938712,1.11298733428583,-0.492285969260666,1.27561299346463,0.435423373059565
10,GrandEst,-0.238878594986622,1.12667003750926,-0.188638074414392,1.21489632119422,0.580752198573168
1,PaysLoire,-0.122538849615957,-2.26222201063288,1.41026396398549,1.08865158287976,-0.322622633499455
2,PaysLoire,-0.364464983980208,-2.42947544852665,0.975227070663465,1.2105426047798,0.531798524605683
3,PaysLoire,-0.523632339021542,-2.66076650426157,0.845847445529206,1.43972048238892,1.30450880209498
4,PaysLoire,-0.21112562240309,-2.92690143123219,1.45570428358637,0.736063298449216,0.293676193371983
5,PaysLoire,-0.269904062092797,-1.86140528517582,1.90904890223165,0.160015795555389,1.07779481178877
6,PaysLoire,0.128061523288309,-2.84957237285154,1.44074583102593,0.640741012412966,-0.678318473582999
7,PaysLoire,-0.151620217270299,-2.4407488746283,1.19924555956575,0.848924949385336,0.0687331207461124
8,PaysLoire,-0.311469776680839,-2.64314961737953,0.95565945945955,1.38965943703539,0.148992420250333
9,PaysLoire,-0.000531804634228555,-2.98478874984209,1.40253093732617,0.686851872530666,-0.382353799464061
10,PaysLoire,0.174294825571717,-3.86973066529098,0.948393767796848,0.663171481016274,-0.752671036455636
1,Bretagne,-0.0486075241019892,1.43374928119091,0.77618418946898,-0.986831268948528,-0.297783637368494
2,Bretagne,-0.297343944025172,1.58307501246129,0.575849838521287,-0.124592033764311,0.336759887195538
3,Bretagne,-0.0265663443993101,1.03501070352183,0.5397685448369,-0.234544021299853,-0.531995487944655
4,Bretagne,-0.41982850507007,1.55177246623842,0.472552248347353,0.222060432385596,0.63247097499014
5,Bretagne,0.0301983048477471,1.34902693425715,0.425154123152268,-0.591116176484817,-0.429686031311029
6,Bretagne,-0.29239075812417,1.47084714887625,0.471549888798828,0.0200204651618404,0.176110667168464
7,Bretagne,0.0587378196232398,1.11653019668216,0.474712619664764,-0.260162988622445,-0.702000060626499
8,Bretagne,-0.396431673205647,1.47480489286186,0.903068117473326,-0.24193604129479,0.541656915461596
9,Bretagne,-0.0240185913474628,1.48776405972004,0.860601871352944,-0.85282412866912,-0.437975552849414
10,Bretagne,-0.255972647427403,1.34469100437613,0.742562439153332,-0.390377219124012,0.114234305886334
1,Occitanie,-0.232965112423684,-0.694721122404038,-1.65508656486633,0.375765019731792,1.38686913069546
2,Occitanie,-0.226251480710909,0.246604264058903,-0.514057955728437,0.47623448035009,0.884282824090507
3,Occitanie,-0.183973062256296,-0.0449062176506454,-1.07103542623954,0.315381011285898,1.01380294651202
4,Occitanie,-0.196918276094512,-0.0358162219220151,-0.958688222226813,0.414049030171354,0.883691473190878
5,Occitanie,-0.323787236097352,0.248812307260021,-0.472430671767861,0.68619661277049,0.910700043395679
6,Occitanie,-0.257087315491972,-0.166148821260615,-0.963779894866514,0.559741905305299,0.79915995337115
7,Occitanie,-0.190108849595746,-0.44162696332805,-0.803507285600341,0.222854497694512,1.57948836560763
8,Occitanie,-0.243103524470367,0.0568090431607509,-0.666587597374194,0.620298880129321,0.681254659837803
9,Occitanie,-0.285555737776103,-0.213115170657296,-1.54277123274287,0.652974909278225,0.826789932368372
10,Occitanie,-0.277376221642649,-0.0957420752861353,-0.43107850342838,0.488784494893757,1.12760032818469
1,PACA,0.436963567464956,-0.82111585730279,-0.907143977653539,0.0686488256775547,-1.03695734361326
2,PACA,0.75343647113265,-0.807298370742176,-1.65915467028446,0.0155832122075079,-1.56586865319499
3,PACA,0.144564811303072,-0.764428224987739,-1.1733266427141,0.0535522712527939,-0.165525860826262
4,PACA,0.0104558847246678,-0.470288013092558,-1.04865740615381,0.216835154686873,0.240471374844294
5,PACA,0.479463574413021,-0.685917338824224,-1.10693223821332,0.0355968959582374,-1.06404782389345
6,PACA,0.821576133845579,-1.13763016378549,-1.82093684270781,-0.13142662678252,-1.60992183405014
7,PACA,0.0449109122383299,-0.420313390225616,-0.956229225189809,0.144343019282342,0.0973544452217274
8,PACA,-0.0185839370519037,-0.595317022129291,-0.656092722158167,0.241232504016408,0.24584243975975
9,PACA,0.635163955536593,-0.942145650907276,-1.12281808130405,-0.0130647783262556,-1.34363193731489
10,PACA,0.861241086073322,-0.921914580459179,-1.36701907399528,-0.123244327512843,-1.68888967142646
1,Corse,-0.181128202337307,-4.91164054154317,0.202219735597453,-1.42214757327311,-1.5524191111817
2,Corse,-0.0795376546232512,-4.28381398304879,-0.0443941493888786,-0.4706077155975,-1.96372502012105
3,Corse,-0.106503186147384,-4.10622835714317,0.12507410444368,-1.00657761284642,-1.82130216197404
4,Corse,-0.686642619718189,-2.97015604537312,-0.0363516789017326,-0.612728265087864,-1.2121316534887
5,Corse,0.0931999577153385,-5.99768997317707,0.086188733752602,-1.25751316911456,-1.89919548647098
6,Corse,-0.12992696445216,-3.15685021996559,-0.0221047564803614,-1.00067712214086,-1.68446808986994
7,Corse,-0.341411638881184,-3.06991486749947,-0.0231079750783308,-0.608799913860899,-1.51269932067789
8,Corse,-0.599928057447696,-3.86032639722024,0.262288499877324,-0.589454751663184,-1.45511094314275
9,Corse,-0.26646412397869,-4.87993555133086,0.134118326679173,-1.53565479457644,-1.43291589074647
10,Corse,0.0214416752151178,-4.70196337863037,-0.204919994320035,-0.43426460500048,-2.00367571630725
