rep,id,b,Dq,E0,A0
1,IDF,2.26609603778508,1.8711577792232,140.288784879923,1720.64911570466
2,IDF,2.28752311605944,1.70373932265666,274.495892442577,1572.09298064118
3,IDF,2.29216185642893,2.0479859154518,200.066544265811,1583.21086262343
4,IDF,2.28948866536344,1.9564097229044,193.198974000251,1584.39823208853
5,IDF,2.26890848185985,1.83489604595026,263.301347648136,1640.69991549368
6,IDF,2.27461947218128,1.75181393496102,472.515478049726,1524.50195736563
7,IDF,2.29886656069467,1.60310337125611,245.03174580599,1535.68375069861
8,IDF,2.29845173085578,1.79106783150688,183.469899023691,1572.63625079027
9,IDF,2.25452255649884,1.9054951569062,399.882674304651,1612.20605418899
10,IDF,2.29476171381653,1.65678892397504,419.317858423347,1437.32016530204
1,NAquitaine,2.40814546443747,0.829643117197707,427.409386673462,462.463939984902
2,NAquitaine,2.4182800524852,0.414973918093122,316.071477464288,474.501156060289
3,NAquitaine,2.4108264499947,0.922500257556401,164.586611215178,609.551010681714
4,NAquitaine,2.23965289920386,0.871031040179185,240.273868024283,738.29686409887
5,NAquitaine,2.37342540032102,0.362357827142406,299.951191411421,534.006584970275
6,NAquitaine,2.36578348724117,0.959124410799174,389.825628168842,515.555262846587
7,NAquitaine,2.47436753965674,1.02432663195414,219.188191175344,537.159187103369
8,NAquitaine,2.24595891447565,1.1583723940817,413.310930336975,641.26710728881
9,NAquitaine,2.53754835847084,0.710173548676981,544.431978776746,280.929434669992
10,NAquitaine,2.49549801750489,0.537982556326694,325.532744741204,428.087989953933
1,AURA,2.04251590998959,1.71065629874096,254.631793458648,1084.58615581498
2,AURA,2.11519228962402,1.33331406927261,1017.39363247657,497.892456785291
3,AURA,2.0382628452502,1.85964047763324,525.876841168856,953.247549419288
4,AURA,2.06187449233966,1.74548875297665,430.778978046159,922.730357341592
5,AURA,2.09939489954139,1.25191009316053,197.433468928706,963.111201041042
6,AURA,2.04204514404372,1.64430625374958,311.823964652903,1057.70631403803
7,AURA,2.05483850193688,1.41735852464105,245.038502894455,1082.48040706139
8,AURA,2.08090577418457,1.39560295396983,269.24407423584,990.891841984365
9,AURA,1.94560234075554,1.90950967351698,545.791685805651,1200.68081162816
10,AURA,2.08032139378265,1.33283760088812,325.728670440792,954.7653900514
1,Centre,2.71467842095527,4.09402293495981,431.824728004539,24.524589659765
2,Centre,2.66107804928425,4.69474898797028,380.951646309678,79.8557516200446
3,Centre,2.83234780938617,3.67461012046831,356.216178317635,43.4480098460666
4,Centre,2.74389152312203,3.86775306108224,422.626308759818,21.7186796039641
5,Centre,2.65807004144,5.33048895966342,365.682527789146,82.3063969496249
6,Centre,2.60711968961371,5.68900727123367,432.952541577022,81.8373394979094
7,Centre,2.61575829083021,5.63652810383821,412.216339636816,93.7371643218481
8,Centre,2.61359404981064,5.8908468822999,408.569782453643,86.9138475688084
9,Centre,2.76443288281867,4.02714719553908,459.36393960944,8.18450882261491
10,Centre,2.79071365585104,3.99105202371185,346.289416727605,52.0292504726014
1,BFC,1.90873590247811,1.21066349333652,369.527056258789,556.28400789064
2,BFC,1.89424811208026,1.04227210203171,413.383085072292,538.782598780802
3,BFC,1.94390552158632,0.774806783060305,287.919899203491,568.159020770936
4,BFC,1.8862841300276,0.864786179737232,509.115737159007,523.300714824521
5,BFC,1.83380852782631,1.12798724866145,268.398047867133,722.971491053583
6,BFC,1.91067758636286,0.719994285225381,350.663442676857,547.192704350102
7,BFC,1.83756504775754,0.719778080550644,229.439278706147,800.2724190077
8,BFC,1.90190652831529,1.04222110353191,474.139137622618,499.749573839409
9,BFC,1.90185763848026,0.837078691345916,276.107939826677,627.238772178637
10,BFC,1.87305909044168,1.05537584730312,387.421688187359,594.997237023307
1,Normandie,2.17323796613924,5.90560081094936,4577.03351566644,289.20862567744
2,Normandie,2.36611683451983,4.75481270223251,3375.65202438114,232.90980191453
3,Normandie,2.15213113804291,4.19523951515911,4288.28572395506,240.064259938764
4,Normandie,2.27065936429344,4.83956298007855,4324.65392067549,140.425569949693
5,Normandie,2.10766868442576,4.91754256884855,4251.15563182592,395.100809730914
6,Normandie,2.12655694226912,6.25694939433926,4076.71930205388,669.644866084814
7,Normandie,2.2077759153161,5.47003051023598,4547.45103451099,181.617449778877
8,Normandie,2.32078540612785,4.9774131817317,3174.04156315261,546.136565245131
9,Normandie,2.13751089218677,6.8273231805281,5218.3019589508,32.650298833599
10,Normandie,2.11516019930461,4.78407607512527,4884.1617851981,182.456661303144
1,HDF,2.05012181409042,3.3314065937087,2048.11443734678,266.645546196678
2,HDF,2.07320044971133,3.29451303771241,2416.01559208221,17.0727922736173
3,HDF,2.02087207331274,3.01600835796069,2380.87428558003,165.524417199229
4,HDF,2.02331578669237,3.17996905735005,2493.30032935782,32.0639531207547
5,HDF,2.07249042569129,3.57674579485037,2430.47778333866,46.393749842545
6,HDF,1.99540863748216,3.04479760681333,2562.55439506986,70.3409058645609
7,HDF,2.03138918167909,2.92509390065331,2428.53269837951,47.8650872796463
8,HDF,2.02824562670716,2.95015290676002,2545.48619379307,26.463913156494
9,HDF,2.01476685141236,3.55541893892647,2555.69076189135,74.3156954657616
10,HDF,2.07536184301615,2.8223457565132,2250.97304166725,29.8853678072955
1,GrandEst,1.99386922299689,2.65875062004767,474.759898648998,1832.9093023828
2,GrandEst,2.01407446716733,2.65281502058785,660.024416030573,1606.33553817592
3,GrandEst,1.9905813926061,2.79366955698715,450.565442113364,1925.33894614235
4,GrandEst,1.97342291496761,2.57923729380168,296.504112612653,1976.98945534883
5,GrandEst,1.9767453351979,2.62639937434689,410.681098843995,1973.47507069293
6,GrandEst,2.06131412852857,2.65910773146535,532.081038508298,1509.11424538946
7,GrandEst,2.0161900869131,2.63273864837872,536.601706231364,1712.19349727251
8,GrandEst,1.98005368134272,2.75128182974265,535.714537921269,1836.32977800477
9,GrandEst,1.99532341039381,2.48832812119563,377.063826277203,1870.59541610864
10,GrandEst,1.97981489114675,2.97421220763307,274.779485770858,2029.43433490852
1,PaysLoire,2.0815071685357,0.035574778795963,2752.87514698599,307.464741685162
2,PaysLoire,1.92694041668598,0.212584081584354,2377.13149379893,1030.64491990728
3,PaysLoire,1.92530192285314,0.101349155223318,3106.65089965393,438.117559905457
4,PaysLoire,1.73942511779124,0.122127516103354,3779.81446295385,1146.40756534634
5,PaysLoire,1.77939917154513,0.102242890841095,3881.25770279421,724.843366961206
6,PaysLoire,1.90005923553627,0.0359137402833084,3465.69180378487,290.528637789406
7,PaysLoire,1.95157326010864,0.0567819005616618,3541.81702011459,55.5026942499837
8,PaysLoire,1.85949786473865,0.123153046725017,2865.2767590472,1101.38566846434
9,PaysLoire,1.79457224256359,0.113980264100314,1615.79337983315,2074.89328082907
10,PaysLoire,1.83745786802186,0.115059630811968,4127.92471370561,281.856066872242
1,Bretagne,1.81847992838598,3.00585383278405,1132.85882084068,176.118844115985
2,Bretagne,1.79117617656096,3.35842299436798,1559.46533940648,20.279704222637
3,Bretagne,1.78807256975608,4.07225331499611,1578.12478955697,107.395028400075
4,Bretagne,1.81851233859903,3.32501817903957,1419.2437825947,43.4517501132725
5,Bretagne,1.78380297432663,3.89708164593528,1438.8058042818,83.9947257331929
6,Bretagne,1.92096207117688,3.64929784927426,1216.42619618131,16.5960294517263
7,Bretagne,1.89684706132392,3.26680865152757,1120.95755215843,81.2378146755589
8,Bretagne,1.87495220822524,3.70663268504329,1034.2361064753,170.056611362218
9,Bretagne,1.8952982609641,4.31892222495586,1232.73521705994,60.6603351600392
10,Bretagne,1.88035571798498,2.83125184688853,1141.85090579123,117.835333768627
1,Occitanie,2.11907608338137,0.675603532927362,419.005294497987,699.876745668649
2,Occitanie,2.18457314038307,0.314598623107686,598.545685857393,468.077680330084
3,Occitanie,2.14933326540732,0.505591254728526,388.213421706537,661.568219202984
4,Occitanie,2.1616588374075,0.70702301918421,373.176474375853,649.270235128615
5,Occitanie,2.17989741906785,0.756284752597873,407.642035043957,633.325445365394
6,Occitanie,2.12404662952808,0.74321073377158,948.044442367994,342.452921450665
7,Occitanie,2.12894922639572,0.467646602375083,220.197323205816,844.037511040076
8,Occitanie,2.21534964005546,0.475479010917569,603.25868473825,427.390903291277
