id,b_SAEM,Dq_SAEM,E0_SAEM,A0_SAEM,b_mean,Dq_mean,E0_mean,A0_mean,b_mode,Dq_mode,E0_mode,A0_mode,b_sd,Dq_sd,E0_sd,A0_sd
IDF,0.788452,1.78068,232.836,1538.24,0.787281,1.79887,259.973,1535.15,0.788417,1.78796,256.659,1523.38,0.00569774,0.0882158,91.5667,77.6466
NAquitaine,0.801974,0.763114,451.771,471.878,0.79526,0.786127,362.069,540.476,0.802623,0.767696,419.896,477.334,0.0252529,0.184454,152.852,114.807
AURA,0.703302,1.62853,454.53,896.631,0.701129,1.63313,463.909,907.069,0.702586,1.62388,450.73,898.683,0.0113113,0.164611,199.55,149.484
Centre,0.933433,4.29711,456.715,37.1661,0.919711,4.40708,466.13,47.0504,0.923063,4.38622,467.093,40.777,0.0317186,0.781019,85.8137,30.3643
BFC,0.651333,0.889364,271.099,636.755,0.654931,0.894977,317.544,592.887,0.653714,0.890619,298.911,606.625,0.012902,0.131469,98.8271,78.3326
Normandie,0.745215,4.94236,4194.25,378.401,0.749731,4.96396,4398.09,230.414,0.747094,4.87053,4243.51,325.392,0.0342371,0.831112,458.106,229.956
HDF,0.696435,3.23541,2496.11,75.9784,0.698438,3.23763,2441.44,87.775,0.697875,3.24364,2465.49,77.5283,0.0118708,0.301335,184.169,58.9056
GrandEst,0.70687,2.68149,470.783,1741.69,0.70609,2.68345,427.553,1778.44,0.70621,2.68337,432.322,1771.26,0.00819208,0.13672,112.26,119.075
PaysLoire,0.614366,0.109931,1712.54,1759.2,0.616811,0.119255,2064.99,1524.27,0.614906,0.119297,1868.01,1636.67,0.0305576,0.0824584,955.604,853.38
Bretagne,0.63437,3.7435,1175.47,168.91,0.636208,3.73303,1229.26,124.863,0.6328,3.75436,1210.21,149.828,0.0184288,0.564645,179.118,92.3636
Occitanie,0.735714,0.504944,483.42,553.256,0.730618,0.536547,398.094,628.64,0.729592,0.563263,426.684,614.326,0.0194961,0.142168,145.279,142.663
PACA,0.735747,0.738757,191.831,867.195,0.734998,0.733633,174.11,879.393,0.736534,0.738808,186.606,862.304,0.0164294,0.115937,77.9458,101.066
Corse,0.327701,0.0365382,724.769,150.292,0.310611,0.0387912,709.807,209.708,0.313571,0.0352066,698.859,205.451,0.0277288,0.0272565,86.0484,117.281
