id,eta_b_SAEM,eta_Dq_SAEM,eta_E0_SAEM,eta_A0_SAEM,eta_b_mean,eta_Dq_mean,eta_E0_mean,eta_A0_mean,eta_b_mode,eta_Dq_mode,eta_E0_mode,eta_A0_mode,eta_b_sd,eta_Dq_sd,eta_E0_sd,eta_A0_sd
IDF,0.144607,0.577631,-1.03164,1.42713,0.143955,0.587768,-0.920283,1.45641,0.145424,0.58289,-0.869269,1.44999,0.00724152,0.0491546,0.363366,0.0505283
NAquitaine,0.161044,-0.295234,-0.430454,0.154883,0.153562,-0.267167,-0.618704,0.389876,0.163281,-0.262546,-0.377012,0.289518,0.0317557,0.242202,0.443825,0.222761
AURA,0.0301808,0.484279,-0.338612,0.877217,0.0279573,0.487196,-0.360332,0.916856,0.030164,0.486633,-0.306149,0.922232,0.0161487,0.101423,0.402465,0.175271
Centre,0.312653,1.4411,-0.283081,-2.55061,0.298859,1.46981,-0.289669,-2.25201,0.303094,1.48028,-0.270491,-2.17058,0.0345823,0.173737,0.18649,0.712725
BFC,-0.0466095,-0.126996,-0.875173,0.533663,-0.040269,-0.12013,-0.712134,0.497301,-0.0419342,-0.114023,-0.716873,0.529213,0.0197486,0.149254,0.352596,0.135758
Normandie,0.0874193,1.58705,1.9421,-0.455399,0.0940651,1.59027,1.96644,-1.01653,0.0915879,1.58502,1.93613,-0.0936668,0.0457911,0.165483,0.105036,1.26178
HDF,0.0203804,1.17144,1.43068,-1.87865,0.0240986,1.17234,1.38046,-1.66166,0.0234356,1.17851,1.39313,-1.52805,0.0169587,0.092925,0.0760038,0.778658
GrandEst,0.0353681,0.986765,-0.276859,1.55108,0.035072,0.987631,-0.39549,1.60255,0.0353093,0.988889,-0.347847,1.60075,0.0115825,0.0507007,0.276821,0.0670182
PaysLoire,-0.105736,-2.52836,0.859706,1.42243,-0.101264,-2.36961,1.07552,1.19681,-0.103135,-2.12432,1.11561,1.52172,0.0494234,0.738036,0.584172,0.840353
Bretagne,-0.0733987,1.30925,0.664998,-1.13914,-0.0694982,1.3078,0.685604,-1.34945,-0.074449,1.32473,0.681535,-0.869212,0.0289637,0.149629,0.155772,0.839561
Occitanie,0.0752013,-0.719903,-0.319401,0.361098,0.0689323,-0.657314,-0.499056,0.535792,0.0678822,-0.572194,-0.360975,0.541827,0.0266098,0.275407,0.377374,0.24987
PACA,0.0752766,-0.313408,-1.28392,0.848856,0.075016,-0.32069,-1.38271,0.893853,0.0773514,-0.300901,-1.18802,0.88091,0.0222254,0.160995,0.551134,0.116039
Corse,-0.736744,-3.57612,0.190572,-1.18118,-0.790146,-3.49808,0.140206,-0.716114,-0.776577,-3.34471,0.132431,-0.55349,0.0910161,0.74123,0.126668,0.661727
