id,b_SAEM,Dq_SAEM,E0_SAEM,A0_SAEM,b_mean,Dq_mean,E0_mean,A0_mean,b_mode,Dq_mode,E0_mode,A0_mode,b_sd,Dq_sd,E0_sd,A0_sd
IDF,1.1688,1.81257,242.154,1575.63,1.16665,1.81272,235.796,1594,1.17301,1.78792,257.712,1532.6,0.00831957,0.0987125,78.5457,65.9928
NAquitaine,1.19279,0.772019,417.468,501.636,1.18804,0.798949,387.164,530.199,1.19963,0.768504,421.515,477.567,0.0378184,0.177961,159.344,117.604
AURA,1.04905,1.64243,502.099,875.977,1.04649,1.63151,541.201,864.128,1.0486,1.62372,453.547,899.396,0.0162403,0.168337,174.358,127.193
Centre,1.38383,4.38809,444.739,44.7062,1.36226,4.4496,458.07,53.5532,1.36911,4.4069,457.328,46.2105,0.047515,0.802849,85.4679,30.1926
BFC,0.972792,0.878179,291.54,612.126,0.971115,0.903185,340.547,591.34,0.971501,0.890512,300.286,609.271,0.0211023,0.134196,91.2191,88.4695
Normandie,1.11705,4.93768,4112.24,402.614,1.11873,4.97987,4501.43,182.118,1.11368,4.87585,4224.92,338.877,0.0517176,0.819359,492.465,171.784
HDF,1.03628,3.25324,2458.83,97.0111,1.04257,3.24374,2360.29,112.511,1.03869,3.24789,2441.03,87.6505,0.0178576,0.301261,194.921,69.7281
GrandEst,1.0413,2.69818,437.427,1801.52,1.03583,2.71165,437.258,1847.74,1.04257,2.68305,433.563,1792.33,0.00979952,0.138969,120.57,94.6587
PaysLoire,0.927719,0.10873,2351.2,1304.05,0.930975,0.118583,2460.38,1219.78,0.924041,0.119915,1969.08,1557.39,0.0406303,0.0859344,1130.28,827.075
Bretagne,0.941455,3.78523,1182.24,177.074,0.946659,3.79218,1203.04,146.234,0.942134,3.76188,1193.92,161.635,0.0305793,0.60611,192.059,96.3185
Occitanie,1.10379,0.514559,477.927,550.5,1.09364,0.545015,506.985,567.581,1.09173,0.563552,428.638,613.829,0.0227413,0.137504,191.616,132.695
PACA,1.09736,0.742775,194.494,869.466,1.10127,0.728101,142.172,884.087,1.09875,0.738832,187.921,864.758,0.0241146,0.116051,70.7259,96.838
Corse,0.481804,0.0366468,725.879,163.929,0.46673,0.0363607,702.952,215.577,0.467528,0.0351257,695.408,213.329,0.0406189,0.0250471,84.3279,112.239
