id,eta_b_SAEM,eta_Dq_SAEM,eta_E0_SAEM,eta_A0_SAEM,eta_b_mean,eta_Dq_mean,eta_E0_mean,eta_A0_mean,eta_b_mode,eta_Dq_mode,eta_E0_mode,eta_A0_mode,eta_b_sd,eta_Dq_sd,eta_E0_sd,eta_A0_sd
IDF,0.148309,0.558808,-0.839385,1.33002,0.146678,0.563338,-0.866632,1.37605,0.150098,0.558823,-0.881374,1.36606,0.00727597,0.0514726,0.381961,0.0518969
NAquitaine,0.158465,-0.330969,-0.441203,0.0749731,0.158725,-0.29141,-0.416899,0.137934,0.161238,-0.285948,-0.396848,0.210133,0.0308625,0.229563,0.469838,0.363263
AURA,0.0302043,0.450096,-0.305354,0.754336,0.0336746,0.447009,-0.238664,0.70386,0.0304591,0.46257,-0.325363,0.841832,0.0150042,0.103158,0.576288,0.295406
Centre,0.318398,1.41633,-0.335096,-2.45533,0.300039,1.45658,-0.317476,-2.17259,0.307157,1.45738,-0.305005,-2.12582,0.0374962,0.1874,0.202602,0.69983
BFC,-0.0370199,-0.169761,-0.817742,0.411616,-0.0336629,-0.147286,-0.661111,0.393633,-0.0356527,-0.137256,-0.735634,0.445049,0.0185999,0.148617,0.281497,0.1391
Normandie,0.0902881,1.55771,1.87488,-0.390345,0.0906446,1.57819,1.95741,-0.960811,0.0913286,1.56065,1.90007,-0.0957379,0.0381735,0.160812,0.0991865,0.943246
HDF,0.0284772,1.13869,1.36926,-1.78114,0.0281435,1.1515,1.35051,-1.68784,0.0263281,1.15449,1.36459,-1.47243,0.0184005,0.0978802,0.0809741,0.819122
GrandEst,0.05062,0.958894,-0.3495,1.46876,0.0497544,0.966422,-0.356939,1.50817,0.0512579,0.964864,-0.371056,1.50894,0.00926204,0.0558392,0.269221,0.0671668
PaysLoire,-0.110491,-2.5191,0.908125,1.23807,-0.104057,-2.41511,1.01869,1.11662,-0.10881,-2.12446,1.1018,1.43305,0.048653,0.832924,0.59081,0.886183
Bretagne,-0.0729799,1.28181,0.6125,-1.0528,-0.070094,1.28703,0.610361,-1.09023,-0.0736534,1.30177,0.642236,-0.857063,0.0311307,0.150688,0.193728,0.760381
Occitanie,0.0706088,-0.716747,-0.368489,0.305687,0.0702345,-0.698305,-0.323776,0.357462,0.0643793,-0.595441,-0.380958,0.464057,0.0218119,0.267762,0.335224,0.219822
PACA,0.0757899,-0.327893,-1.25677,0.761785,0.0830544,-0.361699,-1.34456,0.775824,0.0783452,-0.324641,-1.18585,0.798251,0.0203849,0.157549,0.545501,0.103615
Corse,-0.757044,-3.51553,0.143088,-1.11744,-0.784854,-3.48141,0.119193,-0.863511,-0.788529,-3.31226,0.0983716,-0.578877,0.0835263,0.757703,0.126389,0.645424
