id,b_SAEM,Dq_SAEM,E0_SAEM,A0_SAEM,b_mean,Dq_mean,E0_mean,A0_mean,b_mode,Dq_mode,E0_mode,A0_mode,b_sd,Dq_sd,E0_sd,A0_sd
IDF,2.53333,1.62481,264.386,1512.29,2.53196,1.62496,319.343,1487.64,2.53975,1.60977,272.141,1483.06,0.0277495,0.0837031,150.584,137.017
NAquitaine,2.62432,0.694347,437.259,457.723,2.63791,0.68565,400.923,460.105,2.63042,0.693192,425.694,449.83,0.0771875,0.167021,162.218,105.189
AURA,2.30154,1.4525,455.886,856.701,2.29734,1.46829,557.353,808.962,2.30018,1.45414,466.787,849.299,0.0326163,0.149074,253.255,161.321
Centre,2.93719,4.07695,452.374,36.9152,2.92552,4.06468,445.485,43.9492,2.9342,4.00108,441.674,40.332,0.0988395,0.722378,81.9719,31.0454
BFC,2.1123,0.800572,298.454,593.224,2.12655,0.788352,333.516,552.492,2.1133,0.800338,298.749,587.757,0.0457588,0.11351,108.89,97.1488
Normandie,2.42641,4.4502,4051.58,358.543,2.43058,4.51441,4244.37,242.642,2.42319,4.41407,4097.52,328.473,0.106347,0.718315,476.02,269.508
HDF,2.25226,2.89578,2377.49,74.4551,2.26364,2.90136,2291.03,96.3112,2.25997,2.90822,2338.36,74.9911,0.0434449,0.283767,221.833,71.0368
GrandEst,2.21768,2.41558,479.235,1745.43,2.21927,2.41074,480.471,1740.13,2.22045,2.40481,444.884,1753.28,0.0244087,0.135585,129.853,135.707
PaysLoire,2.04827,0.100717,1584.51,1779.62,2.07253,0.112142,2044.49,1391.35,2.05284,0.106874,1619.87,1710.97,0.0832856,0.0808151,666.621,521.747
Bretagne,2.05963,3.41435,1114.65,185.618,2.07196,3.35484,1174.15,126.746,2.06472,3.3572,1169.65,136.812,0.0609508,0.527044,179.436,82.2443
Occitanie,2.41827,0.472676,427.741,571.012,2.42874,0.468595,583.435,471.843,2.41207,0.501047,448.259,566.084,0.0592533,0.124189,213.841,149.172
PACA,2.41699,0.654366,266.48,774.889,2.42008,0.647095,202.271,803.293,2.4038,0.670292,193.213,832.119,0.0480068,0.104454,96.0679,92.423
Corse,1.08782,0.0344558,709.454,165.239,1.06396,0.0320403,695.609,198.228,1.07151,0.0297441,695.824,184.079,0.0968402,0.0218181,88.3146,124.723
