id,eta_b1_SAEM,eta_b2_SAEM,eta_Dq_SAEM,eta_E0_SAEM,eta_A0_SAEM,eta_b1_mean,eta_b2_mean,eta_Dq_mean,eta_E0_mean,eta_A0_mean,eta_b1_mode,eta_b2_mode,eta_Dq_mode,eta_E0_mode,eta_A0_mode,eta_b1_sd,eta_b2_sd,eta_Dq_sd,eta_E0_sd,eta_A0_sd
IDF,0.371506,-0.22499,0.739722,-1.03824,0.688438,0.378204,-0.230591,0.738983,-0.985494,0.539449,0.37804,-0.227036,0.736255,-0.815684,0.54618,0.0142107,0.0293337,0.0444271,0.510799,0.229119
NAquitaine,0.242858,0.137476,-0.229249,-0.213755,-0.362716,0.236998,0.141853,-0.194454,-0.240329,-0.623643,0.242241,0.141518,-0.205649,-0.355566,0.0639572,0.0715406,0.0622768,0.205108,0.42017,1.26646
AURA,0.114926,-0.147035,0.550889,-0.413079,0.647616,0.129696,-0.154655,0.53851,-0.271842,0.375879,0.120332,-0.14794,0.556586,-0.321171,0.629488,0.0283587,0.0462446,0.0950831,0.353383,0.553238
Centre,0.221944,0.428873,1.39318,-0.424474,-2.03459,0.22197,0.424693,1.39327,-0.417447,-1.99279,0.240239,0.424426,1.38834,-0.454614,-1.81041,0.0835148,0.0699642,0.180033,0.210651,0.791125
BFC,-0.0680635,-0.00798873,-0.154529,-0.835326,0.896415,-0.0588731,-0.0141081,-0.159936,-0.97135,0.857934,-0.0608744,-0.00892229,-0.148935,-0.762481,0.831122,0.0369581,0.0515614,0.154108,0.416343,0.22653
Normandie,-0.114397,0.281861,1.46095,1.81202,0.10392,-0.0971792,0.276718,1.45428,1.7999,0.205053,-0.0789665,0.277991,1.46081,1.83653,0.429729,0.128429,0.0678284,0.156938,0.186106,1.16627
HDF,-0.266782,0.434995,0.925984,1.5352,-0.593809,-0.274851,0.436247,0.928093,1.44591,0.121941,-0.26184,0.431062,0.932091,1.51075,0.0798358,0.0408957,0.0370121,0.106224,0.144314,1.345
GrandEst,0.0933236,-0.0273606,0.965189,-0.340424,1.69693,0.0886459,-0.0262223,0.967678,-0.450155,1.69928,0.0921167,-0.0257734,0.961919,-0.418434,1.68696,0.0179352,0.0284133,0.0552783,0.27779,0.0898109
PaysLoire,-0.0832233,-0.0916228,-2.21574,1.19087,0.771629,-0.0843567,-0.0860464,-2.27257,1.27252,0.447269,-0.063768,-0.0870561,-1.95448,1.38906,0.73172,0.0812897,0.101854,0.748491,0.383927,1.36742
Bretagne,-0.0821547,-0.073323,1.26232,0.428867,-1.26451,-0.0669572,-0.0681535,1.25298,0.374531,-1.26989,-0.0817482,-0.0617351,1.26241,0.432184,-0.896206,0.0491944,0.0831534,0.175463,0.173473,0.872565
Occitanie,0.0739725,0.0826406,-0.621285,-0.265986,0.456116,0.0860033,0.0743071,-0.618914,-0.278743,0.314747,0.0815792,0.0743157,-0.583186,-0.45993,0.679426,0.0376131,0.0550025,0.237041,0.432403,0.628539
PACA,0.0176984,0.192636,-0.422725,-1.20892,1.35437,0.0161544,0.195138,-0.407938,-1.32318,1.32966,0.0118741,0.194993,-0.391868,-1.275,1.36696,0.0304884,0.041302,0.167448,0.586926,0.135736
Corse,-0.55245,-0.995119,-3.61741,-0.0455406,-1.61318,-0.532248,-1.02112,-3.49498,-0.06247,-1.55885,-0.528542,-0.985909,-3.36085,-0.0689793,-1.17296,0.108057,0.194725,0.73334,0.0991591,0.907127
