rep,id,eta_b1,eta_b2,eta_Dq,eta_E0,eta_A0
1,IDF,0.382330394930242,-0.19317163833367,0.691201288073711,-0.793105491436872,0.465570218169707
2,IDF,0.38312356787399,-0.197440253015613,0.810646907497797,-1.57286378929449,0.703338184785247
3,IDF,0.396289895554338,-0.247601738915581,0.669533895587503,-0.156701231800742,-0.0771661144285257
4,IDF,0.367868296746051,-0.237458422074369,0.784857417336881,-1.49071969241099,0.779158529486122
5,IDF,0.408688773243564,-0.239974191713383,0.681747510627568,-0.931292516530229,0.359577878903744
6,IDF,0.385115142972797,-0.217055153797416,0.710087944843536,-1.78725770057937,0.703338184785247
7,IDF,0.369862864991743,-0.236527257125431,0.746233049973894,-0.0970519423518965,0.14564041778077
8,IDF,0.386773494567484,-0.24089902783054,0.727287756768395,-1.85327081324647,0.733864632110162
9,IDF,0.391447171151476,-0.298910325922952,0.817542417628316,-0.91539265881295,0.544564216811971
10,IDF,0.376069067226243,-0.247159519358445,0.769115165000614,-1.67093540252781,0.749701444157489
1,NAquitaine,0.370848680920154,0.0450540559420014,-0.198596282884443,-0.404225632951282,-0.633152002053516
2,NAquitaine,0.214890319003718,0.204645505630898,-0.384971060379403,0.217985801239292,-1.6811508133468
3,NAquitaine,0.205904970130355,0.206701587940868,-0.249951954889113,-0.247792380098161,0.0398382771880983
4,NAquitaine,0.209305285148625,0.129277606051559,-0.10065372962325,0.25949846796046,-1.27647645482128
5,NAquitaine,0.191237586195959,0.107881934358817,-0.193317297448525,-0.617542799632869,0.498248054779186
6,NAquitaine,0.260258497741953,0.0248241165049739,0.037917958482932,0.231924318105114,-1.24681232220194
7,NAquitaine,0.16553287143693,0.239429056899188,-0.0985541689826123,0.196029643240301,-0.365426068134067
8,NAquitaine,0.230404595614056,0.148446974485016,-0.0347975360029586,0.217274809140581,-1.48772831889847
9,NAquitaine,0.183962023677624,0.109709372362827,0.01267789776567,-0.172356827252201,0.310467900244715
10,NAquitaine,0.180725871878834,0.186077903203901,-0.214241033407791,0.341057302080525,-1.77363505940261
