id,eta_b1_SAEM,eta_b2_SAEM,eta_Dq_SAEM,eta_E0_SAEM,eta_A0_SAEM,eta_b1_mean,eta_b2_mean,eta_Dq_mean,eta_E0_mean,eta_A0_mean,eta_b1_mode,eta_b2_mode,eta_Dq_mode,eta_E0_mode,eta_A0_mode,eta_b1_sd,eta_b2_sd,eta_Dq_sd,eta_E0_sd,eta_A0_sd
IDF,0.374449,-0.221385,0.72574,-0.756569,0.378438,0.378615,-0.225726,0.721499,-1.07298,0.465817,0.378309,-0.226144,0.72653,-0.791811,0.400162,0.0158837,0.0256544,0.0452074,0.295794,0.150211
NAquitaine,0.253195,0.13242,-0.211136,-0.339919,-0.378021,0.243537,0.13896,-0.228548,-0.296892,-0.441523,0.242335,0.139974,-0.197706,-0.341496,-0.0556378,0.0660066,0.0570068,0.215584,0.333525,0.962475
AURA,0.125272,-0.147947,0.535053,-0.370981,0.422599,0.123475,-0.156882,0.549428,-0.224165,0.268737,0.120636,-0.147046,0.546781,-0.290624,0.48279,0.0280277,0.0484754,0.0876014,0.44545,0.468308
Centre,0.228226,0.425605,1.36905,-0.409019,-1.9301,0.208674,0.427867,1.37836,-0.431792,-1.71248,0.23398,0.425936,1.38053,-0.437321,-1.7288,0.0693571,0.0668287,0.180619,0.239569,0.737194
BFC,-0.0652091,-0.00263899,-0.178016,-0.688408,0.623734,-0.0446291,-0.00909858,-0.184754,-0.48101,0.32756,-0.0606145,-0.00801559,-0.158833,-0.732878,0.683151,0.0357323,0.0479456,0.145467,0.427961,0.51641
Normandie,-0.0885298,0.272141,1.457,1.87726,0.0358731,-0.140812,0.286516,1.44852,1.87907,0.290637,-0.0815978,0.278909,1.45126,1.87291,0.322922,0.137198,0.0693769,0.162082,0.15504,0.972547
HDF,-0.259185,0.429464,0.927852,1.59028,-0.565927,-0.273158,0.440509,0.920667,1.53552,-0.276514,-0.263164,0.432343,0.922896,1.54247,0.0212214,0.0372575,0.033648,0.104075,0.113538,1.11777
GrandEst,0.0976883,-0.0264923,0.946926,-0.361364,1.47184,0.0895483,-0.0187417,0.944012,-0.379363,1.53126,0.0926694,-0.0249933,0.952055,-0.381781,1.53479,0.0186188,0.024777,0.0465694,0.278397,0.097446
PaysLoire,-0.0682918,-0.0942753,-2.1833,1.42869,0.406584,-0.076395,-0.0874325,-2.23691,1.20102,0.641906,-0.062636,-0.0867546,-1.94774,1.44144,0.514204,0.0581673,0.0975183,0.702959,0.39732,1.17852
Bretagne,-0.0898305,-0.0688123,1.25206,0.477114,-1.01052,-0.0713026,-0.0691297,1.2467,0.438926,-1.42635,-0.0849693,-0.059472,1.25364,0.452621,-0.853207,0.0537938,0.0804967,0.157515,0.193128,0.789899
Occitanie,0.0711801,0.0857995,-0.643317,-0.392094,0.477434,0.0820481,0.0701991,-0.628458,-0.455337,0.474737,0.081867,0.0752228,-0.592883,-0.430316,0.532705,0.0360821,0.057493,0.247928,0.358416,0.322208
PACA,0.013871,0.196366,-0.426618,-1.30998,1.15473,0.0102261,0.197453,-0.418374,-1.4243,1.22176,0.0125247,0.195744,-0.402194,-1.26134,1.21757,0.0369259,0.0481105,0.157532,0.545864,0.155452
Corse,-0.600019,-0.974337,-3.55076,0.0249656,-1.31555,-0.528457,-1.02118,-3.47894,-0.0376796,-1.54404,-0.547763,-0.977251,-3.34354,-0.0415373,-1.11188,0.0987347,0.19287,0.705255,0.10448,0.81995
