reg_id	date	day	initI	initH	obs_id	obs	isolation	popsize	ascertainement	IDname	timesinceconf
REG-11	2020-03-02	0	34	0	1	25	0	12278210	0.0431010769979476	IDF	0
REG-11	2020-03-03	1	34	0	1	3	0	12278210	0.0431010769979476	IDF	0
REG-11	2020-03-04	2	34	0	1	18	0	12278210	0.0431010769979476	IDF	0
REG-11	2020-03-05	3	34	0	1	21	0	12278210	0.0431010769979476	IDF	0
REG-11	2020-03-06	4	34	0	1	13	0	12278210	0.0431010769979476	IDF	0
REG-11	2020-03-07	5	34	0	1	15	0	12278210	0.0431010769979476	IDF	0
REG-11	2020-03-08	6	34	0	1	0	0	12278210	0.0431010769979476	IDF	0
REG-11	2020-03-09	7	34	0	1	0	0	12278210	0.0431010769979476	IDF	0
REG-11	2020-03-10	8	34	0	1	230	0	12278210	0.0431010769979476	IDF	0
REG-11	2020-03-11	9	34	0	1	158	0	12278210	0.0431010769979476	IDF	0
REG-11	2020-03-12	10	34	0	1	85	0	12278210	0.0431010769979476	IDF	0
REG-11	2020-03-13	11	34	0	1	144	0	12278210	0.0431010769979476	IDF	0
REG-11	2020-03-14	12	34	0	1	228	0	12278210	0.0431010769979476	IDF	0
REG-11	2020-03-15	13	34	0	1	260	0	12278210	0.0431010769979476	IDF	0
REG-11	2020-03-16	14	34	0	1	553	0	12278210	0.0431010769979476	IDF	0
REG-11	2020-03-17	15	34	0	1	415	0	12278210	0.0431010769979476	IDF	0
REG-11	2020-03-18	16	34	0	1	516	1	12278210	0.0431010769979476	IDF	1
REG-11	2020-03-19	17	34	0	1	691	1	12278210	0.0431010769979476	IDF	2
REG-11	2020-03-20	18	34	0	1	434	1	12278210	0.0431010769979476	IDF	3
REG-11	2020-03-21	19	34	0	1	877	1	12278210	0.0431010769979476	IDF	4
REG-11	2020-03-22	20	34	0	1	588	1	12278210	0.0431010769979476	IDF	5
REG-11	2020-03-23	21	34	0	1	928	1	12278210	0.0431010769979476	IDF	6
REG-11	2020-03-24	22	34	0	1	587	1	12278210	0.0431010769979476	IDF	7
REG-11	2020-03-03	1	34	0	2	6	0	12278210	0.0431010769979476	IDF	0
REG-11	2020-03-04	2	34	0	2	11	0	12278210	0.0431010769979476	IDF	0
REG-11	2020-03-05	3	34	0	2	14	0	12278210	0.0431010769979476	IDF	0
REG-11	2020-03-06	4	34	0	2	22	0	12278210	0.0431010769979476	IDF	0
REG-11	2020-03-07	5	34	0	2	17	0	12278210	0.0431010769979476	IDF	0
REG-11	2020-03-08	6	34	0	2	19	0	12278210	0.0431010769979476	IDF	0
REG-11	2020-03-09	7	34	0	2	48	0	12278210	0.0431010769979476	IDF	0
REG-11	2020-03-10	8	34	0	2	52	0	12278210	0.0431010769979476	IDF	0
REG-11	2020-03-11	9	34	0	2	55	0	12278210	0.0431010769979476	IDF	0
REG-11	2020-03-12	10	34	0	2	88	0	12278210	0.0431010769979476	IDF	0
REG-11	2020-03-13	11	34	0	2	101	0	12278210	0.0431010769979476	IDF	0
REG-11	2020-03-14	12	34	0	2	87	0	12278210	0.0431010769979476	IDF	0
REG-11	2020-03-15	13	34	0	2	102	0	12278210	0.0431010769979476	IDF	0
REG-11	2020-03-16	14	34	0	2	134	0	12278210	0.0431010769979476	IDF	0
REG-11	2020-03-17	15	34	0	2	180	0	12278210	0.0431010769979476	IDF	0
