"time" "Iobs" "Hobs" "Dobs" "ICUobs"
"1" 2020-03-02 191 NA 3 NA
"2" 2020-03-03 212 NA 4 NA
"3" 2020-03-04 285 NA 4 15
"4" 2020-03-05 423 NA 7 23
"5" 2020-03-06 613 NA 9 39
"6" 2020-03-07 949 NA 16 45
"7" 2020-03-08 1126 NA 19 NA
"8" 2020-03-09 1412 NA 25 66
"9" 2020-03-10 1784 NA 33 86
"10" 2020-03-11 2281 NA 48 105
"11" 2020-03-12 2876 NA 61 129
"12" 2020-03-13 3661 NA 79 NA
"13" 2020-03-14 4500 NA 91 300
"14" 2020-03-15 5423 400 127 NA
"15" 2020-03-16 6633 NA 148 NA
"16" 2020-03-17 7730 2579 175 699
"17" 2020-03-18 9134 3626 264 931
"18" 2020-03-19 10995 4461 372 1122
"19" 2020-03-20 12612 5226 450 1297
"20" 2020-03-21 14459 6172 562 1525
"21" 2020-03-22 16689 7240 674 1746
"22" 2020-03-23 19856 8675 860 2082
"23" 2020-03-24 22302 10176 1100 2516
"24" 2020-03-25 25233 11539 1331 2827
"25" 2020-03-26 29155 13904 1696 3375
"26" 2020-03-27 32964 15732 1995 3787
"27" 2020-03-28 37575 17620 2314 4273
"28" 2020-03-29 40174 19354 2606 4632
"29" 2020-03-30 44550 21008 3024 5107
"30" 2020-03-31 52128 22757 3523 5565
"31" 2020-04-01 56989 24639 4032 6017
"32" 2020-04-02 59105 26246 4503 6399
"33" 2020-04-03 64338 27432 5091 6662
"34" 2020-04-04 68605 28143 5532 6838
"35" 2020-04-05 70478 28891 5889 6978
"36" 2020-04-06 74390 29722 6494 7072
"37" 2020-04-07 78167 30027 7091 7131
