maille_nom	maille_code	population
Auvergne-Rhône-Alpes	REG-84	8032377
Bourgogne- Franche-Comté	REG-27	2783039
Bretagne	REG-53	3340379
Centre - Val de Loire	REG-24	2559073
Corse	REG-94	344679
Grand Est	REG-44	5511747
Hauts-de-France	REG-32	5962662
Île-de-France	REG-11	12278210
Normandie	REG-28	3303500
Nouvelle-Aquitaine	REG-75	5999982
Occitanie	REG-76	5924858
Pays de la Loire	REG-52	3801797
Provence-Alpes-Côte d'Azur	REG-93	5055651
Guadeloupe 	REG-01	376879
Martinique 	REG-02	358749
Guyane	REG-03	290691
La Réunion	REG-04	859959
Mayotte	REG-06	279471
France métropolitaine	FRA	64897954
