"names" "I12" "I12min" "I12max" "I13" "I13min" "I13max"
"1" "REG-84" 34071 28398 38744 28068 23987 32149
"2" "REG-27" 10165 7635 12695 9896 6809 12983
"3" "REG-53" 10207 7881 12533 10086 7989 12183
"4" "REG-24" 7561 6015 9107 11375 9533 13217
"5" "REG-94" 390 184 596 697 462 932
"6" "REG-44" 37253 31737 42769 37406 32236 32149
"7" "REG-32" 23489 18982 27996 22799 18690 26908
"8" "REG-11" 90448 78677 102219 98012 86754 109270
"9" "REG-28" 15332 10175 20489 8546 6522 10570
"10" "REG-75" 13995 10549 17441 16762 13485 20039
"11" "REG-76" 15881 12409 19353 19713 15880 23546
"12" "REG-52" 18150 12914 23386 13129 10467 15791
"13" "REG-93" 18422 13522 23322 24277 17210 31344
"14" "REG-01" 0 0 0 0 0 0
"15" "REG-02" 0 0 0 0 0 0
"16" "REG-03" 0 0 0 0 0 0
"17" "REG-04" 0 0 0 0 0 0
"18" "REG-06" 0 0 0 0 0 0
