date	maille_code	source_type	day	cas_confirmes_incident	deces_incident	popsize	initinfectious
2020-01-24	REG-75	agences-regionales-sante	0	1	0	5987014	1
2020-01-25	REG-75	agences-regionales-sante	1	0	0	5987014	1
2020-01-26	REG-75	agences-regionales-sante	2	0	0	5987014	1
2020-01-27	REG-75	agences-regionales-sante	3	0	0	5987014	1
2020-01-28	REG-75	agences-regionales-sante	4	0	0	5987014	1
2020-01-29	REG-75	agences-regionales-sante	5	0	0	5987014	1
2020-01-30	REG-75	agences-regionales-sante	6	0	0	5987014	1
2020-01-31	REG-75	agences-regionales-sante	7	0	0	5987014	1
2020-02-01	REG-75	agences-regionales-sante	8	0	0	5987014	1
2020-02-02	REG-75	agences-regionales-sante	9	0	0	5987014	1
2020-02-03	REG-75	agences-regionales-sante	10	0	0	5987014	1
2020-02-04	REG-75	agences-regionales-sante	11	0	0	5987014	1
2020-02-05	REG-75	agences-regionales-sante	12	0	0	5987014	1
2020-02-06	REG-75	agences-regionales-sante	13	0	0	5987014	1
2020-02-07	REG-75	agences-regionales-sante	14	0	0	5987014	1
2020-02-08	REG-75	agences-regionales-sante	15	0	0	5987014	1
2020-02-09	REG-75	agences-regionales-sante	16	0	0	5987014	1
2020-02-10	REG-75	agences-regionales-sante	17	0	0	5987014	1
2020-02-11	REG-75	agences-regionales-sante	18	0	0	5987014	1
2020-02-12	REG-75	agences-regionales-sante	19	0	0	5987014	1
2020-02-13	REG-75	agences-regionales-sante	20	0	0	5987014	1
2020-02-14	REG-75	agences-regionales-sante	21	0	0	5987014	1
2020-02-15	REG-75	agences-regionales-sante	22	0	0	5987014	1
2020-02-16	REG-75	agences-regionales-sante	23	0	0	5987014	1
2020-02-17	REG-75	agences-regionales-sante	24	0	0	5987014	1
2020-02-18	REG-75	agences-regionales-sante	25	0	0	5987014	1
2020-02-19	REG-75	agences-regionales-sante	26	0	0	5987014	1
2020-02-20	REG-75	agences-regionales-sante	27	0	0	5987014	1
2020-02-21	REG-75	agences-regionales-sante	28	0	0	5987014	1
2020-02-22	REG-75	agences-regionales-sante	29	0	0	5987014	1
2020-02-23	REG-75	agences-regionales-sante	30	0	0	5987014	1
2020-02-24	REG-75	agences-regionales-sante	31	0	0	5987014	1
2020-02-25	REG-75	agences-regionales-sante	32	0	0	5987014	1
2020-02-26	REG-75	agences-regionales-sante	33	0	0	5987014	1
2020-02-27	REG-75	agences-regionales-sante	34	0	0	5987014	1
2020-02-28	REG-75	agences-regionales-sante	35	0	0	5987014	1
