date	maille_code	source_type	day	cas_confirmes_incident	deces_incident	popsize	goodID	initinfectious
2020-03-04	REG-11	sante-publique-france	0	55	0	12213364	IDF	55
2020-03-05	REG-11	sante-publique-france	1	21	0	12213364	IDF	55
2020-03-06	REG-11	sante-publique-france	2	13	0	12213364	IDF	55
2020-03-07	REG-11	sante-publique-france	3	15	0	12213364	IDF	55
2020-03-08	REG-11	sante-publique-france	4	0	0	12213364	IDF	55
2020-03-09	REG-11	sante-publique-france	5	0	0	12213364	IDF	55
2020-03-10	REG-11	sante-publique-france	6	230	0	12213364	IDF	55
2020-03-11	REG-11	sante-publique-france	7	158	0	12213364	IDF	55
2020-03-12	REG-11	sante-publique-france	8	85	0	12213364	IDF	55
2020-03-13	REG-11	sante-publique-france	9	144	0	12213364	IDF	55
2020-03-14	REG-11	sante-publique-france	10	228	0	12213364	IDF	55
2020-03-15	REG-11	sante-publique-france	11	260	0	12213364	IDF	55
2020-03-16	REG-11	sante-publique-france	12	553	0	12213364	IDF	55
2020-03-17	REG-11	sante-publique-france	13	415	0	12213364	IDF	55
2020-03-18	REG-11	sante-publique-france	14	516	0	12213364	IDF	55
2020-03-04	REG-27	sante-publique-france	0	16	0	2795301	BFC	16
2020-03-05	REG-27	sante-publique-france	1	23	0	2795301	BFC	16
2020-03-06	REG-27	sante-publique-france	2	39	0	2795301	BFC	16
2020-03-07	REG-27	sante-publique-france	3	51	0	2795301	BFC	16
2020-03-08	REG-27	sante-publique-france	4	0	0	2795301	BFC	16
2020-03-09	REG-27	sante-publique-france	5	0	0	2795301	BFC	16
2020-03-10	REG-27	sante-publique-france	6	17	0	2795301	BFC	16
2020-03-11	REG-27	sante-publique-france	7	9	0	2795301	BFC	16
2020-03-12	REG-27	sante-publique-france	8	64	0	2795301	BFC	16
2020-03-13	REG-27	sante-publique-france	9	53	0	2795301	BFC	16
2020-03-14	REG-27	sante-publique-france	10	67	0	2795301	BFC	16
2020-03-15	REG-27	sante-publique-france	11	73	0	2795301	BFC	16
2020-03-16	REG-27	sante-publique-france	12	95	0	2795301	BFC	16
2020-03-17	REG-27	sante-publique-france	13	42	0	2795301	BFC	16
2020-03-18	REG-27	sante-publique-france	14	44	0	2795301	BFC	16
2020-03-04	REG-28	sante-publique-france	0	2	0	3319067	Normandie	2
2020-03-05	REG-28	sante-publique-france	1	4	0	3319067	Normandie	2
2020-03-06	REG-28	sante-publique-france	2	5	0	3319067	Normandie	2
2020-03-07	REG-28	sante-publique-france	3	0	0	3319067	Normandie	2
2020-03-08	REG-28	sante-publique-france	4	0	0	3319067	Normandie	2
2020-03-09	REG-28	sante-publique-france	5	0	0	3319067	Normandie	2
2020-03-10	REG-28	sante-publique-france	6	26	0	3319067	Normandie	2
2020-03-11	REG-28	sante-publique-france	7	17	0	3319067	Normandie	2
2020-03-12	REG-28	sante-publique-france	8	14	0	3319067	Normandie	2
2020-03-13	REG-28	sante-publique-france	9	29	0	3319067	Normandie	2
2020-03-14	REG-28	sante-publique-france	10	30	0	3319067	Normandie	2
2020-03-15	REG-28	sante-publique-france	11	16	0	3319067	Normandie	2
2020-03-16	REG-28	sante-publique-france	12	13	0	3319067	Normandie	2
2020-03-17	REG-28	sante-publique-france	13	18	0	3319067	Normandie	2
2020-03-18	REG-28	sante-publique-france	14	34	0	3319067	Normandie	2
2020-03-04	REG-32	sante-publique-france	0	65	0	5978266	HDF	65
2020-03-05	REG-32	sante-publique-france	1	9	0	5978266	HDF	65
2020-03-06	REG-32	sante-publique-france	2	23	0	5978266	HDF	65
2020-03-07	REG-32	sante-publique-france	3	76	0	5978266	HDF	65
2020-03-08	REG-32	sante-publique-france	4	0	0	5978266	HDF	65
2020-03-09	REG-32	sante-publique-france	5	0	0	5978266	HDF	65
2020-03-10	REG-32	sante-publique-france	6	36	0	5978266	HDF	65
2020-03-11	REG-32	sante-publique-france	7	54	0	5978266	HDF	65
