date	maille_code	source_type	day	cas_confirmes_incident	deces_incident	popsize	goodID	initinfectious	cumul
2020-03-05	REG-11	sante-publique-france	0	76	0	12213364	IDF	76	2693
2020-03-06	REG-11	sante-publique-france	1	13	0	12213364	IDF	76	2693
2020-03-07	REG-11	sante-publique-france	2	15	0	12213364	IDF	76	2693
2020-03-08	REG-11	sante-publique-france	3	0	0	12213364	IDF	76	2693
2020-03-09	REG-11	sante-publique-france	4	0	0	12213364	IDF	76	2693
2020-03-10	REG-11	sante-publique-france	5	230	0	12213364	IDF	76	2693
2020-03-11	REG-11	sante-publique-france	6	158	0	12213364	IDF	76	2693
2020-03-12	REG-11	sante-publique-france	7	85	0	12213364	IDF	76	2693
2020-03-13	REG-11	sante-publique-france	8	144	0	12213364	IDF	76	2693
2020-03-14	REG-11	sante-publique-france	9	228	0	12213364	IDF	76	2693
2020-03-15	REG-11	sante-publique-france	10	260	0	12213364	IDF	76	2693
2020-03-16	REG-11	sante-publique-france	11	553	0	12213364	IDF	76	2693
2020-03-17	REG-11	sante-publique-france	12	415	0	12213364	IDF	76	2693
2020-03-18	REG-11	sante-publique-france	13	516	0	12213364	IDF	76	2693
2020-03-06	REG-24	sante-publique-france	0	11	0	2566759	Centre	11	128
2020-03-07	REG-24	sante-publique-france	1	5	0	2566759	Centre	11	128
2020-03-08	REG-24	sante-publique-france	2	0	0	2566759	Centre	11	128
2020-03-09	REG-24	sante-publique-france	3	0	0	2566759	Centre	11	128
2020-03-10	REG-24	sante-publique-france	4	2	0	2566759	Centre	11	128
2020-03-11	REG-24	sante-publique-france	5	2	0	2566759	Centre	11	128
2020-03-12	REG-24	sante-publique-france	6	10	0	2566759	Centre	11	128
2020-03-13	REG-24	sante-publique-france	7	3	0	2566759	Centre	11	128
2020-03-14	REG-24	sante-publique-france	8	21	0	2566759	Centre	11	128
2020-03-15	REG-24	sante-publique-france	9	17	0	2566759	Centre	11	128
2020-03-16	REG-24	sante-publique-france	10	19	0	2566759	Centre	11	128
2020-03-17	REG-24	sante-publique-france	11	13	0	2566759	Centre	11	128
2020-03-18	REG-24	sante-publique-france	12	25	0	2566759	Centre	11	128
2020-03-05	REG-27	sante-publique-france	0	39	0	2795301	BFC	39	593
2020-03-06	REG-27	sante-publique-france	1	39	0	2795301	BFC	39	593
2020-03-07	REG-27	sante-publique-france	2	51	0	2795301	BFC	39	593
2020-03-08	REG-27	sante-publique-france	3	0	0	2795301	BFC	39	593
2020-03-09	REG-27	sante-publique-france	4	0	0	2795301	BFC	39	593
2020-03-10	REG-27	sante-publique-france	5	17	0	2795301	BFC	39	593
2020-03-11	REG-27	sante-publique-france	6	9	0	2795301	BFC	39	593
2020-03-12	REG-27	sante-publique-france	7	64	0	2795301	BFC	39	593
2020-03-13	REG-27	sante-publique-france	8	53	0	2795301	BFC	39	593
2020-03-14	REG-27	sante-publique-france	9	67	0	2795301	BFC	39	593
2020-03-15	REG-27	sante-publique-france	10	73	0	2795301	BFC	39	593
2020-03-16	REG-27	sante-publique-france	11	95	0	2795301	BFC	39	593
2020-03-17	REG-27	sante-publique-france	12	42	0	2795301	BFC	39	593
2020-03-18	REG-27	sante-publique-france	13	44	0	2795301	BFC	39	593
2020-03-05	REG-28	sante-publique-france	0	6	0	3319067	Normandie	6	208
2020-03-06	REG-28	sante-publique-france	1	5	0	3319067	Normandie	6	208
2020-03-07	REG-28	sante-publique-france	2	0	0	3319067	Normandie	6	208
2020-03-08	REG-28	sante-publique-france	3	0	0	3319067	Normandie	6	208
2020-03-09	REG-28	sante-publique-france	4	0	0	3319067	Normandie	6	208
2020-03-10	REG-28	sante-publique-france	5	26	0	3319067	Normandie	6	208
2020-03-11	REG-28	sante-publique-france	6	17	0	3319067	Normandie	6	208
2020-03-12	REG-28	sante-publique-france	7	14	0	3319067	Normandie	6	208
2020-03-13	REG-28	sante-publique-france	8	29	0	3319067	Normandie	6	208
2020-03-14	REG-28	sante-publique-france	9	30	0	3319067	Normandie	6	208
2020-03-15	REG-28	sante-publique-france	10	16	0	3319067	Normandie	6	208
2020-03-16	REG-28	sante-publique-france	11	13	0	3319067	Normandie	6	208
2020-03-17	REG-28	sante-publique-france	12	18	0	3319067	Normandie	6	208
2020-03-18	REG-28	sante-publique-france	13	34	0	3319067	Normandie	6	208
2020-03-05	REG-32	sante-publique-france	0	74	0	5978266	HDF	74	665
2020-03-06	REG-32	sante-publique-france	1	23	0	5978266	HDF	74	665
2020-03-07	REG-32	sante-publique-france	2	76	0	5978266	HDF	74	665
2020-03-08	REG-32	sante-publique-france	3	0	0	5978266	HDF	74	665
2020-03-09	REG-32	sante-publique-france	4	0	0	5978266	HDF	74	665
2020-03-10	REG-32	sante-publique-france	5	36	0	5978266	HDF	74	665
2020-03-11	REG-32	sante-publique-france	6	54	0	5978266	HDF	74	665
2020-03-12	REG-32	sante-publique-france	7	86	0	5978266	HDF	74	665
2020-03-13	REG-32	sante-publique-france	8	48	0	5978266	HDF	74	665
2020-03-14	REG-32	sante-publique-france	9	69	0	5978266	HDF	74	665
2020-03-15	REG-32	sante-publique-france	10	41	0	5978266	HDF	74	665
2020-03-16	REG-32	sante-publique-france	11	78	0	5978266	HDF	74	665
2020-03-17	REG-32	sante-publique-france	12	27	0	5978266	HDF	74	665
2020-03-18	REG-32	sante-publique-france	13	53	0	5978266	HDF	74	665
2020-03-05	REG-44	sante-publique-france	0	77	0	5518188	GrandEst	77	2163
2020-03-06	REG-44	sante-publique-france	1	59	0	5518188	GrandEst	77	2163
2020-03-07	REG-44	sante-publique-france	2	114	0	5518188	GrandEst	77	2163
2020-03-08	REG-44	sante-publique-france	3	0	0	5518188	GrandEst	77	2163
2020-03-09	REG-44	sante-publique-france	4	0	0	5518188	GrandEst	77	2163
2020-03-10	REG-44	sante-publique-france	5	214	0	5518188	GrandEst	77	2163
2020-03-11	REG-44	sante-publique-france	6	114	0	5518188	GrandEst	77	2163
2020-03-12	REG-44	sante-publique-france	7	121	0	5518188	GrandEst	77	2163
2020-03-13	REG-44	sante-publique-france	8	212	0	5518188	GrandEst	77	2163
2020-03-14	REG-44	sante-publique-france	9	174	0	5518188	GrandEst	77	2163
2020-03-15	REG-44	sante-publique-france	10	293	0	5518188	GrandEst	77	2163
2020-03-16	REG-44	sante-publique-france	11	165	0	5518188	GrandEst	77	2163
2020-03-17	REG-44	sante-publique-france	12	277	0	5518188	GrandEst	77	2163
2020-03-18	REG-44	sante-publique-france	13	343	0	5518188	GrandEst	77	2163
2020-03-05	REG-52	sante-publique-france	0	8	0	3786545	PaysLoire	8	128
2020-03-06	REG-52	sante-publique-france	1	8	0	3786545	PaysLoire	8	128
2020-03-07	REG-52	sante-publique-france	2	2	0	3786545	PaysLoire	8	128
2020-03-08	REG-52	sante-publique-france	3	0	0	3786545	PaysLoire	8	128
2020-03-09	REG-52	sante-publique-france	4	0	0	3786545	PaysLoire	8	128
