date	maille_code	source_type	day	cas_confirmes_incident	deces_incident	hospitalisation_incident	popsize	goodID	initinfectious	cumul
2020-03-14	REG-01	sante-publique-france	0	3	0	NA	382704	Guadeloupe	3	56
2020-03-15	REG-01	sante-publique-france	1	3	0	0	382704	Guadeloupe	3	56
2020-03-16	REG-01	sante-publique-france	2	12	0	0	382704	Guadeloupe	3	56
2020-03-17	REG-01	sante-publique-france	3	9	0	0	382704	Guadeloupe	3	56
2020-03-18	REG-01	sante-publique-france	4	6	0	NA	382704	Guadeloupe	3	56
2020-03-19	REG-01	sante-publique-france	5	12	0	NA	382704	Guadeloupe	3	56
2020-03-20	REG-01	sante-publique-france	6	6	0	NA	382704	Guadeloupe	3	56
2020-03-21	REG-01	sante-publique-france	7	5	0	NA	382704	Guadeloupe	3	56
2020-03-02	REG-11	sante-publique-france	0	34	0	NA	12213364	IDF	34	4695
2020-03-03	REG-11	sante-publique-france	1	0	0	6	12213364	IDF	34	4695
2020-03-04	REG-11	sante-publique-france	2	21	0	11	12213364	IDF	34	4695
2020-03-05	REG-11	sante-publique-france	3	21	0	14	12213364	IDF	34	4695
2020-03-06	REG-11	sante-publique-france	4	13	0	22	12213364	IDF	34	4695
2020-03-07	REG-11	sante-publique-france	5	15	0	17	12213364	IDF	34	4695
2020-03-08	REG-11	sante-publique-france	6	0	0	19	12213364	IDF	34	4695
2020-03-09	REG-11	sante-publique-france	7	0	0	48	12213364	IDF	34	4695
2020-03-10	REG-11	sante-publique-france	8	230	0	52	12213364	IDF	34	4695
2020-03-11	REG-11	sante-publique-france	9	158	0	55	12213364	IDF	34	4695
2020-03-12	REG-11	sante-publique-france	10	85	0	88	12213364	IDF	34	4695
2020-03-13	REG-11	sante-publique-france	11	144	0	101	12213364	IDF	34	4695
2020-03-14	REG-11	sante-publique-france	12	228	0	88	12213364	IDF	34	4695
2020-03-15	REG-11	sante-publique-france	13	260	0	101	12213364	IDF	34	4695
2020-03-16	REG-11	sante-publique-france	14	553	0	136	12213364	IDF	34	4695
2020-03-17	REG-11	sante-publique-france	15	415	0	189	12213364	IDF	34	4695
2020-03-18	REG-11	sante-publique-france	16	516	0	150	12213364	IDF	34	4695
2020-03-19	REG-11	sante-publique-france	17	691	0	NA	12213364	IDF	34	4695
2020-03-20	REG-11	sante-publique-france	18	434	0	NA	12213364	IDF	34	4695
2020-03-21	REG-11	sante-publique-france	19	877	0	NA	12213364	IDF	34	4695
