id,transmission_SAEM,ascertainment_SAEM,transmission_mean,ascertainment_mean,transmission_mode,ascertainment_mode,transmission_sd,ascertainment_sd
Guadeloupe,1.46581,0.988733,1.46695,0.98993,1.46914,0.996167,0.163787,0.0236348
IDF,1.39653,0.599563,1.39617,0.599976,1.39925,0.592032,0.0163877,0.0326007
Centre,1.59239,0.128473,1.65615,0.111159,1.6468,0.111728,0.0944095,0.0228645
BFC,1.19311,0.998285,1.19537,0.998525,1.19443,0.999069,0.0112575,0.00300494
Normandie,1.62859,0.995127,1.63132,0.995691,1.63145,0.99777,0.025315,0.0100869
HDF,0.770262,0.313059,0.784536,0.298384,0.77212,0.310934,0.0345827,0.0354409
GrandEst,1.47685,0.999639,1.47722,0.99956,1.47791,0.999667,0.00697338,0.000862541
PaysLoire,0.956847,0.945925,0.963813,0.918304,1.00353,0.776678,0.0347291,0.105903
Bretagne,0.957833,0.308389,0.97264,0.297012,0.974702,0.290303,0.0441217,0.0396061
NAquitaine,1.4203,0.671808,1.41186,0.692068,1.42457,0.653781,0.0388518,0.0999014
Occitanie,1.22375,0.996185,1.22359,0.997368,1.22266,0.99837,0.0132917,0.00528297
AURA,1.08136,0.29428,1.07569,0.301143,1.08123,0.29324,0.0311042,0.0308564
PACA,1.22025,0.996897,1.22155,0.995952,1.22105,0.998367,0.0111221,0.00924922
Corse,1.36027,0.998483,1.3614,0.9987,1.36054,0.999228,0.0334531,0.00310714
