id,eta_transmission_SAEM,eta_ascertainment_SAEM,eta_transmission_mean,eta_ascertainment_mean,eta_transmission_mode,eta_ascertainment_mode,eta_transmission_sd,eta_ascertainment_sd
Guadeloupe,0.161457,2.66777,0.161807,2.5932,0.169576,1.06195,0.11235,3.1029
IDF,0.11862,-4.01926,0.118559,-4.09116,0.120832,-4.12593,0.0117082,0.135745
Centre,0.248312,-6.35615,0.28773,-6.59603,0.28373,-6.57151,0.0580864,0.21743
BFC,-0.0388237,4.10655,-0.0366865,4.33668,-0.0374346,2.48005,0.00941731,3.06968
Normandie,0.272258,3.29549,0.274165,3.77012,0.274369,1.60525,0.0155042,3.40779
HDF,-0.476975,-5.21272,-0.458739,-5.35901,-0.473717,-5.29405,0.0441668,0.169088
GrandEst,0.174568,5.50071,0.175047,5.32017,0.17553,3.50765,0.00471658,2.70051
PaysLoire,-0.260046,1.37099,-0.252597,0.374764,-0.211579,-3.25189,0.0355257,3.67088
Bretagne,-0.259652,-5.23984,-0.243874,-5.36683,-0.240725,-5.39221,0.0454544,0.187544
NAquitaine,0.135061,-3.5,0.129429,-3.52311,0.13877,-3.8626,0.0276058,1.21856
Occitanie,-0.0134616,4.15618,-0.0133737,3.61795,-0.0140713,1.91914,0.0108545,2.76665
AURA,-0.137309,-5.30055,-0.142555,-5.3444,-0.137001,-5.37799,0.028925,0.146628
PACA,-0.016321,3.88909,-0.0150188,3.57594,-0.01539,1.91716,0.00911632,3.31086
Corse,0.0920251,4.49128,0.0931125,4.83296,0.0927825,2.66693,0.0245831,3.32782
