location	Jpic	Dpic	maxlit	Jmaxlit	Dmaxlit	Jdepasselit	Ddepasselit
Guadeloupe	80	2020-06-02	43353	365	2021-03-14	13	2020-03-27
Martinique	71	2020-05-17	11889	365	2021-03-07	24	2020-03-31
Guyane	96	2020-06-10	1529	365	2021-03-06	39	2020-04-14
Reunion	89	2020-06-09	25450	365	2021-03-12	24	2020-04-05
Mayotte	86	2020-06-09	10533	365	2021-03-15	30	2020-04-14
IDF	47	2020-04-21	513753	365	2021-03-05	22	2020-03-27
Centre	53	2020-04-28	51498	365	2021-03-06	27	2020-04-02
BFC	87	2020-05-31	87687	365	2021-03-05	29	2020-04-03
Normandie	91	2020-06-04	222285	365	2021-03-05	36	2020-04-10
HDF	153	2020-08-05	101137	365	2021-03-05	50	2020-04-24
GrandEst	70	2020-05-14	299136	365	2021-03-05	22	2020-03-27
PaysLoire	103	2020-06-16	127412	365	2021-03-05	41	2020-04-15
Bretagne	108	2020-06-21	67393	365	2021-03-05	37	2020-04-11
NAquitaine	94	2020-06-07	351338	365	2021-03-05	39	2020-04-13
Occitanie	89	2020-06-02	383454	365	2021-03-05	36	2020-04-10
AURA	71	2020-05-15	209919	365	2021-03-05	29	2020-04-03
PACA	64	2020-05-08	273045	365	2021-03-05	28	2020-04-02
Corse	166	2020-08-19	25865	210	2020-10-02	23	2020-03-29
