id,transmission_SAEM,ascertainment_SAEM,transmission_mean,ascertainment_mean,transmission_mode,ascertainment_mode,transmission_sd,ascertainment_sd
Guadeloupe,1.12678,3.09268,1.1735,2.99675,1.11288,3.04404,0.2497,0.693254
Martinique,1.19045,0.556224,1.20239,0.525992,1.19501,0.511411,0.209407,0.175926
Guyane,0.969183,0.0972237,0.958369,0.0990416,0.959188,0.0929833,0.164506,0.0415582
Reunion,1.14254,0.520971,1.1159,0.532842,1.09251,0.522212,0.255256,0.228014
Mayotte,1.1879,0.730081,1.15959,0.825471,1.11929,0.736919,0.259121,0.571885
IDF,1.72317,0.475236,1.69991,0.495375,1.70341,0.491115,0.0255799,0.0247195
Centre,1.41128,0.295987,1.52316,0.245875,1.50121,0.248078,0.156793,0.0632802
BFC,0.986058,0.640054,0.999066,0.625596,0.995502,0.625964,0.0598867,0.0839577
Normandie,1.16737,1.33955,1.15212,1.37696,1.15358,1.36838,0.0733333,0.224934
HDF,0.729438,0.560531,0.732152,0.555006,0.748352,0.533094,0.0418335,0.0495575
GrandEst,1.19196,0.948464,1.19584,0.942053,1.19017,0.949418,0.0379078,0.0748695
PaysLoire,1.00269,0.690895,1.01425,0.682033,0.999012,0.68266,0.108298,0.158308
Bretagne,0.887534,0.455933,0.87735,0.470855,0.884059,0.459124,0.0749558,0.0704772
NAquitaine,1.1542,1.1171,1.13524,1.16348,1.1336,1.15549,0.0797245,0.203287
Occitanie,1.17688,1.25789,1.17179,1.27551,1.16795,1.26908,0.0648116,0.194042
AURA,1.17122,0.40506,1.1415,0.433527,1.15286,0.421101,0.0539692,0.047228
PACA,1.3813,0.779838,1.37797,0.784916,1.36751,0.798286,0.0536289,0.0912662
Corse,1.06926,4.28317,1.07832,4.31539,1.07034,4.38289,0.0692564,0.539555
