id,eta_transmission_SAEM,eta_ascertainment_SAEM,eta_transmission_mean,eta_ascertainment_mean,eta_transmission_mode,eta_ascertainment_mode,eta_transmission_sd,eta_ascertainment_sd
Guadeloupe,-0.0197057,1.36822,-0.0164862,1.38296,-0.017231,1.42046,0.210203,0.226425
Martinique,0.0773142,-0.288311,0.0931159,-0.314985,0.0847696,-0.267701,0.160526,0.344094
Guyane,-0.110922,-1.99341,-0.134401,-1.97072,-0.125355,-1.91951,0.150216,0.383433
Reunion,-0.0084203,-0.339063,-0.0240919,-0.315128,-0.0178805,-0.254589,0.210592,0.392097
Mayotte,0.0325365,-0.146076,0.00871661,-0.10511,-0.00291227,0.0390496,0.214981,0.682243
IDF,0.401177,-0.28826,0.384097,-0.244282,0.388838,-0.25453,0.0171305,0.0521677
Centre,0.266477,-0.886278,0.306697,-0.994553,0.309902,-0.982901,0.0987377,0.263978
BFC,-0.0579291,-0.138031,-0.0658029,-0.118493,-0.0756542,-0.0947697,0.052685,0.118481
Normandie,-0.0065515,0.673061,-0.00161401,0.664392,-0.00945933,0.691015,0.0721721,0.170676
HDF,-0.295796,-0.312317,-0.302715,-0.293987,-0.290836,-0.315432,0.0498419,0.0867405
GrandEst,0.0454113,0.347841,0.0364651,0.371312,0.0411929,0.359128,0.0349032,0.0750024
PaysLoire,-0.0892977,-0.00462319,-0.0762312,-0.027556,-0.0766565,-0.0143025,0.100849,0.22276
Bretagne,-0.159532,-0.445791,-0.168277,-0.413461,-0.152637,-0.442904,0.0825169,0.158108
NAquitaine,0.00483573,0.482356,-0.0115827,0.521729,-0.00935418,0.527737,0.0741678,0.176495
Occitanie,-0.00858379,0.651771,0.00454096,0.629335,0.000445702,0.639241,0.0660676,0.146357
AURA,0.0785558,-0.511919,0.0727263,-0.493538,0.0707531,-0.491376,0.0503823,0.117311
PACA,0.182108,0.182555,0.184104,0.176111,0.176184,0.195435,0.046845,0.120306
Corse,-0.348568,1.75568,-0.315227,1.71592,-0.330222,1.74967,0.0952007,0.152594
