rep,id,eta_transmission,eta_ascertainment
1,Guadeloupe,0.266992736315468,1.47990672470986
2,Guadeloupe,0.265456844096965,1.15799556724089
3,Guadeloupe,0.336550712752251,1.42194506130621
4,Guadeloupe,0.171591961851221,1.32626389647475
5,Guadeloupe,-0.153054438600988,1.40137740776858
6,Guadeloupe,-0.115463699864703,1.75296615228034
7,Guadeloupe,-0.292263331952503,1.62538593833405
8,Guadeloupe,0.160859946973689,1.24572217038878
9,Guadeloupe,0.280231026723995,1.40675969330343
10,Guadeloupe,0.305776971422041,1.54249570188736
1,Martinique,0.410983909853642,-0.886482807888725
2,Martinique,-0.0783815118490921,-0.286527360947953
3,Martinique,-0.0325879989037231,0.0431327880698808
4,Martinique,0.262634000619464,-0.519070843288824
5,Martinique,0.234613644162558,-0.625386585261846
6,Martinique,-0.104266593352407,0.0391207558751984
7,Martinique,0.0508797394604084,-0.409240437629851
8,Martinique,0.183697064036297,-0.24683574608811
9,Martinique,-0.348514114510582,-0.186365224452766
10,Martinique,0.365111382785383,-1.22541305488758
1,Guyane,-0.119989727518238,-2.5024628694594
2,Guyane,-0.399083813464149,-1.45750706251329
3,Guyane,-0.192760899218511,-1.81255763390602
4,Guyane,0.0604691233590525,-2.38968948786004
5,Guyane,-0.0974284298669196,-1.40878795766584
6,Guyane,-0.275381622080912,-1.78491830969422
7,Guyane,-0.112100424776946,-1.85662674218521
8,Guyane,-0.456250734387516,-1.36024987888424
9,Guyane,-0.0577617609843355,-1.98305615895724
10,Guyane,-0.0382928146802514,-2.6263889147653
1,Reunion,0.122600129017332,-0.254702083257376
2,Reunion,0.134761694025994,0.230591303865248
3,Reunion,-0.237470565130283,-0.238785568105065
4,Reunion,0.139739888026449,-0.794414994828597
5,Reunion,-0.244231968403771,-0.238741520522882
6,Reunion,0.0265748919349615,-0.134414676834335
7,Reunion,0.38905390422777,-0.408344651663447
8,Reunion,-0.190659570775816,-0.0913466467347517
9,Reunion,0.166388207675038,-0.807496447598729
10,Reunion,-0.0623991475725266,-0.437771818061403
